"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",3.22792029734578,4.59058647170859,3.17865079211064,2.90406594913503,3.25786890838219,3.41486538821198,3.19349174388772,3.98324947202817,3.19245384474501,3.65263630743257,1.87164029264001,2.56908642219297,4.45929537236573,2.00718693283545,3.29911774533984,3.05432948122721,3.86365647085205,3.53876943961638,4.59021336077189,4.33144952137222,3.578495053942,3.500158153501,2.99148685100733,3.81436659855563,3.6767496878157,2.9026297101198,2.54671589944311,3.87646884903865,3.61169868809631,3.72953492536301,2.39558857803736,3.12211873849545,2.67369493183293,2.6105456403467,2.87758780309381,3.51327404973589,2.49605226426879,3.59968440667581,1.80129434823828,3.08124992418866,3.06418700194811,4.10223286374193,3.54856906526105,3.12097377038296,4.24512962118847,3.00268781932966,3.42357227234584,3.86851764119158,4.81190616819416,3.4102655355911,3.26677189487814,2.83347977358843,3.59441946316314,3.9481505678263,3.254997404228,3.30487858782441,3.56024864233677,3.99982996797196,3.23339652761727,3.52936468532937,2.57988260553762,3.30622874940641,2.26794135843665,3.59670284501905,2.41475605259166,2.9551529978481,3.46688113217877,3.46852035237268,4.41153840618923,4.14376564831385,4.02948087151598,3.35709698541541,2.67502671744804,3.56443019482702,3.92617205454098,3.67518061813952,2.4662632398643,3.37171404737171,3.6088742330267,3.63731006280695,3.59896767899627,3.27189552056533,2.55742118390991,3.21037334574674,3.43371703837839,3.26866979769862,4.02230509144638,3.55032976159993,4.16432701290562,4.02047607792742,3.56952892033719,3.79026274688248,2.04405009793747,3.8253264890372,3.73319726400595,3.67227625468558,3.71318510104138,3.64099064344439,4.03562603084233,3.49667441886913
"2",2.92784141284679,4.45494913189958,2.94530080012731,2.535978036396,2.95341149985671,2.89717030016488,3.08166677863702,3.61518250549895,3.18368478556161,3.45824929641779,1.71215775168046,2.45738681152401,4.13566360338255,1.73491557176256,3.23459559939078,3.06753174519013,3.53092965048619,3.30097520196199,4.2517228737904,4.14367986695589,3.18730112590339,3.50283215171571,2.62448047535361,3.38436856977658,3.64012741761054,2.5319917232102,2.24983989932486,3.51608680344116,3.24106969184723,3.190170601829,2.43177299774311,2.85976243841725,2.47431300786706,2.15292338227521,2.73433306607425,3.59176894394718,2.44893843722305,3.32661033793292,1.47574953467382,2.84210667069227,2.69693631440692,3.95839719385782,3.0852431726372,3.05289667802383,3.79438713593054,2.66098960261512,3.39812759041067,3.73363535187463,4.54845375945752,3.3034968055208,2.95911006855175,2.68179076256758,3.4224600036377,3.72693712895366,3.26066542102828,3.221484813366,3.34734143056994,3.65534211023718,2.77253811902762,3.40978671880442,2.57333597101865,2.91887325447022,2.29654984250815,3.30939949116643,2.17742052938459,2.69328961637421,3.43630460614477,2.9739230618274,4.2907409379425,3.57588133343224,3.60325677541913,2.75351503374485,2.56510156280621,3.10017885870569,3.51459622329672,3.80834643215755,2.24757082584496,3.08155245281134,3.53708808685277,3.42721799316749,3.40272196244147,3.22950383770461,2.38223239582956,3.08375161056449,3.25655436733143,2.81389629271994,3.68415432890226,3.43031843386926,3.55046730204239,3.67287070302276,3.29315016419923,3.56244139565735,1.77860438938307,3.38234307097244,3.52454600794725,3.28015605593767,3.53970119954218,3.44176824477816,3.88528736596741,3.4154116918403
"3",3.42275595396211,5.00909034786395,3.41281013601328,2.8384514214634,3.58019182072297,3.84279721077176,3.73007557854188,4.41840895216396,3.49181736553543,3.96561520932064,2.12534346864501,3.16503425311088,4.20194832526091,2.35007996501098,3.77457462998297,3.65835852896838,4.22193140230544,4.05242443347805,4.66756743129944,4.85916947955352,3.74739073689101,4.29987219238746,3.1011489348231,3.50454227064175,4.29646904647301,2.91839294193964,2.60842670938755,3.07866654440748,3.46175155742932,3.74270678143197,3.80365496539536,3.49524800130935,3.05879144859905,2.86646400470159,3.77620496198027,4.1621922831698,3.01749722949835,4.14529571629155,1.82211666934514,3.30735955473262,3.35093474108765,4.42106811053917,3.01421647142601,3.42336322795171,4.22037593196142,3.40451758645528,3.99620688548593,4.74855233664033,4.79760209034147,3.92021996023767,3.8748622049086,3.52530286711048,3.89405178381658,3.94266793553147,3.5566707217258,2.99047751325456,3.9392906323934,3.75330849263085,2.5254287134472,3.82215985485988,2.97665277429323,3.03570599206624,2.88720088842028,4.06400332285441,3.02670832817469,3.36815462998343,4.05423202688815,3.16573266986612,4.63188199869009,3.02534942570181,3.70630742658875,3.24474271609634,3.17170209684079,3.25513382860737,3.9672802249408,4.44961555028393,3.09251802409241,3.68567687883059,4.59987447437031,3.91048608975432,3.92617052203739,3.88247264510955,2.66760465665784,3.65146063923063,3.65861006303374,3.10577052059234,3.64473522564868,4.04460121713937,3.58010747780623,4.18487229906559,4.15787273810238,3.96274656849713,2.23283989476229,3.5485907916966,3.84158760801026,3.7729316496673,3.88215073331045,3.7526186898842,4.49797735356488,4.09155790807777
"4",4.30256362937395,4.99397184948831,4.36187628850189,4.15535342300392,4.60982388083133,4.65258830070445,4.3927636832411,4.89532428030829,4.23316869188887,4.65292666565437,3.81694463651279,4.27991571130077,4.70789898804702,3.93108031882321,4.53931633234849,4.5642389433703,4.84549662490786,4.47215691282573,4.80566400727634,4.8313035774226,4.54261365513033,4.60660549838645,4.05861470908407,4.29326101059819,4.7469743949498,4.09123824914094,4.08653656517677,4.00248291874632,4.327384835187,4.40353203537433,4.5786839998306,4.22698451156911,4.10027297614248,4.08894300053862,4.7828990525771,4.70404933352457,4.03127903384615,4.63249685845172,3.70612810514599,4.10948914322037,4.21804383705743,4.81700425889479,3.87606301186727,4.27550058964994,4.56924629903275,4.16775274202799,4.67541154510138,4.86827173888104,4.74602151375939,4.57415935022973,4.56516088538248,4.27158860072753,4.50247641713479,4.62339648861446,4.43256719715985,4.44813135362823,4.51713194853676,4.53743293574566,3.92466871877867,4.45193303378493,4.04907627504422,4.06532127373272,4.04179831329733,4.59892481234443,4.09518075450953,4.32892630619637,4.79375703889336,4.3411250446524,4.88347287213379,4.17321948881248,4.42277735258552,4.15589428290491,4.47123711159477,4.15913140258895,4.52261876683394,4.71976505800561,4.27149197482964,4.4695972401989,4.86557125301514,4.64784169811688,4.35325552888512,4.56350867166744,4.02123562873716,4.32022188417571,4.55269102793303,4.10800445279531,4.4518925004256,4.60205624686841,4.11886494343978,4.41364041315504,4.71183887168746,4.6593555054313,4.00820633619262,4.3829278788009,4.55603607534756,4.41809184039096,4.604442471892,4.4140215661852,4.63422445818576,4.39453806402516
"5",5.14112066390163,5.86053022715018,5.11782659464339,4.60970082933821,5.19707647304294,5.51490483726335,4.80885602264308,5.52069351497385,4.82686874886939,5.18184493051911,4.44884766693767,4.98821721167368,5.14429080241122,4.7391608380692,5.14522543376156,4.95092769487693,5.34199517569287,5.28455081906004,5.07206374682965,5.32221832082802,4.89045281954089,4.89220228504099,4.84096069684405,4.75658370123579,4.89835212590833,4.33656158291917,4.26263352061162,4.53984627720635,4.65729041093374,5.47841950724425,4.61757382071375,4.50501613955484,4.77580456926903,4.53676121177604,5.35214960722221,5.66285007879539,4.75500191538806,4.73796263439819,4.54976410618464,4.84133908718719,4.83056948860419,5.82185466461521,4.30622028322155,5.26254659342019,5.07260031930237,4.84433853631245,5.01391832729406,5.25520867287604,4.76361015960563,5.09976594204155,5.11375712926495,5.02594778867211,4.9334054827989,5.06624974146273,5.38044364390041,5.19129104897324,4.79256806533954,5.03652718550446,4.08445190688885,5.10308874509425,4.73374102183762,4.73420633069359,4.97315489426589,5.1310294016361,4.51399056502446,4.37722650347632,5.61466738282404,4.28421585912064,4.87620740457523,4.57049413061253,4.64862563943092,4.62561339473691,4.85891956211858,4.44023580158416,5.17928476412248,5.22219483048022,5.03883957471024,4.96762171094196,5.67052083802311,5.36201124450504,5.26148407628271,5.05178146975461,4.70518307163647,4.69642180361033,4.78402318155918,4.30633723768212,4.50628618554108,4.7046042537589,4.23794883500791,5.12223996236989,5.15705954308033,5.05357539606012,4.65452416411467,4.93371096495078,4.70364228145839,4.71315715169957,5.40385873237978,4.9723669966629,4.92069495227507,4.97896104231753
"6",5.38242783261466,6.83503788135308,5.6604598451607,5.39215528025089,5.73561912324172,6.04757178503451,5.62902166030827,5.65146176720542,5.34555947613401,5.71365297486138,5.13230191647208,5.90251276368033,5.69978693744272,5.41256835183288,6.04563767229257,5.33558506842029,5.84689730335537,6.04118464425723,5.38483391856008,5.76438402771121,5.65308930392593,5.59763265381171,5.49425604190379,5.23774746081802,4.97708090939208,4.9179172832092,5.08904834514359,4.96835748024188,5.20649818594017,6.05010869296193,5.05796245597568,4.84061148142094,5.05531461425643,4.95455942474595,6.08047107918896,6.06308525019471,5.49403119453663,5.43462634316543,5.24486483887141,4.97216365382303,5.33827731391243,6.56334181651774,4.17442420754044,5.99987480482871,5.50401512585467,5.3557929735604,5.5006390687292,5.93653948430226,5.11805696525746,5.96795634018546,5.50957206255578,5.40158784193459,5.11114077934717,5.90853225428243,5.80215456556173,5.86291285360136,5.47010569530581,5.27881485088705,4.32689834178326,5.88202259929509,5.56293576451041,4.85781315968199,5.22289192912634,5.68789562575287,5.20289952931945,5.05518974284113,6.45395974766676,4.39395440176023,5.33615877935889,4.83472356272726,4.30821170372407,4.94891900318639,4.97410296688858,4.96226752316091,5.46032504193621,5.70279093827029,5.36342953207611,6.09960378972169,6.38717445998025,6.03398314820379,5.7536114985517,5.99335781754491,5.39352818221979,5.21540139682752,5.4177965486434,5.12024155156082,4.84345044122149,5.06720227292835,4.08286631974315,5.53873339969193,6.28198622857063,5.59864615885629,5.70963352548322,5.26129061579227,5.72463847657012,5.38789990999833,5.61565480640088,5.24721568592358,4.88916261903288,5.9148421562612
"7",5.99191506177352,7.51225491047943,5.98986727835997,5.53448399951586,6.50694852835537,6.42152038975406,5.94209122067075,5.68792727242033,6.13570497149924,6.37545320948569,6.08248167354073,6.71636021184065,6.09570891865005,5.64432327464758,6.45479197277052,5.73191449248067,6.81888771481822,6.82089169826121,5.91794039967711,5.87356884649806,5.77428721821289,5.96152701260732,5.74729236376558,6.16901020235315,5.91474596698583,4.9485751796503,5.49502496206816,4.80771064372153,5.86481276607015,6.44780095529613,5.39391145274931,5.00894954604653,5.61557128221701,5.46548388643189,6.50201175149501,6.37585434138637,6.1471143393567,5.76517919996938,5.87390957151529,5.63416839076507,5.84214158695689,7.29794676229086,4.37804057854682,6.21022919180715,5.91685453079901,5.87382344896491,6.10182081217835,6.69943778334643,5.32618871574599,7.16445048006437,6.00925214246143,5.59922835294741,5.83460000578555,6.39869621935289,6.65873700916072,6.34599597004979,5.84774640135608,5.65461795355096,4.9064005969053,6.79353325738575,6.18053324526698,5.18468042952382,6.04637532483702,5.95075961285093,5.05260748813645,5.43979026885502,7.43993378100257,4.76653902414444,5.68468474416029,5.39701906301684,4.94871978834528,5.43038222338031,5.6160747560983,5.56676852339727,5.68022323930222,6.46634692539174,6.08127517055886,6.85221986388463,6.96674450339982,6.78900514586393,6.56597792720801,6.74267967944149,6.24679458558,5.42266649391825,6.19253879829731,5.04679316604669,5.48594673374516,5.24314437497646,4.06766870739672,6.28703956385043,6.69931441297077,6.3325155716348,6.12900272910841,5.79043058918812,5.74723119698955,5.75668312556869,6.50821016347459,5.37745550651548,5.30412527623463,6.48390430689799
"8",6.30743901916636,6.55079807638901,6.29052040681923,6.10494905874392,6.39254755632229,6.48370891314118,6.07743680647649,5.98818943373594,6.18654661835378,6.2721946605909,6.18099925015069,6.45324654924616,6.24443945806201,5.9542340474189,6.21452922953779,6.07894506824406,6.36105398351409,6.4877190228916,6.18828468888846,6.06640364373975,6.10996629496823,6.13859510734994,5.92249083951651,6.14830753488973,6.07545649906043,5.65290635589763,5.9641047776782,5.70929404704555,5.95055514904026,6.41210953514124,5.88062171289301,5.73845709569494,5.99891430735387,5.95514255623834,6.31175486701235,6.28003236660512,6.3245233280273,6.12018836572828,6.08795343646281,5.83420403380929,6.05193594225669,6.60724467868077,5.45583281600798,6.3764855299071,6.04502076439301,6.25306543565482,6.22210869115014,6.48995256001547,5.85655116994557,6.59135714394477,6.15623543740119,6.04957148980212,6.06043986783066,6.22156050761439,6.54348598530309,6.26234040667531,6.03570555116692,6.07459391776665,5.68842401105338,6.41608077037217,6.22069574650897,5.79134509380793,6.30241913283157,5.96680181301947,5.55303658503262,5.96257689614418,6.67223699087662,5.46266038315574,6.05139272946507,5.87549874802232,5.90488114598052,5.7789267939114,5.89581092030295,5.79089347952097,5.93450533112786,6.38430654376058,6.11083525540118,6.58254089485833,6.56630542592742,6.32797196550264,6.35860058464716,6.40188262943298,6.19027782385575,6.06892407821694,6.09866867476616,5.656246307385,6.04982355100134,5.69334148675133,5.39776453117736,6.22985127820138,6.36738069394909,6.19256809854904,6.40959983362589,6.01718932237151,6.00738071190581,6.03937234212842,6.37765369162502,5.87097807683885,5.67319920079554,6.20004144869898
"9",6.79615317743919,6.79354910967233,6.76207298893344,6.91889486533926,7.05440425332664,6.83185933269188,6.79753609270642,5.95258752995445,6.76215105372982,6.90826221172852,6.96996691097181,6.77325966378217,6.4410740478316,6.11449181451526,6.88207603775102,6.3387471720291,6.57342662282404,7.18933755399168,6.46716966433791,6.03338166081917,7.0505144540421,6.50153526508247,6.00946891062467,6.4081154436589,6.52498555170906,5.98936459163871,6.53742047867696,6.59738277684316,6.81221633223396,6.4847347571856,6.32175020569817,6.20947275106505,6.35122210553027,6.06981606535057,6.40267356322319,7.04202514235821,7.17151890895182,6.45279152526491,6.48726383942991,6.54405307002977,6.2362397798187,6.89964367339879,5.70940738810914,6.68831960614017,6.81502661268061,6.43636472997359,6.33890458798973,6.78168423089197,6.20953039855001,6.80853607138012,7.2309287423985,6.87088446091479,6.61834728344906,6.57679893526756,6.80284192026011,6.50024655204909,6.19182678962324,5.59736028115241,5.60184393381823,6.78953428574609,6.51383992590825,6.74839567436272,6.87745999783882,6.46732755205902,6.40765320610835,6.38806730920607,6.80861145017441,5.56812152926614,6.44618083888355,6.84786218418884,6.37403857690741,6.45977551759543,6.52954063293118,5.73561346834378,6.32931817845326,6.60914043875777,6.67206223714421,6.75573351699108,7.16270066791114,7.0237900978976,6.47114289572851,7.00414556079702,6.68937066384455,6.05887911611037,6.87266951286465,5.85792129002082,6.57328255111261,6.2817935458852,6.01751050923981,6.48581028081261,7.18234913538477,6.64671927439895,6.77064233260054,6.07176414557509,6.33284150042667,6.55192182192542,6.6338832864023,6.18005306020229,5.93340211226703,6.62764418856393
"10",7.04251592264819,7.63086235073323,7.41092174240207,7.07233349506461,7.48064842107273,7.21214031852179,7.39080218691743,6.11935909441386,7.51240233759323,6.98917560255082,7.41142913990745,7.48890003178869,7.14133442257037,6.42446682918733,7.11174274899143,7.21566062929036,7.15837558201825,7.49286942492248,6.62991155456441,6.48498390081838,7.22979874798693,6.84711987438075,6.77020389720352,6.63205381982162,6.87030383722967,6.77946481357476,6.91730130895165,6.98726114410444,7.10022319866615,7.14137002652425,6.63079892919466,6.66833470298921,7.37482162128418,6.33030127046103,6.69047368131161,7.49684346759223,7.35308526722786,6.8960569347266,7.04990776031299,7.14799357893317,6.78745671536033,7.67293194126957,6.05256624286636,6.70308115754634,7.34700304726294,6.8004117685163,6.83293238977423,7.49079807473195,6.2040504332509,7.04688663503776,7.10470676102612,7.1999200928486,7.06869989006114,6.95713203603986,7.14778541200935,6.60757054880602,6.96088265345884,5.85319658662008,6.39011285888777,7.08564681760691,7.50557971478647,6.87793091659368,7.44427918071166,6.94979283487348,6.55396179400425,6.75724889994861,7.46413947290334,5.88306243963168,6.90988205689036,7.08475702725016,7.09139049670336,6.94956603881236,7.00224533441969,6.06917037885915,6.42965035078474,6.97307558685592,7.08196754712245,7.3403705019741,7.53059762313719,7.70903891388107,7.26540056999435,7.46481197752697,6.78644582128527,7.03114227698545,7.53473513224041,6.14197662793957,6.78487204539569,6.27340516777556,6.44038168864316,6.84278349987111,7.53713189050827,7.26397337403771,7.06735955222469,6.16086323378015,6.72906742034616,7.01992048339837,6.97345668715249,6.50735874834483,5.80145585050847,6.61554989428726
