"ClosestStart","WeeksSinceStart","temp","Date_start","Date_end","IntStart","IntEnd","Observations_co2","Observations_o2","mg_L_day_O2","SSS","temp_sed","temp_init","temp_final","doc_init","doc_mean","Fe_init","Fe_mean","o2_init","o2_mean","schmidt_min","schmidt_mean","schmidt_max","dist_turnover","thermo_start","thermo_end","thermo_mean","intercept_do","slope_do","slope_O2","intercept_co2","slope_co2","intercept_dic","slope_dic"
15,0,8.00751234661337,2015-05-05,2015-05-11,2015-05-05,2015-05-11,2,4,0.577646278955747,"on",8.00751234661337,7.72077510089196,8.32892434832173,2.12513900503586,2.17378861147704,0.500244316047227,0.577492626485068,5.1061167352793,5.74894882404368,19.7386575280538,22.7120014086244,30.8450660017525,153,5.62849601421841,4.87282091639076,5.21136364487364,-3577.12121873941,0.216324236532133,-0.361322042423614,-125240.08253259,7.56615261326051,-125261.150559486,7.5674273778422
16,0,8.49210348543621,2015-05-11,2015-05-18,2015-05-11,2015-05-18,2,3,0.231818276231443,"on",8.49210348543621,8.32892434832173,8.6433980035161,2.22243821791822,2.79003088174462,0.654740936922909,0.703072991072642,6.45507290318885,6.56975960936828,25.9359304429304,30.9579537026225,36.0928646631845,147,4.87282091639076,4.70839641426035,4.85164329438367,-1182.61648775961,0.0717703134728197,-0.160047962758624,87281.3372365236,-5.26261834950137,87052.1860780518,-5.24878272945817
17,0,8.91222638250238,2015-05-18,2015-05-28,2015-05-18,2015-06-01,2,4,0.386363793719072,"on",8.91222638250238,8.6433980035161,9.18731674156045,3.35762354557101,2.60395077782137,0.751405045222376,0.751405045222376,6.92632817948162,7.24855568543804,25.0580489357641,32.9415608044229,39.8328440586493,140,4.70839641426035,4.7940940318127,4.84975866535091,-896.026795049566,0.0544863886316204,-0.331877405087452,-22694.9543323773,1.37325274015656,-22830.6031431287,1.38144651215049
20,0,9.33289084690715,2015-06-08,2015-06-08,2015-06-08,2015-06-09,2,2,0.486650874521355,"on",9.33289084690715,9.27810120415136,9.38768048966293,2.29729921288236,2.29729921288236,1.02215627353949,1.02215627353949,5.19466108105687,4.41979059187479,29.4153653641447,29.8797525561868,30.3441397482288,119,6.33811501576045,6.14669862313529,6.24240681944787,4.41979059187479,NA,NA,87.235601326008,NA,87.357658813153,NA
21,0,10.2423066263328,2015-06-11,2015-06-23,2015-06-09,2015-06-23,2,6,0.930582976733937,"on",10.2423066263328,9.64772621013722,10.4606938675548,NA,2.17486099496414,NA,1.02128032376523,5.51502024382717,5.20606703110377,33.8733595501652,39.861928593033,46.419052533342,118,5.98187399946624,6.29897300219775,6.10252253003454,651.73798593473,-0.0389348058717669,-0.969517782605704,58420.5918021178,-3.51311193622579,58156.6805547981,-3.49720813002116
23,0,12.4477363169864,2015-07-02,2015-07-13,2015-06-30,2015-07-16,2,4,1.56377436751408,"on",12.4477363169864,12.0464269603041,12.8524680102778,NA,2.74980130352785,NA,2.77348478561298,7.91144494945569,9.02224619420184,26.501113145754,29.2356220609677,31.1947296885766,97,6.10877015203022,6.01137903502985,6.03225418364318,-2952.13661265619,0.178130890537516,-1.38564347697657,72088.0630291873,-4.32369081131412,70481.2718008323,-4.22701641733736
25,0,13.3704462678536,2015-07-20,2015-07-27,2015-07-17,2015-07-27,2,3,1.115722142789,"on",13.3704462678536,13.1961211680384,13.546307011092,2.16473535874764,2.12249896397353,2.96669136860425,3.49026689879326,10.4932341214966,9.99898704006818,39.3774235308721,40.2542735736327,41.2783126013827,80,5.74003140926035,5.66706249019045,5.72769854396333,3020.94381045362,-0.180953453067844,-1.29667559585685,-189113.895040214,11.3804075544408,-193597.488954396,11.6499992287992
28,2,14.3294621590175,2015-09-07,2015-09-14,2015-08-08,2015-10-05,2,2,1.77030316441691,"on",14.3294621590175,14.2598683203452,14.3990559976898,2.42728377201006,2.36364188600503,2.23078720869314,2.4178511738519,9.68961939328524,9.82021930273556,15.9278038933608,20.5377076250976,25.1476113568343,58,6.30815930534228,6.41681516148172,6.362487233412,-612.898806086439,0.0373142598429562,-1.73298890457395,-1008747.2466046,60.4778587746786,-979036.310185471,58.698083790539
28,3,14.6356314175258,2015-09-21,2015-09-28,2015-08-08,2015-10-05,2,2,2.32549594689311,"on",14.6356314175258,14.5446226303894,14.7266402046622,NA,NA,2.43562612034131,2.01672278440794,9.93198095889151,9.72044051522758,7.53347856676143,9.61741171730201,11.7013448678426,58,6.58388101186944,6.74180425284641,6.66284263235793,1019.22165774308,-0.060440126761135,-2.38593607365425,539182.570559494,-32.2524961745324,546446.416702091,-32.6870401209573
29,2,10.297781821194,2016-05-16,2016-05-26,2016-04-16,2016-06-10,2,4,0.819364281883026,"on",10.297781821194,10.1425301060446,10.4667757311566,1.35027801007172,1.3510723834871,0.287648106128046,0.281278799408932,12.7806663970201,13.2866253377076,11.4337294097718,14.811849322093,19.8188205282616,174,5.42163360305995,5.17849275968493,5.31721396009838,-1821.23156628567,0.108282268423054,-0.711082013459973,50275.2247030142,-2.96212682478119,50179.9230392166,-2.9564967327866
29,3,10.8866596338769,2016-05-29,2016-06-09,2016-04-16,2016-06-10,8,14,1.37107265663631,"on",10.8866596338769,10.6586475960607,11.3446025951848,NA,1.55187403494548,NA,0.337372324072206,14.1139790682231,14.7089943772027,19.1605752032546,27.412028295987,35.1971116647029,174,5.30061243490701,6.20926811568637,5.99587936420194,-1410.07684785019,0.0840379756703339,-1.28703468096598,-29229.1819874156,1.73159800551873,-29143.5335479877,1.72655231373288
30,0,11.8054772521788,2016-06-13,2016-06-23,2016-06-10,2016-07-25,2,3,0.859867408445618,"on",11.8054772521788,11.5670179956721,11.9789880325293,1.45186675690247,1.44972198992828,0.217123563226113,0.218931062320391,14.2823954203628,13.7400379748162,27.7830981563394,30.6500329419451,33.5119626402602,119,5.74633062442546,6.21135501928907,5.99423820228572,1717.07087311417,-0.10036911740686,-0.960236525852478,207008.817154798,-12.191846663074,206952.591590709,-12.1885296229905
30,1,12.3907353953496,2016-06-26,2016-07-07,2016-06-10,2016-07-25,9,11,1.51079159535318,"on",12.3907353953496,12.1252977869149,12.742372207692,NA,1.55768682340635,NA,0.385204439027812,12.8645717885785,11.2768792112137,17.22311515815,25.1028064614997,33.1892963282294,119,5.71793420563462,6.41742555409557,6.80779028708132,-1423.3571526364,0.0844833043369902,-1.42630829101619,-4819.98745835955,0.291853225732341,-4653.50873833918,0.282056526265604
30,2,13.2645052930524,2016-07-11,2016-07-21,2016-06-10,2016-07-25,3,5,1.10643947776057,"on",13.2645052930524,12.9479471429077,13.4962910833724,1.74702120281064,1.76378053950122,1.12287076001752,1.89022580952399,11.0162968661633,9.78946736137517,29.789432321806,34.6883652016327,38.1086661683289,119,6.33436456163368,6.40654724296496,6.37100087417626,3689.91412481537,-0.216498297337043,-1.32293777509761,-143724.973829668,8.46684787728196,-148310.601984946,8.73670379922348
33,0,14.484143025663,2016-07-28,2016-08-11,2016-07-28,2016-08-26,3,5,3.46534870306968,"on",14.484143025663,13.8929821154236,15.0330322960691,NA,1.9436319312348,NA,1.56822282205133,9.34834405720719,11.9461946357015,20.4547890408412,26.1148588364234,33.4167666546616,71,6.81585604802432,6.63876804621666,6.77993560019903,-5850.30538697384,0.344501932325467,-3.12084677074422,89279.5038448958,-5.2367797534746,74176.4715067579,-4.34907835211056
34,0,15.9750477702306,2016-08-26,2016-09-09,2016-08-26,2016-10-07,4,5,1.54901526886479,"on",15.9750477702306,15.7766909899624,16.1723260848949,NA,2.98490731758106,4.0690321016029,5.91490301345431,16.0837447679681,15.4692803900605,22.3509134729812,26.525562049355,35.0730873043099,42,6.44034971573585,6.27730283363143,6.32223034353669,1987.69302193133,-0.115704163090409,-1.6647194319552,-185338.415631517,10.8892286383734,-304177.948413272,17.8656205914319
36,1,9.80389900798065,2017-05-04,2017-05-15,2017-04-19,2017-10-25,2,6,0.407600417059852,"on",9.80389900798065,9.559944528407,10.0542425881824,NA,2.48393533694906,NA,0.237488178642649,9.63323439983382,9.40072310978123,NA,NA,NA,189,4.28202654893756,4.96884047740934,4.39394314552823,519.309229482352,-0.0294821489041988,-0.437082565964051,29413.1503193834,-1.69739130244912,29421.1266237056,-1.69784571516815
