"Date","thermo_depth","Vol_Weighted_DO","hypoVolume","Conc","Temp","Temp_sed","Chla_ugL","SA_m2","schmidt_stability","Source","ClosestStart","DaysSinceStart","SSS","scfm","IntervalStart","IntervalEnd","Date_turnover","TFe_mgL","DOC_mgL","co2_vw_umolL","ch4_vw_umolL","all_c_umolL"
2013-04-04,3.97216993188583,622148634.47442,54423753,11.4315643479129,6.2183906233056,5.8753,5.68347222222222,10690.8888888889,1.65944275805125,"CTD",0,NA,NA,NA,NA,NA,2013-10-30,NA,NA,NA,NA,NA
2013-04-11,2.96944064109632,952084692.31938,85840211,11.0913601123299,7.18820131691661,6.3098,6.69860476190476,14478.5238095238,9.52440569716178,"CTD",0,NA,NA,NA,NA,NA,2013-10-30,NA,NA,NA,NA,NA
2013-04-18,3.64424893832359,664401872.70792,63506636,10.461928304751,7.38636582395893,6.5933,5.20226842105263,11794.2105263158,16.8568440617039,"CTD",0,NA,NA,NA,NA,NA,2013-10-30,NA,NA,NA,NA,NA
2013-04-25,3.95132541902869,483728198.8407,54423753,8.88818157837627,7.42608498954124,6.9163,2.14900555555556,10690.8888888889,15.7476450429549,"CTD",0,NA,NA,NA,NA,NA,2013-10-30,NA,NA,NA,NA,NA
2013-04-30,4.12455053192783,393514345.82548,46158541,8.52527695417149,7.6450691816364,7.0142,0.766205882352941,9645.05882352941,14.7135260451451,"CTD",0,NA,NA,NA,NA,NA,2013-10-30,NA,NA,NA,NA,NA
2013-05-02,4.38051937726889,376915044.71621,46158541,8.16566201076871,7.87818003422812,7.0681,0.666082352941176,9645.05882352941,16.3794527716903,"CTD",0,NA,NA,NA,NA,NA,2013-10-30,NA,NA,NA,NA,NA
2013-05-09,4.57854249673472,292699184.24587,38786372,7.54644399960558,8.03396090862533,7.2842,0.5966125,8610.1875,10.3899178973137,"CTD",0,NA,NA,NA,NA,NA,2013-10-30,NA,NA,NA,NA,NA
2013-05-14,4.73839985813694,203883401.16766,32352928,6.30185314811877,7.97354731806345,7.5106,0.554393333333333,7683.13333333333,11.2222584343494,"CTD",0,NA,NA,NA,NA,NA,2013-10-30,NA,NA,NA,NA,NA
2013-05-15,4.41148908311352,258760477.13907,38786372,6.67142771536018,8.22830405580599,7.7736,0.8200375,8610.1875,14.2184536531047,"CTD",1,0,"on",0.5,2013-05-15,2013-06-14,2013-10-30,NA,NA,NA,NA,NA
2013-05-16,4.87195181864404,236592243.20374,32352928,7.31285413189619,8.13167624518251,7.9559,1.01751333333333,7683.13333333333,16.5073575244802,"CTD",1,1,"on",0.5,2013-05-15,2013-06-14,2013-10-30,NA,NA,NA,NA,NA
