"","Var","Date","Sim","value"
"1","R20","1","V1",0.476018207459162
"2","R20","1","V2",0.462407247320376
"3","R20","1","V3",0.695239963709507
"4","R20","1","V4",0.879514417116661
"5","R20","1","V5",0.529641683888045
"6","R20","1","V6",0.563188149028205
"7","R20","1","V7",0.199094971999022
"8","R20","1","V8",0.567807743849133
"9","R20","1","V9",0.509464377290269
"10","R20","1","V10",0.620993660386524
"11","R20","1","V11",0.276834433372642
"12","R20","1","V12",0.793609424900877
"13","R20","1","V13",0.582123440326804
"14","R20","1","V14",0.458360806971159
"15","R20","1","V15",0.650333983070914
"16","R20","1","V16",0.532672068183772
"17","R20","1","V17",0.772538764221515
"18","R20","1","V18",0.575501393774738
"19","R20","1","V19",0.448901879396501
"20","R20","1","V20",0.745328461938115
"21","R20","1","V21",0.576389122174356
"22","R20","1","V22",0.434505862937975
"23","R20","1","V23",0.507381289804033
"24","R20","1","V24",0.586353768311805
"25","R20","1","V25",0.621562779585264
"26","R20","1","V26",0.666893172494277
"27","R20","1","V27",0.467783614809034
"28","R20","1","V28",0.611249478949635
"29","R20","1","V29",0.483163915694389
"30","R20","1","V30",0.704759213186126
"31","R20","1","V31",0.707549249628834
"32","R20","1","V32",0.45953332683367
"33","R20","1","V33",0.510809048118534
"34","R20","1","V34",0.564095627172751
"35","R20","1","V35",0.338453155140367
"36","R20","1","V36",0.858558756109474
"37","R20","1","V37",0.626042054446507
"38","R20","1","V38",0.617629832084956
"39","R20","1","V39",0.328040520290897
"40","R20","1","V40",0.390270187186997
"41","R20","1","V41",0.405068265198668
"42","R20","1","V42",0.491384918487327
"43","R20","1","V43",0.561294645822623
"44","R20","1","V44",0.540018312977226
"45","R20","1","V45",0.553996164339836
"46","R20","1","V46",0.726863806729993
"47","R20","1","V47",0.714162094675969
"48","R20","1","V48",0.432575120143689
"49","R20","1","V49",0.313069958809918
"50","R20","1","V50",0.606210816114182
"51","R20","1","V51",0.68136873142266
"52","R20","1","V52",0.858986315402015
"53","R20","1","V53",0.469266867322378
"54","R20","1","V54",0.504553853472991
"55","R20","1","V55",0.297404170159466
"56","R20","1","V56",0.543604964423948
"57","R20","1","V57",0.473688898996666
"58","R20","1","V58",0.422028532783089
"59","R20","1","V59",0.703579829326587
"60","R20","1","V60",0.441209890862995
"61","R20","1","V61",0.720595818797755
"62","R20","1","V62",0.301498236431285
"63","R20","1","V63",0.295185710148236
"64","R20","1","V64",0.815436209200531
"65","R20","1","V65",0.431449642882104
"66","R20","1","V66",0.667961314152745
"67","R20","1","V67",0.562589315061783
"68","R20","1","V68",0.652620524766831
"69","R20","1","V69",0.532871887665508
"70","R20","1","V70",0.411459368887847
"71","R20","1","V71",0.200878884725954
"72","R20","1","V72",0.541398323497406
"73","R20","1","V73",0.430943868475594
"74","R20","1","V74",0.404096160489794
"75","R20","1","V75",0.161915120264921
"76","R20","1","V76",0.379499418511656
"77","R20","1","V77",0.918383686008439
"78","R20","1","V78",0.781773861649705
"79","R20","1","V79",0.423162235431843
"80","R20","1","V80",0.580735666655999
"81","R20","1","V81",0.633037215801673
"82","R20","1","V82",0.586043613684929
"83","R20","1","V83",0.577700339379076
"84","R20","1","V84",0.373487821325589
"85","R20","1","V85",0.591973646341566
"86","R20","1","V86",0.393380929166315
"87","R20","1","V87",0.200284116407732
"88","R20","1","V88",0.455619782733697
"89","R20","1","V89",0.404327098000286
"90","R20","1","V90",0.500336468128894
"91","R20","1","V91",0.39823886661763
"92","R20","1","V92",0.315889761257269
"93","R20","1","V93",0.665894479507058
"94","R20","1","V94",0.332247506280376
"95","R20","1","V95",0.375709797353203
"96","R20","1","V96",0.438110810196929
"97","R20","1","V97",0.690566006569289
"98","R20","1","V98",0.509947072740978
"99","R20","1","V99",0.699561349907707
"100","R20","1","V100",0.477955799876436
"101","R20","2","V1",0.476018207459162
"102","R20","2","V2",0.462407247320376
"103","R20","2","V3",0.695239963709507
"104","R20","2","V4",0.879514417116661
"105","R20","2","V5",0.529641683888045
"106","R20","2","V6",0.563188149028205
"107","R20","2","V7",0.199094971999022
"108","R20","2","V8",0.567807743849133
"109","R20","2","V9",0.509464377290269
"110","R20","2","V10",0.620993660386524
"111","R20","2","V11",0.276834433372642
"112","R20","2","V12",0.793609424900877
"113","R20","2","V13",0.582123440326804
"114","R20","2","V14",0.458360806971159
"115","R20","2","V15",0.650333983070914
"116","R20","2","V16",0.532672068183772
"117","R20","2","V17",0.772538764221515
"118","R20","2","V18",0.575501393774738
"119","R20","2","V19",0.448901879396501
"120","R20","2","V20",0.745328461938115
"121","R20","2","V21",0.576389122174356
"122","R20","2","V22",0.434505862937975
"123","R20","2","V23",0.507381289804033
"124","R20","2","V24",0.586353768311805
"125","R20","2","V25",0.621562779585264
"126","R20","2","V26",0.666893172494277
"127","R20","2","V27",0.467783614809034
"128","R20","2","V28",0.611249478949635
"129","R20","2","V29",0.483163915694389
"130","R20","2","V30",0.704759213186126
"131","R20","2","V31",0.707549249628834
"132","R20","2","V32",0.45953332683367
"133","R20","2","V33",0.510809048118534
"134","R20","2","V34",0.564095627172751
"135","R20","2","V35",0.338453155140367
"136","R20","2","V36",0.858558756109474
"137","R20","2","V37",0.626042054446507
"138","R20","2","V38",0.617629832084956
"139","R20","2","V39",0.328040520290897
"140","R20","2","V40",0.390270187186997
"141","R20","2","V41",0.405068265198668
"142","R20","2","V42",0.491384918487327
"143","R20","2","V43",0.561294645822623
"144","R20","2","V44",0.540018312977226
"145","R20","2","V45",0.553996164339836
"146","R20","2","V46",0.726863806729993
"147","R20","2","V47",0.714162094675969
"148","R20","2","V48",0.432575120143689
"149","R20","2","V49",0.313069958809918
"150","R20","2","V50",0.606210816114182
"151","R20","2","V51",0.68136873142266
"152","R20","2","V52",0.858986315402015
"153","R20","2","V53",0.469266867322378
"154","R20","2","V54",0.504553853472991
"155","R20","2","V55",0.297404170159466
"156","R20","2","V56",0.543604964423948
"157","R20","2","V57",0.473688898996666
"158","R20","2","V58",0.422028532783089
"159","R20","2","V59",0.703579829326587
"160","R20","2","V60",0.441209890862995
"161","R20","2","V61",0.720595818797755
"162","R20","2","V62",0.301498236431285
"163","R20","2","V63",0.295185710148236
"164","R20","2","V64",0.815436209200531
"165","R20","2","V65",0.431449642882104
"166","R20","2","V66",0.667961314152745
"167","R20","2","V67",0.562589315061783
"168","R20","2","V68",0.652620524766831
"169","R20","2","V69",0.532871887665508
"170","R20","2","V70",0.411459368887847
"171","R20","2","V71",0.200878884725954
"172","R20","2","V72",0.541398323497406
"173","R20","2","V73",0.430943868475594
"174","R20","2","V74",0.404096160489794
"175","R20","2","V75",0.161915120264921
"176","R20","2","V76",0.379499418511656
"177","R20","2","V77",0.918383686008439
"178","R20","2","V78",0.781773861649705
