"","Var","Date","Sim","value"
"1","R20","1","V1",0.571220681178214
"2","R20","1","V2",0.725328714454893
"3","R20","1","V3",0.690260681180159
"4","R20","1","V4",0.770897078544284
"5","R20","1","V5",0.73762133675245
"6","R20","1","V6",0.742505603678064
"7","R20","1","V7",0.712951944403991
"8","R20","1","V8",0.622967291025135
"9","R20","1","V9",0.606337199093929
"10","R20","1","V10",0.717826583117458
"11","R20","1","V11",0.662270627656168
"12","R20","1","V12",0.729395013854441
"13","R20","1","V13",0.792425365098764
"14","R20","1","V14",0.628300500653544
"15","R20","1","V15",0.60900824997656
"16","R20","1","V16",0.711856974605109
"17","R20","1","V17",0.716365295481222
"18","R20","1","V18",0.799070333079602
"19","R20","1","V19",0.681537793689603
"20","R20","1","V20",0.677375370368305
"21","R20","1","V21",0.74467960718554
"22","R20","1","V22",0.659223038668566
"23","R20","1","V23",0.654510246882012
"24","R20","1","V24",0.721151412892285
"25","R20","1","V25",0.654125586773431
"26","R20","1","V26",0.650771653168376
"27","R20","1","V27",0.674519370053694
"28","R20","1","V28",0.734097589550361
"29","R20","1","V29",0.649907334638795
"30","R20","1","V30",0.708234972854305
"31","R20","1","V31",0.755694888780139
"32","R20","1","V32",0.680972491209389
"33","R20","1","V33",0.718206495615577
"34","R20","1","V34",0.707709406157901
"35","R20","1","V35",0.674060875575124
"36","R20","1","V36",0.662095508652931
"37","R20","1","V37",0.688770900135235
"38","R20","1","V38",0.725060642449373
"39","R20","1","V39",0.706502105622063
"40","R20","1","V40",0.738281155321705
"41","R20","1","V41",0.613827311835044
"42","R20","1","V42",0.611276863931686
"43","R20","1","V43",0.726510217256245
"44","R20","1","V44",0.732659691200226
"45","R20","1","V45",0.695847464594228
"46","R20","1","V46",0.763851004912751
"47","R20","1","V47",0.836383888381635
"48","R20","1","V48",0.630426436358627
"49","R20","1","V49",0.836211241879849
"50","R20","1","V50",0.702310701031026
"51","R20","1","V51",0.694965093139065
"52","R20","1","V52",0.57393728026754
"53","R20","1","V53",0.629127257094351
"54","R20","1","V54",0.730475871546333
"55","R20","1","V55",0.681206348162658
"56","R20","1","V56",0.686663666521264
"57","R20","1","V57",0.765691257614667
"58","R20","1","V58",0.57896665209763
"59","R20","1","V59",0.643960983922303
"60","R20","1","V60",0.738618628046514
"61","R20","1","V61",0.779258070136321
"62","R20","1","V62",0.787489268220043
"63","R20","1","V63",0.768047287124843
"64","R20","1","V64",0.683301748314805
"65","R20","1","V65",0.734269910042218
"66","R20","1","V66",0.548278978009737
"67","R20","1","V67",0.643457929842226
"68","R20","1","V68",0.725165552548197
"69","R20","1","V69",0.737203166829984
"70","R20","1","V70",0.795399086179887
"71","R20","1","V71",0.713594046126503
"72","R20","1","V72",0.723908896690664
"73","R20","1","V73",0.650891645388521
"74","R20","1","V74",0.640751594621115
"75","R20","1","V75",0.676895252603256
"76","R20","1","V76",0.75887266542704
"77","R20","1","V77",0.548236535503225
"78","R20","1","V78",0.608756325786282
"79","R20","1","V79",0.59933951949747
"80","R20","1","V80",0.703564338716189
"81","R20","1","V81",0.71116688533685
"82","R20","1","V82",0.7620339921619
"83","R20","1","V83",0.65390810111101
"84","R20","1","V84",0.693752700074289
"85","R20","1","V85",0.717959004402784
"86","R20","1","V86",0.767763806782028
"87","R20","1","V87",0.744645051898863
"88","R20","1","V88",0.746420697005367
"89","R20","1","V89",0.728062659022349
"90","R20","1","V90",0.696328288642031
"91","R20","1","V91",0.816059307444913
"92","R20","1","V92",0.707427011120445
"93","R20","1","V93",0.659925500974582
"94","R20","1","V94",0.750670004154966
"95","R20","1","V95",0.587283247662185
"96","R20","1","V96",0.699399777299798
"97","R20","1","V97",0.607154802042818
"98","R20","1","V98",0.699583277183968
"99","R20","1","V99",0.665668398098489
"100","R20","1","V100",0.741023130613864
"101","R20","2","V1",0.577098658246049
"102","R20","2","V2",0.732872393531133
"103","R20","2","V3",0.683346527156898
"104","R20","2","V4",0.772393611350236
"105","R20","2","V5",0.747991039961944
"106","R20","2","V6",0.749446719466278
"107","R20","2","V7",0.716426885008672
"108","R20","2","V8",0.620367123129645
"109","R20","2","V9",0.604330736154024
"110","R20","2","V10",0.721953676968932
"111","R20","2","V11",0.66661663387508
"112","R20","2","V12",0.725702400152379
"113","R20","2","V13",0.79578340163684
"114","R20","2","V14",0.629027090379586
"115","R20","2","V15",0.60353999397682
"116","R20","2","V16",0.712192718470106
"117","R20","2","V17",0.710831245756756
"118","R20","2","V18",0.80065273777613
"119","R20","2","V19",0.680011627552201
"120","R20","2","V20",0.685435372663207
"121","R20","2","V21",0.746823216275472
"122","R20","2","V22",0.662810613731237
"123","R20","2","V23",0.657468404628917
"124","R20","2","V24",0.724786289396837
"125","R20","2","V25",0.659852505642968
"126","R20","2","V26",0.657276309967034
"127","R20","2","V27",0.683582100362378
"128","R20","2","V28",0.736345890284933
"129","R20","2","V29",0.649247441412861
"130","R20","2","V30",0.715135490612579
"131","R20","2","V31",0.755847412485432
"132","R20","2","V32",0.682184412556994
"133","R20","2","V33",0.716852586270566
"134","R20","2","V34",0.710236441478613
"135","R20","2","V35",0.67143982894706
"136","R20","2","V36",0.655127491270319
"137","R20","2","V37",0.695552077638782
"138","R20","2","V38",0.721787889398929
"139","R20","2","V39",0.712567143865226
"140","R20","2","V40",0.73633781854645
"141","R20","2","V41",0.615076896503011
"142","R20","2","V42",0.614626503783042
"143","R20","2","V43",0.721202467547685
"144","R20","2","V44",0.742671089979829
"145","R20","2","V45",0.699800863663668
"146","R20","2","V46",0.761494012200209
"147","R20","2","V47",0.833795391286684
"148","R20","2","V48",0.637277685340479
"149","R20","2","V49",0.831448772893772
"150","R20","2","V50",0.691168007272464
"151","R20","2","V51",0.69094646614955
"152","R20","2","V52",0.575478586902409
"153","R20","2","V53",0.621286333837388
"154","R20","2","V54",0.734575793657961
"155","R20","2","V55",0.683394563110363
"156","R20","2","V56",0.699202430763501
"157","R20","2","V57",0.765238773774367
"158","R20","2","V58",0.586388311866242
"159","R20","2","V59",0.639462282902852
"160","R20","2","V60",0.740465906447228
"161","R20","2","V61",0.780338555196073
"162","R20","2","V62",0.787260163008841
"163","R20","2","V63",0.770478663605019
"164","R20","2","V64",0.685954396987066
"165","R20","2","V65",0.731842358173984
"166","R20","2","V66",0.554841279265099
"167","R20","2","V67",0.6482030089569
"168","R20","2","V68",0.724939657742031
"169","R20","2","V69",0.741186567416586
"170","R20","2","V70",0.795256939097049
"171","R20","2","V71",0.707759401964339
"172","R20","2","V72",0.72063449701077
"173","R20","2","V73",0.648276947473347
"174","R20","2","V74",0.645074799042725
"175","R20","2","V75",0.675614471445096
"176","R20","2","V76",0.762101754539711
"177","R20","2","V77",0.555096408946136
"178","R20","2","V78",0.610968145626092
"179","R20","2","V79",0.595185333317844
"180","R20","2","V80",0.701204284820223
"181","R20","2","V81",0.713194033335851
"182","R20","2","V82",0.764703061772451
"183","R20","2","V83",0.651773972780521
"184","R20","2","V84",0.693582279493913
"185","R20","2","V85",0.71275037071068
"186","R20","2","V86",0.773178001127493
"187","R20","2","V87",0.746415312907178
"188","R20","2","V88",0.75126992070608
"189","R20","2","V89",0.726641907634676
"190","R20","2","V90",0.69529362171377
"191","R20","2","V91",0.813493338542894
"192","R20","2","V92",0.702496263761734
"193","R20","2","V93",0.663678356094166
"194","R20","2","V94",0.75586194566183
"195","R20","2","V95",0.592429115900212
"196","R20","2","V96",0.697842759580079
"197","R20","2","V97",0.613003285569055
"198","R20","2","V98",0.699061936313358
"199","R20","2","V99",0.661588028219164
"200","R20","2","V100",0.738962415042757
"201","R20","3","V1",0.583707095722946
"202","R20","3","V2",0.740541950846536
"203","R20","3","V3",0.682131100686242
"204","R20","3","V4",0.776067030513247
"205","R20","3","V5",0.758374618700512
"206","R20","3","V6",0.757886172164442
"207","R20","3","V7",0.723445983228876
"208","R20","3","V8",0.623588020804084
"209","R20","3","V9",0.609593461069698
"210","R20","3","V10",0.728289580576034
"211","R20","3","V11",0.672506955946063
"212","R20","3","V12",0.731134917140983
"213","R20","3","V13",0.800899390671992
"214","R20","3","V14",0.635428206981121
"215","R20","3","V15",0.607807842438214
"216","R20","3","V16",0.717011446109502
"217","R20","3","V17",0.713793072231742
"218","R20","3","V18",0.807389749711701
"219","R20","3","V19",0.68433960503132
"220","R20","3","V20",0.692949552979802
"221","R20","3","V21",0.750284536483171
"222","R20","3","V22",0.668849201167222
"223","R20","3","V23",0.663628558232395
"224","R20","3","V24",0.732788516956523
"225","R20","3","V25",0.666474302385336
"226","R20","3","V26",0.665366977836078
"227","R20","3","V27",0.692544403649999
"228","R20","3","V28",0.741750347526913
"229","R20","3","V29",0.653189117501092
"230","R20","3","V30",0.723680319637978
"231","R20","3","V31",0.759481007863861
"232","R20","3","V32",0.68597628773663
