"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",17686,7.87933110814868,7.87279910892587,7.86629353250189,7.85981435094259,7.85336153531064,7.84693505568751,7.84053488119498,7.83416098001578,7.82781331941386,7.82149186575387,7.81519658452025,7.80892744033565,7.80268439697896,7.79646741740276,NA,NA,7.98718046835368,NA,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,1.1271619615921,1.11544669737193,1.10384506806463,1.09235597427018,1.08097833055509,1.06971106513079,1.05855311954337,1.0475034483743,1.03656101895159,1.02572481107098,1.01499381672664,1.00436703985109,0.99384349606384,0.983422212428421
"2",17687,7.74087950096535,7.73323596894591,7.72562515845575,7.71804702557596,7.71050152543211,7.70298861220873,7.69550823916364,7.68806035864201,7.68064492209011,7.67326188006891,7.66591118226743,7.6585927775158,7.65130661379824,7.64405263826568,NA,7.98718046835368,NA,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,1.28610179593931,1.27241616250266,1.25886197695,1.24543808283217,1.23214333493041,1.21897659907121,1.20593675194613,1.19302268093644,1.18023328394241,1.16756746921713,1.15502415520471,1.14260227038273,1.13030075310873,1.11811855147081
"3",17688,7.7338765122511,7.74655010137456,7.75914784804413,7.77167060536005,7.78411920893328,7.79649447746111,7.80879721327536,7.82102820286509,7.8331882173752,7.84527801308255,7.85729833185079,7.86924990156541,7.88113343654984,7.89294963796396,7.98718046835368,NA,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,1.15675366478449,1.14456777855863,1.13256234491442,1.12073348187116,1.10907742702631,1.09759053248789,1.08626926008845,1.07511017686128,1.06410995076058,1.05326534660944,1.04257322226016,1.03203052495326,1.02163428786215,1.01138162681171
"4",17689,7.95835802568653,7.96581401392902,7.97323404710477,7.98061836435877,7.98796720253933,7.99528079622856,8.00255937777233,8.00980317730972,8.01701242280203,8.0241873400612,8.03132815277779,8.03843508254852,8.0455083489033,8.05254816933185,NA,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,0.0492424252002613,0.0487667691106009,0.048296588803671,0.0478318074421928,0.0473723495050045,0.0469181407599151,0.0464691082372209,0.046025180203864,0.0455862861382162,0.0451523567054697,0.0447233237336189,0.0442991201900153,0.0438796801584805,0.0434649388169625
"5",17690,7.90708851538506,7.91020582201253,7.91330739183374,7.91639331992662,7.91946370062212,7.92251862751207,7.92555819345697,7.92858249059367,7.93159161034294,7.93458564341692,7.93756467982648,7.94052880888849,7.94347811923299,7.94641269881027,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,0.111241314696962,0.110180568625412,0.109130708143508,0.108091609524463,0.10706315064446,0.106045210958482,0.105037671476575,0.104040414740533,0.103053324800989,0.102076287194899,0.101109188923436,0.10015191843025,0.099204365580121,0.0982664216379713
"6",17691,7.966514626242,7.9859363500591,8.00526653613682,8.02450605107139,8.04365574798163,8.06271646680509,8.08168903458579,8.10057426575384,8.11937296239704,8.13808591452504,8.15671390032606,8.17525768641655,8.193718028084,8.21209566952315,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,0.164981895396934,0.163414365409466,0.161869243319858,0.160346081883899,0.1588444454961,0.157363909813873,0.15590406139627,0.154464497356585,0.153044825028231,0.151644661643276,0.150263634023089,0.148901378280562,0.147557539533403,0.146231771628014
"7",17692,7.83349331576619,7.8338093345405,7.83412196616001,7.83443124784149,7.83473721635502,7.83503990803036,7.83533935876321,7.83563560402127,7.83592867885033,7.8362186178801,7.83650545533008,7.83678922501522,7.83706996035152,7.83734769436157,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,0.291918569357528,0.288986361943902,0.286084543829932,0.283212778287454,0.280370732829317,0.277558079143837,0.274774493030556,0.272019654337274,0.269293246898327,0.266594958474063,0.263924480691505,0.261281508986164,0.258665742544969,0.256076884250289
"8",17693,7.76075373836053,7.74860341919584,7.7365146606049,7.72448732996497,7.71252129339165,7.70061641574779,7.68877256065245,7.67698959049005,7.66526736641965,7.65360574838428,7.6420045951205,7.63046376416807,7.61898311187963,7.60756249343067,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,7.85016273975818,0.0795686575000614,0.0787594097710766,0.0779560812021153,0.0771586603483543,0.0763671353771628,0.0755814940713894,0.0748017238327178,0.0740278116850872,0.0732597442781794,0.0724975078909684,0.071741088435333,0.0709904714597304,0.0702456421529297,0.0695065853478039
"9",17694,7.84361209577861,7.83381985345144,7.82407598337732,7.81438035927152,7.80473285422031,7.79513334068808,7.7855816905245,7.7760777749717,7.7666214646715,7.75721262967271,7.74785113943837,7.73853686285316,7.72926966823071,7.72004942332109,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,7.85016273975818,NA,0.156426676689985,0.154825946253347,0.153238212728605,0.151663417441537,0.150101501383939,0.148552405221681,0.147016069302771,0.145492433665411,0.143981438046047,0.142483021887421,0.140997124346604,0.139523684303026,0.138062640366497,0.136613930885209
"10",17695,7.74105816575834,7.7240194169618,7.70706779827383,7.69020321750881,7.67342557969591,7.65673478708088,7.64013073912818,7.62361333252359,7.60718246117722,7.59083801622692,7.57457988604218,7.55840795622836,7.54232210963142,7.52632222634305,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,7.85016273975818,NA,NA,0.211182415914232,0.2090095397647,0.206850399191481,0.204705022907097,0.202573438178955,0.200455670825629,0.198351745213536,0.196261684254021,0.194185509400845,0.192123240648083,0.190074896528422,0.18804049411188,0.186020049004923,0.184013575350004
"11",17696,7.79722511639231,7.7849040298646,7.77264596343534,7.76045077983479,7.74831834047952,7.73624850548169,7.72424113365857,7.71229608254219,7.70041320838908,7.68859236619018,7.6768334096809,7.66513619135127,7.65350056245627,7.64192637302625,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,7.85016273975818,NA,NA,NA,0.0804507673668649,0.0796237359174168,0.0788028242285219,0.0779880202132355,0.0771793113765999,0.0763766848191633,0.075580127240572,0.0747896249432328,0.0740051638360456,0.0732267294382036,0.0724543068830613,0.0716878809220667,0.0709274359287586,0.070172955902826
"12",17697,7.84859249576688,7.85152028006887,7.85443259816399,7.85732955014879,7.86021123524249,7.86307775179779,7.86592919731156,7.86876566843531,7.87158726098552,7.87439406995379,7.87718618951678,7.87996371304605,7.88272673311768,7.88547534152179,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,7.85016273975818,NA,NA,NA,NA,0.156271414473136,0.154689452293974,0.153125037382495,0.151577948548114,0.150047967883322,0.148534880704951,0.147038475496714,0.145558543852989,0.1440948804238,0.142647282860985,0.141215551765505,0.139799490635868,0.138398905817648,0.137013606454057
"13",17698,7.85484154226624,7.86004469750222,7.86522118951806,7.87037119889997,7.87549490446368,7.88059248327976,7.8856641106983,7.89070996037319,7.89573020428592,7.9007250127689,7.90569455452829,7.9106389966665,7.91555850470416,7.92045324260171,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,7.85016273975818,NA,NA,NA,NA,NA,0.178084717017546,0.176295075614195,0.174526256249155,0.172777966592531,0.171049919407316,0.169341832438396,0.167653428304567,0.165984434393446,0.164334582759186,0.162703610022919,0.161091257275816,0.159497269984689,0.157921397900069,0.15636339496665
