"","Var","Date","Sim","value"
"1","R20","1","V1",0.949008530072821
"2","R20","1","V2",0.627584761359353
"3","R20","1","V3",0.72038485568547
"4","R20","1","V4",0.680128032496626
"5","R20","1","V5",0.501371082053034
"6","R20","1","V6",0.843478656618591
"7","R20","1","V7",1.21022056276525
"8","R20","1","V8",0.78316529582691
"9","R20","1","V9",0.136391335226426
"10","R20","1","V10",0.719307634542881
"11","R20","1","V11",0.550995668177073
"12","R20","1","V12",0.549287757898263
"13","R20","1","V13",0.80944594015966
"14","R20","1","V14",0.85021468149603
"15","R20","1","V15",0.599384274024005
"16","R20","1","V16",0.68200668694221
"17","R20","1","V17",1.08864644958263
"18","R20","1","V18",0.585102823081067
"19","R20","1","V19",0.675002104605523
"20","R20","1","V20",0.709062302177147
"21","R20","1","V21",0.347407586722597
"22","R20","1","V22",0.505119939689269
"23","R20","1","V23",1.06049453919586
"24","R20","1","V24",0.843651407567169
"25","R20","1","V25",0.808094601403505
"26","R20","1","V26",0.70842768143032
"27","R20","1","V27",0.649404533517877
"28","R20","1","V28",0.779968691248504
"29","R20","1","V29",0.783323449087865
"30","R20","1","V30",0.501532839771346
"31","R20","1","V31",0.677871873471164
"32","R20","1","V32",0.806691441633287
"33","R20","1","V33",0.458188832302161
"34","R20","1","V34",0.458759154155018
"35","R20","1","V35",0.614067772982512
"36","R20","1","V36",1.01723318903486
"37","R20","1","V37",0.719608241300879
"38","R20","1","V38",0.615947414427753
"39","R20","1","V39",0.874846783699182
"40","R20","1","V40",0.342957958379391
"41","R20","1","V41",1.07195876446312
"42","R20","1","V42",0.918412380116353
"43","R20","1","V43",0.528591616975144
"44","R20","1","V44",0.880563716256859
"45","R20","1","V45",0.894078271937787
"46","R20","1","V46",0.745296955879106
"47","R20","1","V47",0.62929882952686
"48","R20","1","V48",0.930484461759691
"49","R20","1","V49",0.980616540918826
"50","R20","1","V50",0.516131053986167
"51","R20","1","V51",0.863800732525897
"52","R20","1","V52",0.970003215123249
"53","R20","1","V53",0.266673726250566
"54","R20","1","V54",0.367257473320588
"55","R20","1","V55",0.726496951366304
"56","R20","1","V56",0.557530123610366
"57","R20","1","V57",0.947941455686471
"58","R20","1","V58",0.907205090516984
"59","R20","1","V59",0.582934334224926
"60","R20","1","V60",0.654386332998823
"61","R20","1","V61",0.71711765640745
"62","R20","1","V62",0.481641328065984
"63","R20","1","V63",0.797118230135384
"64","R20","1","V64",0.682957076530173
"65","R20","1","V65",0.998076204370228
"66","R20","1","V66",0.813274795206167
"67","R20","1","V67",0.736130075034442
"68","R20","1","V68",0.779781390071752
"69","R20","1","V69",1.03954604528172
"70","R20","1","V70",0.828563002280166
"71","R20","1","V71",0.5701840223855
"72","R20","1","V72",0.794064245272926
"73","R20","1","V73",0.649343809558358
"74","R20","1","V74",0.352905574158447
"75","R20","1","V75",0.571718768284095
"76","R20","1","V76",0.599186345680379
"77","R20","1","V77",0.795603659462355
"78","R20","1","V78",0.832904598339014
"79","R20","1","V79",0.235036505105825
"80","R20","1","V80",0.721470791515429
"81","R20","1","V81",0.901226143877362
"82","R20","1","V82",0.778603231145009
"83","R20","1","V83",0.980643980902395
"84","R20","1","V84",0.642475458983481
"85","R20","1","V85",0.631031209002636
"86","R20","1","V86",0.637907093946298
"87","R20","1","V87",0.669408315466896
"88","R20","1","V88",0.612993453524513
"89","R20","1","V89",0.606232690226178
"90","R20","1","V90",1.1026189282199
"91","R20","1","V91",0.894662090276639
"92","R20","1","V92",0.284567209445878
"93","R20","1","V93",0.795645674966721
"94","R20","1","V94",0.496618784028749
"95","R20","1","V95",0.908381478435284
"96","R20","1","V96",0.798185913043163
"97","R20","1","V97",0.624779397618986
"98","R20","1","V98",0.826992325021763
"99","R20","1","V99",0.442993970234985
"100","R20","1","V100",0.617479108765471
"101","R20","2","V1",0.948310900378618
"102","R20","2","V2",0.66801168069547
"103","R20","2","V3",0.694400780219068
"104","R20","2","V4",0.682069785854169
"105","R20","2","V5",0.44802142381702
"106","R20","2","V6",0.83201341898764
"107","R20","2","V7",1.20596446545119
"108","R20","2","V8",0.834520027897745
"109","R20","2","V9",0.19149563195862
"110","R20","2","V10",0.67186684753607
"111","R20","2","V11",0.576644387272227
"112","R20","2","V12",0.573293581831054
"113","R20","2","V13",0.768502590627468
"114","R20","2","V14",0.830072822237001
"115","R20","2","V15",0.631960670392646
"116","R20","2","V16",0.68916077935473
"117","R20","2","V17",1.00792430192612
"118","R20","2","V18",0.564377144788443
"119","R20","2","V19",0.597136172183566
"120","R20","2","V20",0.74277091592191
"121","R20","2","V21",0.326387582554503
"122","R20","2","V22",0.514092939575348
"123","R20","2","V23",1.07600493587081
"124","R20","2","V24",0.847603138951926
"125","R20","2","V25",0.792054323822361
"126","R20","2","V26",0.689957290327891
"127","R20","2","V27",0.599748514467016
"128","R20","2","V28",0.772890214859703
"129","R20","2","V29",0.789886403213442
"130","R20","2","V30",0.537160344867645
"131","R20","2","V31",0.715348025679712
"132","R20","2","V32",0.827829513683972
"133","R20","2","V33",0.416665866673872
"134","R20","2","V34",0.449979440450194
"135","R20","2","V35",0.630787828530304
"136","R20","2","V36",0.964269822671543
"137","R20","2","V37",0.734672849894046
"138","R20","2","V38",0.605390799051232
"139","R20","2","V39",0.801532953197724
"140","R20","2","V40",0.320482449955707
"141","R20","2","V41",1.05136042211759
"142","R20","2","V42",0.921845773798818
"143","R20","2","V43",0.471736812780654
"144","R20","2","V44",0.844236384978054
"145","R20","2","V45",0.901396246826705
"146","R20","2","V46",0.743470828213697
"147","R20","2","V47",0.653656418774867
"148","R20","2","V48",0.831388128136605
"149","R20","2","V49",0.920817768312715
"150","R20","2","V50",0.50716348148806
"151","R20","2","V51",0.789991851006297
"152","R20","2","V52",0.960297593246575
"153","R20","2","V53",0.33933294145365
"154","R20","2","V54",0.3462807467499
"155","R20","2","V55",0.691390786269394
"156","R20","2","V56",0.535029666150242
"157","R20","2","V57",0.945789981723315
"158","R20","2","V58",0.862465698282483
"159","R20","2","V59",0.528065066629836
"160","R20","2","V60",0.694005827408038
"161","R20","2","V61",0.684854637622114
"162","R20","2","V62",0.452763435323894
"163","R20","2","V63",0.843751176812973
"164","R20","2","V64",0.616497202369055
"165","R20","2","V65",0.949116321915916
"166","R20","2","V66",0.838341303616091
"167","R20","2","V67",0.804486951661941
"168","R20","2","V68",0.788792128540839
"169","R20","2","V69",1.02484077601646
"170","R20","2","V70",0.875227981707984
"171","R20","2","V71",0.582004316835737
"172","R20","2","V72",0.79800567748453
"173","R20","2","V73",0.623381828911876
"174","R20","2","V74",0.339966862506158
"175","R20","2","V75",0.596632028927486
"176","R20","2","V76",0.605056346600091
"177","R20","2","V77",0.814809511599569
"178","R20","2","V78",0.784164143564625
"179","R20","2","V79",0.222091361158478
"180","R20","2","V80",0.755853971275338
"181","R20","2","V81",0.8626078176993
"182","R20","2","V82",0.727541110114993
"183","R20","2","V83",0.920157403380319
"184","R20","2","V84",0.650701562558246
"185","R20","2","V85",0.640633000437987
"186","R20","2","V86",0.622043626466201
"187","R20","2","V87",0.703322929720518
"188","R20","2","V88",0.697609088668476
"189","R20","2","V89",0.594387250033323
"190","R20","2","V90",1.01317429504008
"191","R20","2","V91",0.901515685004891
"192","R20","2","V92",0.300617451395783
"193","R20","2","V93",0.759302176747452
"194","R20","2","V94",0.519898273086126
"195","R20","2","V95",0.877565676001904
"196","R20","2","V96",0.852465875098301
"197","R20","2","V97",0.649969275869116
"198","R20","2","V98",0.821543401228672
"199","R20","2","V99",0.454505804367538
"200","R20","2","V100",0.622365760242685
"201","R20","3","V1",0.933021022227134
"202","R20","3","V2",0.64782401901449
"203","R20","3","V3",0.693569601431417
"204","R20","3","V4",0.709073543254444
"205","R20","3","V5",0.464221182639391
"206","R20","3","V6",0.828216227225951
"207","R20","3","V7",1.16002804388077
"208","R20","3","V8",0.89087367291299
"209","R20","3","V9",0.27702033822496
"210","R20","3","V10",0.629465848980563
"211","R20","3","V11",0.613764514325758
"212","R20","3","V12",0.61632187805808
"213","R20","3","V13",0.735082569400981
"214","R20","3","V14",0.800210483434799
"215","R20","3","V15",0.630825774828158
"216","R20","3","V16",0.725240924158608
"217","R20","3","V17",0.903493469527744
"218","R20","3","V18",0.56693247008956
"219","R20","3","V19",0.549925467746978
"220","R20","3","V20",0.773258035364895
"221","R20","3","V21",0.333846517934793
"222","R20","3","V22",0.543263240857534
"223","R20","3","V23",1.03450724094645
"224","R20","3","V24",0.805927886139291
"225","R20","3","V25",0.722765633037547
"226","R20","3","V26",0.692186342980423
"227","R20","3","V27",0.572915632180829
"228","R20","3","V28",0.760760165093218
"229","R20","3","V29",0.78362999180219
"230","R20","3","V30",0.582140968338612
"231","R20","3","V31",0.712221346508335
"232","R20","3","V32",0.829286947776458
"233","R20","3","V33",0.409742624472894
"234","R20","3","V34",0.46774648473517
"235","R20","3","V35",0.639096308361018
"236","R20","3","V36",0.877514960089793
"237","R20","3","V37",0.711819695604595
"238","R20","3","V38",0.603235073578441
"239","R20","3","V39",0.715959282261778
"240","R20","3","V40",0.35625108662416
"241","R20","3","V41",1.03430966526154
"242","R20","3","V42",0.924694555506887
"243","R20","3","V43",0.464709100856601
"244","R20","3","V44",0.819004476382001
"245","R20","3","V45",0.909166493154134
"246","R20","3","V46",0.794443659933908
"247","R20","3","V47",0.672357932670308
"248","R20","3","V48",0.730603086951053
"249","R20","3","V49",0.861597560587993
"250","R20","3","V50",0.54094121902505
"251","R20","3","V51",0.715364364968195
"252","R20","3","V52",0.945755613009097
"253","R20","3","V53",0.405067889849275
"254","R20","3","V54",0.357267188889937
"255","R20","3","V55",0.684419944725321
"256","R20","3","V56",0.525814478612832
"257","R20","3","V57",0.922290140839742
"258","R20","3","V58",0.803473561916569
"259","R20","3","V59",0.499633786653936
"260","R20","3","V60",0.744024484720842
"261","R20","3","V61",0.662893343484685
"262","R20","3","V62",0.444308656310793
"263","R20","3","V63",0.852768266674005
"264","R20","3","V64",0.572877260070381
"265","R20","3","V65",0.892325270576833
"266","R20","3","V66",0.845839397734553
"267","R20","3","V67",0.858355282547113
"268","R20","3","V68",0.792999080448496
"269","R20","3","V69",0.997313055180609
"270","R20","3","V70",0.914921812849377
"271","R20","3","V71",0.598529862246285
"272","R20","3","V72",0.798281296256615
"273","R20","3","V73",0.65747143258351
"274","R20","3","V74",0.348712724415492
"275","R20","3","V75",0.611372591818935
"276","R20","3","V76",0.592212756773174
"277","R20","3","V77",0.844804223814145
"278","R20","3","V78",0.734247145085815
"279","R20","3","V79",0.264282388704085
"280","R20","3","V80",0.764216476336503
"281","R20","3","V81",0.807995492881211
"282","R20","3","V82",0.710246965162077
"283","R20","3","V83",0.859363363446278
"284","R20","3","V84",0.64724774100087
"285","R20","3","V85",0.666456937648796
"286","R20","3","V86",0.63541288056343
"287","R20","3","V87",0.741961822135002
"288","R20","3","V88",0.756009443969065
"289","R20","3","V89",0.601898920443392
"290","R20","3","V90",0.937807248236806
"291","R20","3","V91",0.931215881851951
"292","R20","3","V92",0.334659267038662
"293","R20","3","V93",0.752102807187473
"294","R20","3","V94",0.521839889652391
"295","R20","3","V95",0.854656967926571
"296","R20","3","V96",0.875804050840535
"297","R20","3","V97",0.690362625158573
"298","R20","3","V98",0.801965389086067
"299","R20","3","V99",0.478532247109078
"300","R20","3","V100",0.588117042047212
"301","R20","4","V1",0.933021022227134
"302","R20","4","V2",0.64782401901449
"303","R20","4","V3",0.693569601431417
"304","R20","4","V4",0.709073543254444
"305","R20","4","V5",0.464221182639391
"306","R20","4","V6",0.828216227225951
"307","R20","4","V7",1.16002804388077
"308","R20","4","V8",0.89087367291299
"309","R20","4","V9",0.27702033822496
"310","R20","4","V10",0.629465848980563
"311","R20","4","V11",0.613764514325758
"312","R20","4","V12",0.61632187805808
"313","R20","4","V13",0.735082569400981
"314","R20","4","V14",0.800210483434799
"315","R20","4","V15",0.630825774828158
"316","R20","4","V16",0.725240924158608
"317","R20","4","V17",0.903493469527744
"318","R20","4","V18",0.56693247008956
"319","R20","4","V19",0.549925467746978
"320","R20","4","V20",0.773258035364895
"321","R20","4","V21",0.333846517934793
"322","R20","4","V22",0.543263240857534
"323","R20","4","V23",1.03450724094645
"324","R20","4","V24",0.805927886139291
"325","R20","4","V25",0.722765633037547
"326","R20","4","V26",0.692186342980423
"327","R20","4","V27",0.572915632180829
"328","R20","4","V28",0.760760165093218
"329","R20","4","V29",0.78362999180219
"330","R20","4","V30",0.582140968338612
"331","R20","4","V31",0.712221346508335
"332","R20","4","V32",0.829286947776458
"333","R20","4","V33",0.409742624472894
"334","R20","4","V34",0.46774648473517
"335","R20","4","V35",0.639096308361018
"336","R20","4","V36",0.877514960089793
"337","R20","4","V37",0.711819695604595
"338","R20","4","V38",0.603235073578441
"339","R20","4","V39",0.715959282261778
"340","R20","4","V40",0.35625108662416
"341","R20","4","V41",1.03430966526154
"342","R20","4","V42",0.924694555506887
"343","R20","4","V43",0.464709100856601
"344","R20","4","V44",0.819004476382001
"345","R20","4","V45",0.909166493154134
"346","R20","4","V46",0.794443659933908
"347","R20","4","V47",0.672357932670308
"348","R20","4","V48",0.730603086951053
"349","R20","4","V49",0.861597560587993
"350","R20","4","V50",0.54094121902505
"351","R20","4","V51",0.715364364968195
"352","R20","4","V52",0.945755613009097
"353","R20","4","V53",0.405067889849275
"354","R20","4","V54",0.357267188889937
"355","R20","4","V55",0.684419944725321
"356","R20","4","V56",0.525814478612832
"357","R20","4","V57",0.922290140839742
"358","R20","4","V58",0.803473561916569
"359","R20","4","V59",0.499633786653936
"360","R20","4","V60",0.744024484720842
"361","R20","4","V61",0.662893343484685
"362","R20","4","V62",0.444308656310793
"363","R20","4","V63",0.852768266674005
"364","R20","4","V64",0.572877260070381
"365","R20","4","V65",0.892325270576833
"366","R20","4","V66",0.845839397734553
"367","R20","4","V67",0.858355282547113
"368","R20","4","V68",0.792999080448496
"369","R20","4","V69",0.997313055180609
"370","R20","4","V70",0.914921812849377
"371","R20","4","V71",0.598529862246285
"372","R20","4","V72",0.798281296256615
"373","R20","4","V73",0.65747143258351
"374","R20","4","V74",0.348712724415492
"375","R20","4","V75",0.611372591818935
"376","R20","4","V76",0.592212756773174
"377","R20","4","V77",0.844804223814145
"378","R20","4","V78",0.734247145085815
"379","R20","4","V79",0.264282388704085
"380","R20","4","V80",0.764216476336503
"381","R20","4","V81",0.807995492881211
"382","R20","4","V82",0.710246965162077
"383","R20","4","V83",0.859363363446278
"384","R20","4","V84",0.64724774100087
"385","R20","4","V85",0.666456937648796
"386","R20","4","V86",0.63541288056343
"387","R20","4","V87",0.741961822135002
"388","R20","4","V88",0.756009443969065
"389","R20","4","V89",0.601898920443392
"390","R20","4","V90",0.937807248236806
"391","R20","4","V91",0.931215881851951
"392","R20","4","V92",0.334659267038662
"393","R20","4","V93",0.752102807187473
"394","R20","4","V94",0.521839889652391
"395","R20","4","V95",0.854656967926571
"396","R20","4","V96",0.875804050840535
"397","R20","4","V97",0.690362625158573
"398","R20","4","V98",0.801965389086067
"399","R20","4","V99",0.478532247109078
"400","R20","4","V100",0.588117042047212
"401","R20","5","V1",0.933021022227134
"402","R20","5","V2",0.64782401901449
"403","R20","5","V3",0.693569601431417
"404","R20","5","V4",0.709073543254444
"405","R20","5","V5",0.464221182639391
"406","R20","5","V6",0.828216227225951
"407","R20","5","V7",1.16002804388077
"408","R20","5","V8",0.89087367291299
"409","R20","5","V9",0.27702033822496
"410","R20","5","V10",0.629465848980563
"411","R20","5","V11",0.613764514325758
"412","R20","5","V12",0.61632187805808
"413","R20","5","V13",0.735082569400981
"414","R20","5","V14",0.800210483434799
"415","R20","5","V15",0.630825774828158
"416","R20","5","V16",0.725240924158608
"417","R20","5","V17",0.903493469527744
"418","R20","5","V18",0.56693247008956
"419","R20","5","V19",0.549925467746978
"420","R20","5","V20",0.773258035364895
"421","R20","5","V21",0.333846517934793
"422","R20","5","V22",0.543263240857534
"423","R20","5","V23",1.03450724094645
"424","R20","5","V24",0.805927886139291
"425","R20","5","V25",0.722765633037547
"426","R20","5","V26",0.692186342980423
"427","R20","5","V27",0.572915632180829
"428","R20","5","V28",0.760760165093218
"429","R20","5","V29",0.78362999180219
"430","R20","5","V30",0.582140968338612
"431","R20","5","V31",0.712221346508335
"432","R20","5","V32",0.829286947776458
"433","R20","5","V33",0.409742624472894
"434","R20","5","V34",0.46774648473517
"435","R20","5","V35",0.639096308361018
"436","R20","5","V36",0.877514960089793
"437","R20","5","V37",0.711819695604595
"438","R20","5","V38",0.603235073578441
"439","R20","5","V39",0.715959282261778
"440","R20","5","V40",0.35625108662416
"441","R20","5","V41",1.03430966526154
"442","R20","5","V42",0.924694555506887
"443","R20","5","V43",0.464709100856601
"444","R20","5","V44",0.819004476382001
"445","R20","5","V45",0.909166493154134
"446","R20","5","V46",0.794443659933908
"447","R20","5","V47",0.672357932670308
"448","R20","5","V48",0.730603086951053
"449","R20","5","V49",0.861597560587993
"450","R20","5","V50",0.54094121902505
"451","R20","5","V51",0.715364364968195
