"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",16953,15.2324345243951,15.3902371011253,15.5408088031135,15.6511482520182,15.7850174023295,15.909103631476,16.024992778247,16.1214600105419,16.2178699375418,15.9911625996756,15.7731408039478,15.5183493723106,15.2730954728896,15.0599938918226,14.9891614025484,14.9585031399137,NA,NA,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,0.0319367667835382,0.0715034179503437,0.0957657264966827,0.135851622366006,0.189972129361952,0.187331030142777,0.218371971660948,0.262610782972944,0.283938762019294,0.297220375303346,0.312422097543632,0.344122881947201,0.358139251967151,0.357266383686604
"2",16954,15.1474776552034,15.2942942942817,15.4644109833675,15.6409859534996,15.7878872118545,15.9214338183514,16.0519529936539,16.1795437053042,15.9499929476688,15.7847707006351,15.5454183320487,15.3262390880776,15.144330960747,14.9350137419943,14.9585031399137,NA,NA,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,0.0316072616927823,0.090075607319941,0.112575861452985,0.164757720694069,0.199680850204133,0.237215421388885,0.239132823529822,0.260862574555891,0.308299129876322,0.356139261794354,0.374688982195214,0.402803695064313,0.410983115550603,0.431008604584631
"3",16955,15.2340480841387,15.3564087450054,15.4248627226577,15.5466759078073,15.6730487815891,15.7862751152887,15.8459763880756,15.6136355475993,15.3779005360217,15.1619378212798,14.9430993200293,14.6923059313598,14.4243384089314,14.2040865271031,NA,NA,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,0.0499360489707957,0.105731123582117,0.140679260725368,0.159052219261774,0.234517093306662,0.254782127678148,0.301281374149564,0.319746523222082,0.340393668345198,0.357427423872734,0.380780777971297,0.389556824160641,0.429193234898455,0.461961308319852
"4",16956,15.3796230088546,15.4850553974319,15.5849265709871,15.6996909898176,15.8158665881284,15.9314752964569,15.7223679428478,15.4581510356538,15.2373760615752,15.0091331753514,14.786581695682,14.5518835625552,14.3214208440083,14.075681227666,NA,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,0.0390655284463462,0.0764762003832709,0.139673960883685,0.217899055295542,0.232678852522791,0.281946407237978,0.285195874013648,0.300221253142603,0.318712093012797,0.337476785286147,0.385107277070137,0.393923755395666,0.404956195284312,0.415578608149477
"5",16957,15.5460385165264,15.6849554522573,15.7939428760493,15.9400303378281,16.069438579256,15.8462910483353,15.6227121746977,15.4117384538118,15.1626195145904,14.9377217282873,14.698046535606,14.4477944040784,14.1531148026265,13.8999815470394,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,0.0494234850990477,0.0907938663833118,0.141991640376962,0.183738632784076,0.227963076480152,0.239210687465916,0.248678388984827,0.283295438147267,0.323087907972317,0.340135263706027,0.359598260783272,0.371567545002785,0.409841982410087,0.439848462731523
"6",16958,15.3505620511766,15.4205345070877,15.456048759153,15.5227146640253,15.2516560641394,14.9765012720502,14.6697786993804,14.3928704478978,14.1181281703684,13.8252882612026,13.5185890806022,13.2087060710473,12.9461614048249,12.6656445853667,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,0.0497468703633929,0.0878679401009268,0.125199484062376,0.141331509602126,0.169469444949755,0.207277234050646,0.221066389620406,0.269200185238688,0.293806594331452,0.296009739463779,0.335286342713461,0.340520404690299,0.373555555322064,0.427958989208596
"7",16959,15.3110634998644,15.3716404546713,15.443459889902,15.1211104986482,14.8434528410501,14.5243448322197,14.1953847298669,13.9081104770189,13.6252311008926,13.3268232429335,13.0015026098678,12.6958509140329,12.380943505743,12.0237181112236,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,0.0460075452076316,0.0671897343323581,0.104562854947389,0.121442470628551,0.168711885516117,0.199904072533558,0.230295898450849,0.263782151532018,0.290910095749858,0.312715660171718,0.346066442368653,0.364748826068273,0.410394273663315,0.437450617421658
"8",16960,15.3583243837809,15.4021268855057,15.0891750853292,14.8035666908331,14.481929042581,14.2053407945649,13.9055515075641,13.6198555426119,13.3231064481765,13.00477782897,12.7067056302952,12.4078742301242,12.1235629228999,11.8248422060512,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,0.0408745399709129,0.0852214717421533,0.10882190314211,0.115731701408754,0.147805632613712,0.163900997567756,0.185824222907155,0.208518639821455,0.237467293978657,0.259982335819605,0.275816004314689,0.28158295739308,0.301127315652645,0.318229614954142
"9",16961,15.3097924374657,15.0537626182697,14.7290566365101,14.4187353649573,14.1231425797886,13.7909892103772,13.4932703462383,13.180362245437,12.8500146719969,12.5303410305806,12.2033323702748,11.8802084101438,11.5403718742244,11.1954710867012,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,0.0389318897893229,0.0698270590775944,0.0836288271165567,0.101744409203297,0.123599021618881,0.153705966768588,0.177569182055777,0.204150881219243,0.223183526743012,0.240905798112051,0.292651262636305,0.312611101241015,0.372595721236371,0.343597767019456
"10",16962,14.9545203628281,14.6764321434893,14.3932864796725,14.1112273211978,13.79467221906,13.4895877238847,13.1885013293443,12.8784493260532,12.5548398489109,12.2456246357206,11.9472421246971,11.639594960837,11.3348965867798,10.9878285045586,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,0.0193259598951337,0.0354076826427234,0.0673968698101074,0.0902472709494509,0.113994878725391,0.138163089449101,0.179111395985498,0.205545679031852,0.234852191039257,0.24048064137458,0.249284900050284,0.255159052992902,0.259301901487644,0.268298877679306
