"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",17345,9.11751253427245,9.03109211908291,8.90670623240188,8.81232464441899,8.69618514700594,8.58741292243317,8.4910694827267,8.35580639520614,8.22767250638408,8.06999492652141,7.92783946422066,7.81647393745886,7.6615625332048,7.49433127850397,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,0.350154959208804,0.463888893042302,0.616174510355111,0.848985101427299,1.10626764546703,1.30023138493528,1.58149801808193,1.9276279380037,2.28958263655472,2.69409919173335,3.23619753734326,3.85390161107675,4.4442129120106,5.148317880505
"2",17346,9.13841676733397,9.08135516250936,8.97283082037813,8.90112641357521,8.83493979901565,8.75670533407444,8.68534861736547,8.59390465103682,8.48470470611154,8.36757505493248,8.25646921759411,8.13479417333564,8.03164859097366,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,0.430726641840527,0.505041691620227,0.62830000386614,0.796952080673901,1.00100830213392,1.18858584413435,1.35553008930135,1.58190908310665,1.870101609207,2.15652206191751,2.47058270848565,3.00290165188117,3.37076466961792,NA
"3",17347,8.99791510408616,8.86850727852241,8.74667166288999,8.67867891702548,8.57080262228005,8.40348105727204,8.27807184865646,8.1445615982869,8.00293481953143,7.86229230066451,7.68030534292457,7.4855396535545,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,0.690575257731459,0.864940154976432,1.09291205258027,1.46769229144176,1.74447250522401,2.10974512355436,2.48507461513752,2.86242059432533,3.32684529959125,3.85760631804511,4.52359019997422,5.29558283399018,NA,NA
"4",17348,8.83713291482098,8.72942941687758,8.61790175377202,8.51132235645587,8.36237476123109,8.25972149519914,8.12056867160729,8.00830854160043,7.89514892241219,7.77481205712515,7.67520300834131,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,0.805525141064149,0.905016490209567,1.14853530721883,1.26629729469899,1.55200887946559,1.87157710107738,2.22931821146031,2.69195919686942,3.01916388249651,3.36026608587505,3.73118246113493,NA,NA,NA
"5",17349,8.98086116479622,8.93446832451305,8.87059199248916,8.73584940288566,8.65260952461198,8.57298101021114,8.47255090013599,8.36987165027582,8.24654233194213,8.11099318466139,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,1.08297951603112,1.42172952414687,1.80183704559106,2.29122087529908,2.75800517720483,3.22320072347228,3.82886214240819,4.57940696900539,5.17926192990419,5.85193511839678,NA,NA,NA,NA
"6",17350,8.55857769078852,8.42132183319711,8.27161164673599,8.14717164623878,8.02118725678476,7.89255467961835,7.77918941252023,7.67250352214541,7.51350350425338,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,1.15141059089799,1.44838544378259,1.7174817420866,2.03293966438635,2.44354757425768,2.96582887187405,3.53375910611639,4.09761956951187,4.53586014947955,NA,NA,NA,NA,NA
"7",17351,9.02507777041729,8.97839839118931,8.875972358816,8.79693924801711,8.69085069502111,8.5922001675424,8.4501000955662,8.3580557178678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,0.119677510166898,0.223932667610746,0.337950764319248,0.468989585127013,0.632012098209538,0.759182833363503,0.920055483125437,1.1334890540989,NA,NA,NA,NA,NA,NA
"8",17352,8.82175571900524,8.72886284596625,8.65931912139505,8.55003791748828,8.45211204610145,8.33767559406564,8.23490058121306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,0.206602820121151,0.323085898303574,0.49357025243522,0.644333685298019,0.880994697849944,1.02399164964021,1.22696837224775,NA,NA,NA,NA,NA,NA,NA
"9",17353,8.77442043065747,8.69711438992915,8.58000872133631,8.42892291587421,8.33459719447273,8.20224563247717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,0.287779649420278,0.407189476846213,0.514874998377601,0.72204485934028,0.878747893617852,1.06426115724117,NA,NA,NA,NA,NA,NA,NA,NA
"10",17354,8.68230978946725,8.62497416277325,8.53443332110255,8.42844321419573,8.34050045074831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487579126798889,0.621742753883595,0.767832455853283,0.972186327502429,1.11276809901179,NA,NA,NA,NA,NA,NA,NA,NA,NA
