"","Var","Date","Sim","value"
"1","R20","1","V1",0.725192014110323
"2","R20","1","V2",0.59149350603413
"3","R20","1","V3",0.414601185398582
"4","R20","1","V4",0.418395475437872
"5","R20","1","V5",0.465060134869882
"6","R20","1","V6",0.543317408368168
"7","R20","1","V7",0.61236889122514
"8","R20","1","V8",0.455071313230336
"9","R20","1","V9",0.537419515947052
"10","R20","1","V10",0.576419669698263
"11","R20","1","V11",0.84456596707814
"12","R20","1","V12",0.412078213251851
"13","R20","1","V13",0.746109190591651
"14","R20","1","V14",0.420870823618241
"15","R20","1","V15",0.511364162491344
"16","R20","1","V16",0.456206034458314
"17","R20","1","V17",0.44955509422985
"18","R20","1","V18",0.565552655572309
"19","R20","1","V19",0.432018699748147
"20","R20","1","V20",0.419629207688457
"21","R20","1","V21",0.653271571992411
"22","R20","1","V22",0.503802062945923
"23","R20","1","V23",0.628914926806819
"24","R20","1","V24",0.483901285728411
"25","R20","1","V25",0.457602452887314
"26","R20","1","V26",0.407738907687641
"27","R20","1","V27",0.536219143434005
"28","R20","1","V28",0.628133004203093
"29","R20","1","V29",0.584959739605336
"30","R20","1","V30",0.628426490059666
"31","R20","1","V31",0.629910522832306
"32","R20","1","V32",0.340117821692508
"33","R20","1","V33",0.719765520101331
"34","R20","1","V34",0.494677554139066
"35","R20","1","V35",0.4699080591523
"36","R20","1","V36",0.646315609280953
"37","R20","1","V37",0.378650051956308
"38","R20","1","V38",0.545966251219537
"39","R20","1","V39",0.482478739351595
"40","R20","1","V40",0.38659165978943
"41","R20","1","V41",0.284756533754681
"42","R20","1","V42",0.405473324053695
"43","R20","1","V43",0.372525519428056
"44","R20","1","V44",0.377823791476697
"45","R20","1","V45",0.667033218379414
"46","R20","1","V46",0.36356635966759
"47","R20","1","V47",0.602317869620227
"48","R20","1","V48",0.659011175511659
"49","R20","1","V49",0.494309815566683
"50","R20","1","V50",0.55365131110421
"51","R20","1","V51",0.818040366911519
"52","R20","1","V52",0.380025461814437
"53","R20","1","V53",0.467054204133018
"54","R20","1","V54",0.590116822045032
"55","R20","1","V55",0.642658157732056
"56","R20","1","V56",0.541254824021509
"57","R20","1","V57",0.548713537135944
"58","R20","1","V58",0.501042003084574
"59","R20","1","V59",0.585359450151346
"60","R20","1","V60",0.519842124693942
"61","R20","1","V61",0.494023731256351
"62","R20","1","V62",0.691332244049399
"63","R20","1","V63",0.608917107692396
"64","R20","1","V64",0.745575786289687
"65","R20","1","V65",0.328202691489408
"66","R20","1","V66",0.794180540364153
"67","R20","1","V67",0.470669641149721
"68","R20","1","V68",0.538171844292969
"69","R20","1","V69",0.605134446322253
"70","R20","1","V70",0.54625066115896
"71","R20","1","V71",0.428278859459678
"72","R20","1","V72",0.459250023346384
"73","R20","1","V73",0.344743316447756
"74","R20","1","V74",0.50130786005543
"75","R20","1","V75",0.408013546071148
"76","R20","1","V76",0.574445494148281
"77","R20","1","V77",0.618491696754345
"78","R20","1","V78",0.375903198211834
"79","R20","1","V79",0.296634528543809
"80","R20","1","V80",0.441783750922218
"81","R20","1","V81",0.257632912083559
"82","R20","1","V82",0.533434033019164
"83","R20","1","V83",0.806114559656511
"84","R20","1","V84",0.613048172783732
"85","R20","1","V85",0.569285534778674
"86","R20","1","V86",0.170126134856053
"87","R20","1","V87",0.291776403146188
"88","R20","1","V88",0.623807539680939
"89","R20","1","V89",0.4935919913144
"90","R20","1","V90",0.561230145651663
"91","R20","1","V91",0.48565736999117
