"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",18050,3.05404354940619,3.50288236526403,3.92767903138002,4.37047477204086,4.82792419020108,5.28204853627603,5.72820303529503,6.14713005362799,6.57943907215076,7.03591985660594,7.46507928487827,7.93647211395844,8.36361108823466,8.76894627899968,NA,NA,4.57211053873211,NA,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,0.0962236918211632,0.250729102350461,0.538404419579962,0.956724041419938,1.41190175217232,1.8917572301642,2.63840296040714,3.46899480791158,4.37065821837915,5.31411513982994,6.24321585764,7.43713356743985,8.41400890335301,9.71968089772931
"2",18051,3.47792260284672,3.88418358531267,4.28882336134321,4.7344245603756,5.19360944581419,5.61458688799195,6.05763128209986,6.43742119871875,6.88572295385397,7.29477542973291,7.7101208232234,8.1071827668943,8.52594250274976,8.52579761134299,NA,4.57211053873211,NA,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,0.336575684168618,0.665674202598958,1.07054400243374,1.64825445392731,2.31115771660554,3.01303775724119,3.95036702404249,5.18776857999334,6.44738752811168,7.82574838742492,9.30483438038022,11.0390294717564,12.7379566700437,14.3595969700242
"3",18052,4.05921131689668,4.54091862462403,5.01489495052506,5.4713630790911,5.92988618415042,6.37245707926412,6.84016549341876,7.28427955626654,7.72572833525911,8.14817197257304,8.60923580008564,9.03356000204765,9.06747191301354,8.90275797992892,4.57211053873211,NA,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,0.630122840492879,1.12320394275906,1.74522389754057,2.43156629011825,3.34971908372634,4.31028780210962,5.25020508660276,6.58811304475041,7.87518174353834,9.26004162459847,10.704203672815,12.1534875987274,13.8497872809421,14.2454433947846
"4",18053,5.10143280344951,5.6342557603578,6.18543075179685,6.76710055238059,7.3295209158336,7.90001812981093,8.4550127924543,9.0382496765383,9.65759639526955,10.2240834793875,10.8001034770173,10.9672187379382,10.8230831106084,10.6796532027865,NA,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,0.0751739718657138,0.224454216998759,0.339049662616605,0.495923913101926,0.664145373146578,0.952963389329193,1.20021559718969,1.42714571252599,1.84459817711805,2.23679062727807,2.59087861707442,2.91327779631033,3.04332671911812,3.17607626349041
"5",18054,5.70089246581275,6.32722469829894,6.90765270215573,7.53711786246082,8.11260569830383,8.68459923841347,9.27835460761969,9.89894495175187,10.4789583689763,11.08575626717,11.2479624481795,11.1108725364175,10.9559813969641,10.8051097614383,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,0.156191610985727,0.309419956648658,0.43781234280244,0.693371007315806,0.932256254023797,1.10018065068402,1.31448718913973,1.55856541752812,1.70883686061257,2.0461037072798,2.30626215095684,2.34294020626905,2.45406196980314,2.56376867850129
"6",18055,6.38187233572462,6.97470433791911,7.58295152177799,8.16850377195496,8.75042642837261,9.27384063144301,9.87827361493487,10.4942512910398,11.0978380557656,11.2730729824044,11.1221902640119,10.9649295979565,10.8179083846663,10.6777854936815,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,0.324650295656124,0.473474240968266,0.627391469510251,0.761452765949873,1.06032074561264,1.29481645595293,1.54927655516623,1.6495394108986,1.93279641473201,2.34261005485356,2.38623534034503,2.53178496626071,2.67008099425454,2.84501384251104
"7",18056,6.8924448474162,7.46543149387143,8.05886768307976,8.65564440074955,9.22356682962814,9.76856370963516,10.3698586956013,10.9669876250568,11.1511306920352,11.0054207519922,10.8452694298442,10.7184802289336,10.5753764771315,10.432558529023,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,0.485235213871751,0.689652853348283,0.914809208848967,1.18180342850792,1.47323731218932,1.72347218653572,2.01331561817418,2.36671145045837,2.74044968950231,2.91110963090048,3.08130904065676,3.12234694754065,3.22630620896341,3.43249782941739
"8",18057,6.43715951850682,6.88102462480706,7.30752201116862,7.76244133711515,8.21547256170065,8.66090574814689,9.0706030655382,9.09774823392286,8.91051054595349,8.71849051269521,8.53879713031625,8.34456536310278,8.15394812514381,7.96827901704167,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,0.0813475524372296,0.190235800883854,0.298006191638456,0.489707230137588,0.664383197616248,0.836063406156051,0.96567969971218,1.13760010475956,1.180907414107,1.20176098073144,1.26458199072948,1.31820591013431,1.36542379298128,1.41206065561715
"9",18058,7.00545027628427,7.48065724003808,7.94920288501696,8.39102168071585,8.80021897367961,9.23620587445711,9.2626137880367,9.09059149042359,8.8952699905753,8.73237684223436,8.54589272630388,8.34799722256289,8.17727206953574,7.99897533246967,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,NA,0.151188192257736,0.2542524333,0.340007367537992,0.452824216475278,0.656303457681683,0.863547847586401,0.982230480429166,1.04015570149652,1.10134928094063,1.14358592249584,1.2029213946737,1.28600352193602,1.33116241570053,1.40045329285539
"10",18059,7.42526075260097,7.91253478557654,8.42710984814595,8.89078534722485,9.31329517719717,9.3693777302301,9.21421640838442,9.02149914009814,8.85926268774385,8.67798317525607,8.49750188719924,8.32080924133756,8.13318532892806,7.963701384723,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,NA,NA,0.230891228725172,0.335516885450548,0.489795102923715,0.5995366184686,0.793255599024791,0.881234394053003,0.944152888117277,0.981401817302931,1.02937935271419,1.09110592843415,1.14270677366256,1.22009645047046,1.28184647761351,1.39175148571549
