"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",16223,9.50650216117069,9.58544404903492,9.30288625427878,9.01975428053432,8.74817846844525,8.46670095772301,8.19049280689441,7.92166427341415,7.64859595838566,7.37294820203206,7.11277854975741,6.83294052262274,6.57987548863413,6.30590239077664,9.49064731564589,8.99356617051291,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,0.347162992569908,0.408284571706403,0.453762346818081,0.489051260219909,0.518576387220456,0.514521173148039,0.55383469431886,0.588078333106298,0.606720332833979,0.626309187229151,0.679842460576713,0.750203797756655,0.774318980089293,0.8266262298035
"2",16224,9.57042872670639,9.29293126495408,9.038009965474,8.76574995823151,8.45246274668534,8.17366660795603,7.88845179554716,7.61635234804494,7.33553098123281,7.06130358493045,6.78121160065225,6.5075375300065,6.24497802612257,5.97654946147114,8.99356617051291,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,0.144130086014494,0.160751703222005,0.179307279218711,0.201085051919154,0.231526199249533,0.261119578816431,0.292906952261097,0.323246998473442,0.356590886758244,0.369179154286871,0.421025856370028,0.486155001486988,0.499010521098301,0.521252602777369
"3",16225,9.16799013404217,8.90974413402634,8.65573885109583,8.36602826280731,8.09336456724377,7.82640966095049,7.53687288566156,7.26557015876901,6.98761906743937,6.71710975160594,6.43620210311844,6.18193976166669,5.90812124307353,5.63902586813145,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,0.0949235755588533,0.101416428752576,0.1133746321525,0.123198000429448,0.135509285899204,0.151356549042123,0.182791530230438,0.213761896427033,0.263109236920901,0.304842211151864,0.362107598500461,0.405754458517917,0.460893611282526,0.484619138714697
"4",16226,8.79502458727114,8.51184094646194,8.24326991319582,7.95420005654887,7.69265696965412,7.41056152493932,7.12500156540775,6.85417222111133,6.56099120650062,6.27101797911173,5.99448139339958,5.73030952648116,5.45332945517819,5.1855876091458,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,0.0713441502029578,0.0907827479051468,0.104678576074898,0.12807384852471,0.144199574244677,0.173654695206788,0.219091301665817,0.263666656339631,0.309715040955836,0.343774117998421,0.377025278678945,0.402074688894669,0.4576789702427,0.514902741358838
"5",16227,8.49048477328309,8.20068994434927,7.9024365369659,7.62988074688118,7.34766655280818,7.06067246183888,6.76019690465472,6.46477536178497,6.17656026710713,5.89884536625831,5.63189246313875,5.35126028391741,5.0576775974595,4.78372626670601,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,0.0686862946503122,0.0954338383915343,0.126727102711765,0.156394549570277,0.193104180345884,0.22243626382137,0.25919262675584,0.290248461854023,0.316887873462522,0.349854174751357,0.392910899462274,0.43002290680866,0.462868041462059,0.498691865185954
"6",16228,8.22984160672534,7.96697201039751,7.68547099244534,7.40680891961149,7.11715557840529,6.841840591091,6.54950761915277,6.28511280840336,6.02163305113975,5.74633276585549,5.47552485735533,5.19524137166127,4.92634685686024,4.65913722467736,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,0.106058612597484,0.127121742767407,0.163233730615635,0.192830837839184,0.215859952740618,0.253169020438797,0.300612465343526,0.341842636065067,0.364679279594932,0.421074993446315,0.473271548644421,0.47823486123314,0.505429170348986,0.540757902750164
"7",16229,7.99672571579608,7.73418960636229,7.45294182790043,7.17405694228776,6.89904111242908,6.61732898571557,6.3364842572625,6.06115308269828,5.78708312192575,5.53512483542518,5.27174168838797,5.00343292323461,4.76436071304974,4.50009930730494,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,0.101977716812585,0.11396094641727,0.128837238184898,0.155234281906921,0.178452920556387,0.213086160277449,0.234729467401914,0.25876073617059,0.299680334774874,0.336082694504943,0.354560410321163,0.41801087415107,0.46768141552792,0.501976674439669
"8",16230,7.64530841500009,7.3632007247659,7.09800972064427,6.80384252363933,6.51699920814314,6.23777527600616,5.9571609514438,5.68154819758563,5.38462166030623,5.13914878117126,4.84624068594664,4.57085441744153,4.31704418232173,4.0499005761137,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,5.71122554801964,0.0750406287699008,0.0992268909592236,0.11206798628731,0.131371991986394,0.16115770748011,0.174299037972313,0.216386831312503,0.250279070859848,0.28103632582071,0.305074640177113,0.322631195405218,0.342079422457901,0.378816294393513,0.402217993396587
"9",16231,7.33508001223567,7.04978609770974,6.76343130734695,6.48612766531267,6.22930232258129,5.97149940709766,5.71257458622742,5.43592065887421,5.16107814486084,4.88106780735625,4.61496061396469,4.32169855032859,4.04885199475749,3.76922890262072,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,5.71122554801964,NA,0.0834122397981647,0.105723160492721,0.14251208733864,0.165216543825739,0.196479072103905,0.228229389001553,0.250868983272329,0.274143913097149,0.29545650263821,0.323631316909808,0.352338463192527,0.390362117573443,0.422211941955312,0.424879807325795
"10",16232,7.02718251248429,6.76251024334322,6.46373995538139,6.19339692695373,5.92166470980448,5.63644615254853,5.35276747567723,5.08631101544522,4.78431653207493,4.52042733964544,4.24135517999276,3.95487824304107,3.66068978559684,3.39486898570944,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,5.71122554801964,NA,4.74794862758507,0.115065952241349,0.147797068038354,0.177238933082983,0.21062385678873,0.235627689625495,0.260761437179204,0.280253406538992,0.299500493518658,0.329976019390123,0.365682127168728,0.387180131277417,0.427771960043577,0.458348074695599,0.475664685369419
