"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",16223,9.65615647588844,9.84566878143424,9.66246423878138,9.47589147210697,9.2894692186154,9.10209641628886,8.91428806896025,8.72461620648404,8.53511390053571,8.34316437461944,8.15233132797453,7.95835497736427,7.76894541890388,7.5790147100587,9.49064731564589,8.99356617051291,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,0.0300306566833835,0.0753492519508477,0.0748433023234019,0.0753169522876206,0.0766074970314745,0.0767979710749962,0.0762811327148975,0.0781542959658292,0.0779005667572136,0.078422948495489,0.078278027736017,0.0781813786280383,0.0766374960790048,0.0784036329636717
"2",16224,9.71381299915392,9.52040817757208,9.32626731669877,9.13226710709067,8.93749277816483,8.73922930607955,8.54398699691476,8.34971631657157,8.1543481403794,7.96081428039212,7.76376272236566,7.56397158801469,7.36480513589574,7.16222953312262,8.99356617051291,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,0.0342899880604192,0.034558150577332,0.0351857526525701,0.0363597892014605,0.0365116035056171,0.0366160935956202,0.0367443569329198,0.0374314192006119,0.0383020107460144,0.0392207412886336,0.041230889094094,0.0418577023212866,0.0417023602470554,0.0410483943684415
"3",16225,9.21201172603591,9.00592938615257,8.79877563763914,8.58787846985369,8.37606631316976,8.16154359584564,7.95035943582466,7.73602353312664,7.52487119392676,7.31143905152533,7.09723386947538,6.88290559696238,6.66828665002194,6.45256749511721,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,0.00032355491104107,0.000660619507755701,0.00108068271200637,0.00150009801772317,0.00165722506844495,0.00177014941750407,0.00235753991415334,0.00244431480888562,0.00274137167594416,0.0028470385108957,0.00291748229332413,0.00316932143162661,0.00342802731000694,0.00414448901111735
"4",16226,8.89824945736052,8.66885791454505,8.43696525578462,8.20800600251626,7.97757695252021,7.74313194326585,7.50914850957325,7.27544421212482,7.04191139769696,6.80472158463788,6.56819387412701,6.32925707815086,6.09048437619273,5.85228007098281,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,0.000393206190327064,0.000752162779348652,0.00106146727168534,0.00108197734205967,0.00136166668957734,0.00154951147419598,0.00192301896386803,0.00250993167764532,0.00290857873073732,0.00308330859433082,0.00361800922228053,0.00398842253275238,0.00418502793066011,0.00488851189015597
"5",16227,8.67301902040821,8.44874709533761,8.22107416598017,7.99400733669034,7.7631926911828,7.53359737239249,7.30343015682213,7.07146494549889,6.8413784687046,6.60392396815929,6.37043482449958,6.13541115944618,5.89967500297196,5.66451726764349,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,0.000420370839616299,0.000718205342499567,0.0012041358934001,0.00163266574948853,0.00177403045684125,0.00208591182117427,0.00264289120753856,0.00312855439371667,0.00339153206348202,0.00359697144310041,0.00416382662262088,0.00444009129341011,0.00461243012580475,0.0052204514778981
"6",16228,8.42240274506386,8.19742934339457,7.97038601706148,7.74027785849524,7.50973874109437,7.27780184836424,7.04397256207308,6.81322610694213,6.57714535380855,6.34651390418023,6.11151859367368,5.87723792760212,5.64249442642877,5.41009044372157,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,0.000299044439739449,0.00058525816505019,0.000873769983311751,0.00135580815575826,0.00153693614906847,0.00197579510585985,0.00203973546327259,0.00233310394219629,0.00312586247430572,0.00326274638775901,0.00405385888738922,0.00468637297215669,0.0052095320681885,0.00587605773804061
"7",16229,8.18966378583266,7.96285610124091,7.73655916914145,7.50420523212178,7.27288394136203,7.04802208314753,6.81957505022819,6.58818138529103,6.3570635929996,6.12447690083811,5.89356103108628,5.65602186267589,5.4224744671346,5.18564675696573,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,0.000288105164800544,0.000471763673839225,0.000847395700153912,0.00118205295041311,0.00149854912674802,0.00191745632762642,0.00207283690851417,0.00230770722622627,0.0028039464451311,0.0035036680916967,0.004274669784636,0.00482177367989949,0.00564130518682057,0.00604781728483512
"8",16230,7.82543843076419,7.57093138514108,7.32115812346938,7.07302514064304,6.82330083913388,6.57075661795043,6.31957955052914,6.06227611093403,5.80970841353755,5.5556481714595,5.29616677114832,5.0396287886906,4.77875532704601,4.51999277486509,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,5.71122554801964,0.000362516118932651,0.000679567416874721,0.00102105370110984,0.00136352624057765,0.00195693506863421,0.00263553380872759,0.00337486440337038,0.00398183576023801,0.00428590776219014,0.00527425484968372,0.00543400381193554,0.00538900604796441,0.00571600099865587,0.00592214779478993
"9",16231,7.67703464286441,7.44099818868687,7.19831861660496,6.95845581233563,6.71894508836598,6.47857697818112,6.23699292451028,5.99529277041871,5.7533831718801,5.51225682846226,5.26501013360523,5.01963567058671,4.77254002126499,4.52238268113557,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,5.71122554801964,NA,0.000409093991749656,0.000873005763939359,0.00117189580878453,0.00156040006655254,0.00168418297779876,0.00223019799240029,0.00282568366212642,0.00335821023549798,0.00345660172685685,0.00430657613024844,0.00499055720896476,0.00541700036960505,0.00557203881777719,0.00554176920025918
"10",16232,7.40752739643081,7.16814766497267,6.92822103960343,6.69062199213802,6.44676534215103,6.19866554463363,5.94979727517861,5.70729770835881,5.4571348384053,5.21083976654392,4.96342841174299,4.71413563581406,4.46088795916729,4.20958720345919,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,5.71122554801964,NA,4.74794862758507,0.000384411667842145,0.000778831940583581,0.00112111291254976,0.00145733691296267,0.00182940740394684,0.00220957194450025,0.00252175127098696,0.00273692296269314,0.00327087472857215,0.00416580680493849,0.00493223816538959,0.00535989657492019,0.00556967139024987,0.00579294801781717
