"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",16953,14.9261297982906,14.9684781268352,15.0381177467811,15.0555831062964,15.1058650546366,15.1661227215353,15.2180349696343,15.2684270569423,15.2829363567651,14.9977149974847,14.7090805603106,14.4216768738208,14.1476841855901,13.8580913351752,14.9891614025484,14.9585031399137,NA,NA,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,0.603888554285249,0.915325442057495,1.408234353211,2.11138495273988,3.03756016529766,4.17094114252629,5.55240756211416,7.17772147972264,8.94697096766404,10.8072891809879,12.7612169506302,14.8437512640805,16.9982900551581,18.9848604406139
"2",16954,15.1248729202765,15.2082760627158,15.2856044905543,15.3540771935934,15.4146653053256,15.4763173399539,15.540699969891,15.5998141909557,15.3050069359912,15.0052642033166,14.7248205055496,14.421007886441,14.1480132398495,13.900279438465,14.9585031399137,NA,NA,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,0.287177297360705,0.597141141730889,1.01677482609851,1.66507534619686,2.52223107843923,3.53208023497877,4.78633899069253,5.91917560618566,7.34292384375314,8.76124785045381,10.2709235313197,11.9669890355175,13.9714371486847,16.0607830360863
"3",16955,15.1921204035773,15.2640488343256,15.3894889150403,15.4619301213137,15.5677348878774,15.6670505374595,15.7542591581802,15.4764739451408,15.2260940656091,15.004361888994,14.7268457998727,14.4594797261665,14.1787289341024,13.8941505077599,NA,NA,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,0.261947494505014,0.53015888425063,0.90123435386566,1.30907697042868,1.89578352649751,2.66111760796644,3.3764188279536,4.27034875437273,5.14566408486038,6.18323367847149,7.26688595926303,8.39488475946637,9.86436645393369,11.4504877140885
"4",16956,15.1680322492883,15.2263289487076,15.2648489400781,15.3350604657566,15.3554915897359,15.3816130425065,15.1372455005144,14.8824639640106,14.6089460115995,14.3392593380586,14.0445439153811,13.74865833625,13.4503153519853,13.1640508519897,NA,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,0.536738992099635,0.916917756764798,1.36194845797865,1.95225932718469,2.63168529652943,3.2804236896085,4.19290589335715,5.14057443697938,6.21494063438691,7.36645459692156,8.66104756814558,9.79854163183432,11.151537778236,12.6391719909592
"5",16957,15.2742191751994,15.3811857852501,15.4245695258262,15.4595089019198,15.4877189925116,15.2043721076508,14.8840604551994,14.5920870827065,14.2917478032371,14.015991795422,13.7564049852821,13.4663012766556,13.2018118190568,12.914649512527,15.1088554421536,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,0.966337203640664,1.40956330721818,1.99560041029522,2.53803597863142,3.36503815277098,4.26994480783118,5.21883485914106,6.36384057281496,7.64165630727641,8.95542114889225,10.3064091007191,11.7867434491042,13.1217825906088,14.7916087086485
"6",16958,15.165088558929,15.182320316785,15.1954942326851,15.188777395374,14.8765984441826,14.5398597186372,14.2335552265788,13.9268218416028,13.5921959083886,13.2880120669102,12.9801724416798,12.6607648890727,12.3476521872541,12.0276170192873,15.0327619147683,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,0.237990803096607,0.393393580026922,0.614757475272655,0.863328364963041,1.07007343695514,1.37765351315901,1.68985109970565,2.08574196993876,2.56836459145271,2.97302183021234,3.40509692805468,3.78778116416433,4.30042366366516,4.99374716601638
"7",16959,15.1216241676248,15.1009301986039,15.1770211276789,14.8477066669882,14.5362275190213,14.2466190322862,13.8840178139863,13.6009780113748,13.2565968945503,12.9265313814589,12.590657322473,12.2471144577817,11.9156485060122,11.5654227484921,15.1688880736677,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,0.188643069992116,0.323935967392013,0.439694370085343,0.591062741610407,0.764253992228483,1.03301548905638,1.30644136222734,1.56418687470696,1.88805767715646,2.29269380321543,2.65632519171421,3.01864272003846,3.41985975441673,3.89496387319861
"8",16960,15.1489288550792,15.1493902196166,14.8420512542414,14.4906170946329,14.1667998264714,13.8383996284092,13.4831496224467,13.1421279523271,12.8130208654554,12.4811502624596,12.1459317632718,11.830819419468,11.4871447701879,11.1408502900748,15.1060821720363,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,0.218158192116234,0.314938758753906,0.435311589848489,0.536059745528301,0.736414074299238,0.957510308852442,1.24166219932357,1.52570157282637,1.79559258028611,2.05057919209325,2.44301707810008,2.86482310673652,3.19516107338648,3.52838640957253
"9",16961,15.1929604108507,14.8841519896134,14.5663007043701,14.2672693420218,13.961312066623,13.6545365166677,13.3145772243254,13.0161189192592,12.7209219805064,12.3809233302562,12.0767998943925,11.7478548274349,11.4224792905158,11.097212356704,NA,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,0.202240415276306,0.301660054815262,0.41473852651591,0.575733332582675,0.702632942594305,0.866074267603513,1.06611089105955,1.29561531045628,1.53722297397879,1.81308986070904,2.07153654554053,2.39167265339068,2.64609765609094,2.88695033606099
"10",16962,14.7773667515178,14.4538163007272,14.1498258782462,13.8329398735913,13.5434852401658,13.1880761412332,12.839053581543,12.5179893014158,12.2087570258659,11.8666795709529,11.5238494031624,11.1852697884144,10.8355623298389,10.5157438379062,NA,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,0.296921189377153,0.44537984878027,0.586010770353174,0.798227166525995,1.00368097051575,1.21900008326303,1.42191721511585,1.6672672967455,1.85822251812552,2.09000398918612,2.36920386452082,2.60162557020536,2.98006266136686,3.29452092590447
"11",16963,14.5042368078004,14.1951414018095,13.84028988898,13.5226509116077,13.1715011682023,12.8288571397961,12.4840841569015,12.1886157208316,11.8435749366129,11.5049124612592,11.169696057559,10.8413648933603,10.4896223022405,10.1852505125193,NA,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,NA,0.375170316589554,0.512901556336377,0.702560747989686,0.871658998274008,1.00653602584115,1.31240815396606,1.49193286612303,1.73218893512308,2.030400450086,2.34787909071588,2.61074617526214,2.91219246651989,3.30564946281299,3.51974587680479
"12",16964,14.3345818711914,14.0494967089484,13.7499076427367,13.4742895316079,13.1679285971595,12.8821314904861,12.5726728672495,12.2927179761898,12.0030207661434,11.6825473203003,11.3897715956567,11.0982889574467,10.8001546004363,10.5164748140696,14.2823954203628,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,NA,NA,0.573334060376117,0.749197267996963,0.878686349134697,1.06902772420793,1.3133545438222,1.61001134576788,1.83165675470208,2.10858911502744,2.39063671796444,2.63940485028685,2.99036209192186,3.30159705186681,3.58888919459749,3.8831851853079
"13",16965,13.9321908949817,13.6562415340418,13.3537307625046,13.0452857036948,12.7449936907517,12.414215632018,12.1052285332171,11.7905866806025,11.4629315684198,11.1714058764867,10.8654203825183,10.5614085715929,10.2184819195954,9.89036548503986,NA,NA,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,NA,NA,11.0196116803557,0.2095330246688,0.295118906270082,0.369071894925281,0.493946849963721,0.573554166250488,0.667112838943907,0.834705870282563,0.995156319718061,1.21055750714508,1.38343976503555,1.59801334999809,1.81839787610642,1.93842888247453,2.18177633308703
"14",16966,13.6164786228315,13.293618156764,12.9592590123155,12.6380631049444,12.3098526917814,11.9632894426264,11.6601617338123,11.3419209005377,11.0228239924475,10.7052007883396,10.3983512333975,10.0801611863622,9.77765876310168,9.45852575756287,NA,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,NA,NA,11.0196116803557,11.2136151412075,0.303029993321825,0.407856436851148,0.443283600520035,0.526856325209547,0.651924854140001,0.770193383482376,0.911105009412738,1.04514290903163,1.14761958646796,1.27805680339523,1.44034987803933,1.56497907635775,1.75386878947899,1.91972412669542
"15",16967,13.3150090155469,13.0141320003175,12.7041656799921,12.3704268991254,12.0305950770723,11.7454435148209,11.4048153929189,11.0997205080974,10.8047358685793,10.4843198158072,10.1594085465321,9.83706253774997,9.53377250777881,9.24475394184322,NA,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,NA,NA,11.0196116803557,11.2136151412075,NA,0.355700236260016,0.430559823364227,0.544517013077436,0.694028138185154,0.825719594416223,0.954048908278014,1.079816623844,1.16338771435527,1.3630393336314,1.46469100822422,1.66109333306491,1.87263382742649,2.07332270491455,2.18733695612816
"16",16968,12.979595570608,12.6955463754048,12.3627636969603,12.0567919284271,11.7635025226258,11.4444531237318,11.1120447516474,10.806381768112,10.4888492651708,10.1864964802292,9.87685070844733,9.54732577157953,9.26108196913902,8.97765794420485,NA,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,NA,NA,11.0196116803557,11.2136151412075,NA,11.2023158464945,0.456840717466547,0.585853240302008,0.73608821993626,0.846621856913253,0.906765966510237,1.05453081207325,1.18723162687962,1.3598986017037,1.49706004369288,1.58607091496694,1.72425656188807,1.80061424948386,1.93463436064413,2.09852590939515
"17",16969,12.7377616742606,12.4503548666797,12.1798678376175,11.8877700460632,11.597828170022,11.3012682877869,11.0151348889176,10.7461561567879,10.4161447849691,10.1130596617478,9.80177757343089,9.50147160099141,9.21775693300324,8.93429026021803,NA,NA,13.694215439692,NA,NA,13.2435030643939,NA,NA,NA,11.0196116803557,11.2136151412075,NA,11.2023158464945,NA,0.69447318570015,0.849710090128335,1.01025149592058,1.19626134975016,1.39872799953317,1.63843902742396,1.89289740949613,2.09067974347483,2.24301740276648,2.497984454288,2.77378054667,2.99263059873783,3.2325955506465,3.52706370807413
"18",16970,12.3491188022784,12.0431139017528,11.7380606894013,11.3919533863683,11.0789761150245,10.7884206780618,10.4959870857743,10.1803152834737,9.8806400232738,9.53630272610721,9.22378030825644,8.88551157522344,8.57107970229313,8.26501994888601,NA,13.694215439692,NA,NA,13.2435030643939,NA,NA,NA,11.0196116803557,11.2136151412075,NA,11.2023158464945,NA,NA,0.674897696880016,0.805774540293445,0.902369616527604,1.06804959945714,1.1970142621925,1.36374428471782,1.49718399624982,1.70566251348028,1.99158046943024,2.22215093138113,2.37270455904826,2.52576444213135,2.79821409988194,3.06203568280452
"19",16971,12.2184027165223,11.9008283345905,11.567105232466,11.2788682693044,10.9735309298089,10.6864450025459,10.3830248556714,10.0982726379221,9.78294238298849,9.48496848377461,9.20791210329548,8.94694881394581,8.66887537368339,8.42403220957013,13.694215439692,NA,NA,13.2435030643939,NA,NA,NA,11.0196116803557,11.2136151412075,NA,11.2023158464945,NA,NA,NA,0.863160949124924,1.01609958032894,1.11536953992607,1.26454155620115,1.40266616730952,1.52925678535852,1.66243923496035,1.84549080261915,2.07121889115148,2.27676718750264,2.47836756299321,2.68780526008654,2.86399180063505,3.00701828863696
"20",16972,12.6413798350714,12.3609795414969,12.0978563961769,11.8136167162381,11.5883397407837,11.3279775841888,11.0552116570555,10.7735289436732,10.5014700850511,10.2429899647895,9.984207182887,9.7445146542961,9.49161133211623,9.22220109598631,NA,NA,13.2435030643939,NA,NA,NA,11.0196116803557,11.2136151412075,NA,11.2023158464945,NA,NA,NA,NA,0.187408903450737,0.279995368110873,0.337089480055001,0.378134529648364,0.421474969781218,0.486863685407829,0.560473793307254,0.634721076757028,0.722041517893036,0.841588335923159,0.884302334295968,0.951274702828906,1.01085120530966,1.07502389530715
"21",16973,12.5090406180449,12.2742390065999,12.0215110162525,11.7789892424281,11.5288241384965,11.302951415483,11.0466206804306,10.8081660160462,10.5808223653462,10.3427544704475,10.0860809079459,9.84153092273643,9.57522032782949,9.32325853968669,NA,13.2435030643939,NA,NA,NA,11.0196116803557,11.2136151412075,NA,11.2023158464945,NA,NA,NA,NA,11.898301496459,0.227183648091812,0.269039918642127,0.338466201693577,0.388400217536203,0.46754087880962,0.536267579844201,0.636379410798322,0.722250774977635,0.800681795152638,0.912227700420117,1.0215675406086,1.05286073203148,1.19774215732987,1.31591347227484
