"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",17345,9.21961766886078,9.1417940443853,9.06118181594335,8.97777183393873,8.89155491875478,8.80252186065592,8.71066341968881,8.61597032558318,8.51843327765242,8.41804294469372,8.31478996488797,8.20866494569931,8.09965846377436,7.98776106484105,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639,0.168264197966639
"2",17346,9.05182315812232,8.97189429564016,8.88918205803495,8.8036773525137,8.71537105657887,8.62425401793137,8.53031705437314,8.43355095370952,8.33394647365124,8.23149434171613,8.12618525513042,8.01800988072987,7.90695885486043,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,0.389915295559776,0.389915295559776,0.389915295559776,0.389915295559775,0.389915295559776,0.389915295559776,0.389915295559775,0.389915295559776,0.389915295559776,0.389915295559776,0.389915295559776,0.389915295559775,0.389915295559775,NA
"3",17347,8.82038313259141,8.69727404384824,8.57123188949134,8.44224705944498,8.31030991214639,8.17541077444261,8.03753994148695,7.89668767663518,7.75284421134132,7.60599974505315,7.4561444451073,7.30326844662406,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,0.517342480408696,0.517342480408696,0.517342480408696,0.517342480408696,0.517342480408696,0.517342480408696,0.517342480408695,0.517342480408695,0.517342480408695,0.517342480408695,0.517342480408695,0.517342480408695,NA,NA
"4",17348,9.19487958054544,9.16013971929509,9.12276001284471,9.08273182389124,9.04004648687124,8.99469530786843,8.94666956452096,8.89596050592826,8.84255935255774,8.78645729615106,8.72764549963019,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,1.16420604836946,1.16420604836946,1.16420604836946,1.16420604836946,1.16420604836946,1.16420604836946,1.16420604836946,1.16420604836946,1.16420604836946,1.16420604836946,1.16420604836946,NA,NA,NA
"5",17349,8.77375312181929,8.67426708516367,8.57191761053564,8.46669529045655,8.35859068654062,8.2475943293934,8.13369671850988,8.01688832217232,7.89715957734765,7.77450088958462,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,2.56658110112379,2.56658110112379,2.56658110112379,2.56658110112379,2.56658110112379,2.56658110112379,2.56658110112379,2.56658110112379,2.56658110112379,2.56658110112379,NA,NA,NA,NA
"6",17350,8.88631622129053,8.81373053039217,8.73836104451327,8.66019858904502,8.57923395914166,8.49545791962084,8.40886120486363,8.31943451871422,8.22716853437926,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,2.29877764952515,2.29877764952515,2.29877764952515,2.29877764952515,2.29877764952515,2.29877764952515,2.29877764952515,2.29877764952515,2.29877764952515,NA,NA,NA,NA,NA
"7",17351,9.02584947802156,8.97853323334741,8.92853718876469,8.87585258014731,8.82047061470661,8.76238247089765,8.70157929832515,8.63805221764912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,0.00873240355799935,0.00873240355799935,0.00873240355799935,0.00873240355799935,0.00873240355799939,0.00873240355799939,0.00873240355799939,0.00873240355799939,NA,NA,NA,NA,NA,NA
"8",17352,9.03232569706845,8.98871524949589,8.94242079914659,8.89343351444098,8.84174453473959,8.78734497024749,8.73022590191826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,0.0536976553524369,0.0536976553524369,0.0536976553524369,0.0536976553524369,0.0536976553524369,0.0536976553524369,0.0536976553524369,NA,NA,NA,NA,NA,NA,NA
"9",17353,8.97171677928363,8.92125225291578,8.8680851586851,8.81220661702725,8.75360771920315,8.69227952720316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,0.109269278510963,0.109269278510963,0.109269278510963,0.109269278510963,0.109269278510963,0.109269278510963,NA,NA,NA,NA,NA,NA,NA,NA
"10",17354,9.01858733861955,8.98875032163345,8.95629794159658,8.92122166883671,8.8835129458632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218118700159187,0.218118700159187,0.218118700159187,0.218118700159187,0.218118700159187,NA,NA,NA,NA,NA,NA,NA,NA,NA
