"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",18050,2.99641362177498,3.26582771375534,3.49260088846546,3.69377210436864,3.86163514565748,4.01893671619288,4.23252865836763,4.42794250595439,4.60505327217165,4.74453586730594,4.86969942141565,5.01171508995073,5.18058400442105,5.28458678998979,NA,NA,4.57211053873211,NA,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,0.0072177504078258,0.0408268911857729,0.0785037975580796,0.0850268709880197,0.128350156738392,0.13848600185973,0.178223343970824,0.195459502006572,0.174169599795284,0.190035712374991,0.207183265192149,0.222089011687937,0.24824462326302,0.243147514528464
"2",18051,3.24323484534844,3.48426070678572,3.7134666051528,3.92119116288521,4.13345599830551,4.31802983986058,4.45876345539332,4.65122657735527,4.80388701859597,4.99355847440396,5.14200599844811,5.28834111593741,5.40298714048058,5.17228530829425,NA,4.57211053873211,NA,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,0.0314622174527754,0.0702830559501369,0.0961332579017522,0.133491887506589,0.157970912095233,0.191799841760248,0.221968710136037,0.233964771098794,0.236037201296645,0.23752906729177,0.256573411332878,0.249849268196233,0.260806378459517,0.253073442843532
"3",18052,3.39171129298381,3.58626909993897,3.75750289393276,3.89864962329718,4.05678519310874,4.19325257542901,4.33606716337618,4.48240837324232,4.60090166576587,4.7301181195204,4.85882756912199,4.96820257108469,4.74270251093914,4.52836491302598,4.57211053873211,NA,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,0.0395552011102771,0.0790543432234532,0.120640392449118,0.161948098278712,0.154061993034183,0.157823634826312,0.159057004700617,0.18216811387906,0.1764924110722,0.197886484362156,0.219225996391659,0.234577779015195,0.231850203406018,0.230125311062021
"4",18053,4.97629807196687,5.44449199580209,5.85392622899171,6.27767225359763,6.67496519071771,7.08588048275527,7.49043314621882,7.84532487823185,8.21709777619846,8.58840497802199,8.988521771268,9.01545735702012,8.85715962430923,8.69996515766357,NA,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,0.038216514127528,0.0744993167826933,0.0997860845199972,0.132936371932295,0.1550029075479,0.184371455336201,0.254747478179089,0.274874369588742,0.314311935266243,0.316944265050622,0.329881230054,0.32185006837029,0.31809057622195,0.318189971152127
"5",18054,5.42558731363435,5.84089949141487,6.24430737963938,6.64681619967843,7.03092569656103,7.41469766633095,7.80033780165938,8.18718587424153,8.57195692358815,8.9491829337442,8.95237479456722,8.78197344678859,8.611310084921,8.43935202497539,NA,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,0.0362062259641056,0.0811434808588657,0.0962216624289487,0.13364918311169,0.137170305223374,0.15544009817131,0.205903557504635,0.250744395838204,0.27589695493609,0.317620709802419,0.309010758579466,0.305728705614502,0.304950273860079,0.304293370214013
"6",18055,5.96544373262936,6.3930630659069,6.82513875350593,7.2535788317437,7.66363038652371,8.03517449692249,8.41191059894236,8.80315432060279,9.18419367418683,9.21509590668577,9.04918796447558,8.88055610058726,8.71445533592495,8.54716117424821,NA,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,0.0332777771398943,0.0768986834213044,0.0837134254369368,0.0997559778324216,0.146968287016629,0.163038695014723,0.189989547581356,0.222796395160824,0.263773654821103,0.280359237256977,0.279076855598965,0.272568313632021,0.268804859761963,0.266284241099132
"7",18056,6.41675967991678,6.8438847875838,7.2696009490365,7.71925749990805,8.10626119256783,8.46512241243883,8.86909906274816,9.22343950831782,9.27316024120982,9.10620217867334,8.93944772023448,8.77308784505606,8.60591644264237,8.43816083672115,5.93541458895753,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,0.0323976173886634,0.0717266567387324,0.0892934064943619,0.124270985039487,0.142621863063355,0.187074689839282,0.198409042566533,0.230592944742186,0.235261844395302,0.234050311588892,0.231974955333641,0.231902245858436,0.230483143725722,0.231175518883903
"8",18057,6.34209684678167,6.73539711189581,7.11716795202718,7.44700799344928,7.82220569778667,8.16166546712684,8.499235917113,8.49438089859427,8.30916886035432,8.12257186290496,7.94221775762742,7.75809889327219,7.57344796031555,7.39124027582161,NA,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,0.0318502071338876,0.0710946120285348,0.0977742359560865,0.137794504123926,0.15034124917406,0.181698787194129,0.224833426036982,0.233545114099242,0.228527260944613,0.232595182586631,0.229145792472037,0.231202897478352,0.225691232979002,0.221942209981493
"9",18058,6.72550081227526,7.08038307795698,7.43881900782969,7.78191787982155,8.08050871654422,8.42672293104108,8.43144675515886,8.26463782881534,8.09498882962871,7.92284180580804,7.75460579568891,7.58434175572182,7.41559623216987,7.24670814589941,NA,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,NA,0.0331473212754988,0.0659650163623462,0.101864496979121,0.147484130377316,0.170764185731831,0.194414286753713,0.208436724056452,0.205280284618751,0.204467210790157,0.204161823067248,0.202352920538777,0.199270838561439,0.19549466253742,0.193742611955319
"10",18059,7.12410488025182,7.50158708131467,7.863204300661,8.21218459849753,8.56999200401356,8.55372280503833,8.37838708869245,8.2030870513573,8.03208163534657,7.85527422371049,7.67907992386901,7.50510310862401,7.33287269662172,7.15955391083109,6.63090588587531,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,NA,NA,0.0443589357541212,0.0793586819902796,0.122597427685935,0.141618353638885,0.170598109746028,0.173543328550186,0.171234964668277,0.169275356717212,0.169584057452086,0.168671547069899,0.167638863868593,0.168839494130323,0.169114092827066,0.166449399893442
"11",18060,7.03067156351039,7.36377617389209,7.67272753183634,7.99544570462383,7.98457150242204,7.79482662864121,7.60608549850445,7.41828703325104,7.22933898449333,7.03877084784971,6.85099321321229,6.66388988708167,6.47702606166338,6.28722645155242,NA,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,NA,NA,4.83968383028381,0.0385826645063884,0.0816551412085563,0.128811911274275,0.154883094218738,0.160447209193984,0.15582055618193,0.154744041929388,0.156050367707943,0.156385870223245,0.155867434870524,0.158026201641441,0.156377756074299,0.153801833475287,0.151215729791387
"12",18061,7.36795126692602,7.67784564802912,7.97800856469655,7.92676696612185,7.7538897529414,7.58135273281088,7.40638244244109,7.23228349699992,7.05890941956987,6.88554155234028,6.71283820898919,6.53759427155168,6.36536066655862,6.19303124769213,NA,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,NA,NA,4.83968383028381,NA,0.026745295357295,0.0591077478465195,0.0985185838763828,0.121800632830068,0.11870750672261,0.117055885240603,0.116975848180473,0.114767228146236,0.114131977654457,0.114381333503841,0.113012931886903,0.111862197031863,0.111313699053245,0.111332839726147
"13",18062,7.70997642476584,8.01773981178177,7.95675013958856,7.7688030368026,7.58070639508292,7.39530360682797,7.20817081414553,7.02283766637504,6.83700089126545,6.65689839354639,6.47167944698342,6.28698032656872,6.10391488934379,5.92118722723416,NA,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,NA,NA,4.83968383028381,NA,NA,0.0369845241659368,0.0705145531891745,0.0857106848801408,0.0867663225460702,0.0863836233167057,0.0850232757403954,0.0837435830082395,0.0840591984385253,0.084396139130837,0.0839682468956446,0.0831899128335678,0.0810512748516027,0.0812567110520868,0.0814893016737487
"14",18063,7.96204152291435,7.89301420910755,7.71721757607668,7.54175275661712,7.36529808377878,7.18837013553129,7.01375632679042,6.83948170727883,6.66506639629777,6.49091927486571,6.31555341173775,6.14288963770169,5.97386289392639,5.80318225974932,7.30653780514971,NA,NA,6.65784392345571,NA,NA,NA,5.55114841707681,NA,NA,4.83968383028381,NA,NA,NA,0.0380759439819052,0.040221854442698,0.0402956577909905,0.0399930736713489,0.0403395494792003,0.040259014777072,0.0403977391024306,0.0409478597480829,0.0414984766025966,0.0407932000198326,0.039969942459582,0.0398734679045329,0.0389274742088265,0.0391492184675328
