"","Var","Date","Sim","value"
"1","R20","1","V1",0.552140212578539
"2","R20","1","V2",0.639102319634361
"3","R20","1","V3",0.78399705714501
"4","R20","1","V4",0.555650462723224
"5","R20","1","V5",0.622082109488414
"6","R20","1","V6",0.507758805448146
"7","R20","1","V7",0.604135890335549
"8","R20","1","V8",0.500727349552585
"9","R20","1","V9",0.246556228593743
"10","R20","1","V10",0.129858398199073
"11","R20","1","V11",0.557897478727542
"12","R20","1","V12",0.657320845273673
"13","R20","1","V13",0.438936349906234
"14","R20","1","V14",0.350759764820713
"15","R20","1","V15",0.207206731714903
"16","R20","1","V16",0.552848624615603
"17","R20","1","V17",0.551551662171435
"18","R20","1","V18",0.951215059227421
"19","R20","1","V19",0.646075798619762
"20","R20","1","V20",0.559137066389252
"21","R20","1","V21",0.450445951163303
"22","R20","1","V22",0.701569567936111
"23","R20","1","V23",0.386828212454321
"24","R20","1","V24",0.605447809364021
"25","R20","1","V25",0.454325787870269
"26","R20","1","V26",0.945776035241201
"27","R20","1","V27",0.674471040651385
"28","R20","1","V28",0.678684822943126
"29","R20","1","V29",0.528425217008707
"30","R20","1","V30",0.447798387383448
"31","R20","1","V31",0.717745283814897
"32","R20","1","V32",0.599806581759089
"33","R20","1","V33",0.581052069702614
"34","R20","1","V34",0.318816251317878
"35","R20","1","V35",0.39164920338421
"36","R20","1","V36",0.682200175070195
"37","R20","1","V37",0.450956839277723
"38","R20","1","V38",0.600820287502389
"39","R20","1","V39",0.466645768391299
"40","R20","1","V40",0.516700375967811
"41","R20","1","V41",0.682012781768769
"42","R20","1","V42",0.581491764268255
"43","R20","1","V43",0.444998572971435
"44","R20","1","V44",0.558346868696488
"45","R20","1","V45",0.493216565010455
"46","R20","1","V46",0.624944139790267
"47","R20","1","V47",0.645607768702035
"48","R20","1","V48",0.256696489077081
"49","R20","1","V49",0.556790269656871
"50","R20","1","V50",0.487540066871027
"51","R20","1","V51",0.770364926663304
"52","R20","1","V52",0.643905542164072
"53","R20","1","V53",0.768907385800785
"54","R20","1","V54",0.39215076494764
"55","R20","1","V55",0.444328854805485
"56","R20","1","V56",0.533585756632349
"57","R20","1","V57",0.486666737186694
