"","Var","Date","Sim","value"
"1","R20","1","V1",0.677598639802524
"2","R20","1","V2",0.58199479968762
"3","R20","1","V3",0.800966300314649
"4","R20","1","V4",0.671295530259952
"5","R20","1","V5",0.675702649564866
"6","R20","1","V6",0.765721571525394
"7","R20","1","V7",0.77466295795635
"8","R20","1","V8",0.698035429905597
"9","R20","1","V9",0.755639409870991
"10","R20","1","V10",0.725277239422735
"11","R20","1","V11",0.644734289755075
"12","R20","1","V12",0.711494950841177
"13","R20","1","V13",0.694024804425645
"14","R20","1","V14",0.722972961046395
"15","R20","1","V15",0.644874357675822
"16","R20","1","V16",0.748380464601269
"17","R20","1","V17",0.622244160543975
"18","R20","1","V18",0.794280912243101
"19","R20","1","V19",0.765619489132929
"20","R20","1","V20",0.732015041847194
"21","R20","1","V21",0.623812877796424
"22","R20","1","V22",0.696662308423556
"23","R20","1","V23",0.795991362824243
"24","R20","1","V24",0.730212510950769
"25","R20","1","V25",0.661956130622273
"26","R20","1","V26",0.613718391443269
"27","R20","1","V27",0.683915622857574
"28","R20","1","V28",0.66006406661547
"29","R20","1","V29",0.593664970845363
"30","R20","1","V30",0.702403335756158
"31","R20","1","V31",0.727813577214889
"32","R20","1","V32",0.735951064839954
"33","R20","1","V33",0.846731489723768
"34","R20","1","V34",0.616780085852246
"35","R20","1","V35",0.759218295486378
"36","R20","1","V36",0.587514854246043
"37","R20","1","V37",0.680231709250812
"38","R20","1","V38",0.7273149092521
"39","R20","1","V39",0.684606481057536
"40","R20","1","V40",0.72585083611062
"41","R20","1","V41",0.699985874294614
"42","R20","1","V42",0.774080942775603
"43","R20","1","V43",0.634202064966849
"44","R20","1","V44",0.781106025613942
"45","R20","1","V45",0.690589775976241
"46","R20","1","V46",0.690773358089175
"47","R20","1","V47",0.707513120861968
"48","R20","1","V48",0.752714556889143
"49","R20","1","V49",0.690592529630652
"50","R20","1","V50",0.696740095797907
"51","R20","1","V51",0.643844847262374
"52","R20","1","V52",0.682543233420231
"53","R20","1","V53",0.727543359962213
"54","R20","1","V54",0.707449127175717
"55","R20","1","V55",0.765543491027246
"56","R20","1","V56",0.658801676133146
"57","R20","1","V57",0.809142814301935
"58","R20","1","V58",0.713554388442789
"59","R20","1","V59",0.713889061159057
"60","R20","1","V60",0.73818486209909
"61","R20","1","V61",0.719603383354514
"62","R20","1","V62",0.710987651225402
"63","R20","1","V63",0.680330557372678
"64","R20","1","V64",0.688437425259525
"65","R20","1","V65",0.796378497287755
"66","R20","1","V66",0.57946287877142
"67","R20","1","V67",0.709080869271585
"68","R20","1","V68",0.470316106991357
"69","R20","1","V69",0.582510816710423
"70","R20","1","V70",0.673569779799959
"71","R20","1","V71",0.612020841504783
"72","R20","1","V72",0.713679156545033
"73","R20","1","V73",0.731419654828662
"74","R20","1","V74",0.671030901752206
"75","R20","1","V75",0.733595783279662
"76","R20","1","V76",0.685815921902557
"77","R20","1","V77",0.631475345314916
"78","R20","1","V78",0.525834304923166
"79","R20","1","V79",0.769828953975509
"80","R20","1","V80",0.692258368167294
"81","R20","1","V81",0.716414476348111
"82","R20","1","V82",0.767949041794972
"83","R20","1","V83",0.819564170528123
"84","R20","1","V84",0.718449348806144
"85","R20","1","V85",0.676455118011239
"86","R20","1","V86",0.686517980230388
"87","R20","1","V87",0.620384204937588
"88","R20","1","V88",0.601759274526139
"89","R20","1","V89",0.734601321051328
"90","R20","1","V90",0.679749745988193
"91","R20","1","V91",0.829757564518873
"92","R20","1","V92",0.668882746905046
"93","R20","1","V93",0.567807351859281
"94","R20","1","V94",0.725337650570398
"95","R20","1","V95",0.7286746176067
"96","R20","1","V96",0.638233886606125
"97","R20","1","V97",0.780423910578586
"98","R20","1","V98",0.801281829010676
"99","R20","1","V99",0.670955289170795
"100","R20","1","V100",0.755125099692651
"101","R20","2","V1",0.677598639802524
"102","R20","2","V2",0.58199479968762
"103","R20","2","V3",0.800966300314649
"104","R20","2","V4",0.671295530259952
"105","R20","2","V5",0.675702649564866
"106","R20","2","V6",0.765721571525394
"107","R20","2","V7",0.77466295795635
"108","R20","2","V8",0.698035429905597
"109","R20","2","V9",0.755639409870991
"110","R20","2","V10",0.725277239422735
"111","R20","2","V11",0.644734289755075
"112","R20","2","V12",0.711494950841177
"113","R20","2","V13",0.694024804425645
"114","R20","2","V14",0.722972961046395
"115","R20","2","V15",0.644874357675822
"116","R20","2","V16",0.748380464601269
"117","R20","2","V17",0.622244160543975
"118","R20","2","V18",0.794280912243101
"119","R20","2","V19",0.765619489132929
"120","R20","2","V20",0.732015041847194
"121","R20","2","V21",0.623812877796424
"122","R20","2","V22",0.696662308423556
"123","R20","2","V23",0.795991362824243
"124","R20","2","V24",0.730212510950769
"125","R20","2","V25",0.661956130622273
"126","R20","2","V26",0.613718391443269
"127","R20","2","V27",0.683915622857574
"128","R20","2","V28",0.66006406661547
"129","R20","2","V29",0.593664970845363
"130","R20","2","V30",0.702403335756158
"131","R20","2","V31",0.727813577214889
"132","R20","2","V32",0.735951064839954
"133","R20","2","V33",0.846731489723768
"134","R20","2","V34",0.616780085852246
"135","R20","2","V35",0.759218295486378
"136","R20","2","V36",0.587514854246043
"137","R20","2","V37",0.680231709250812
"138","R20","2","V38",0.7273149092521
"139","R20","2","V39",0.684606481057536
"140","R20","2","V40",0.72585083611062
"141","R20","2","V41",0.699985874294614
"142","R20","2","V42",0.774080942775603
"143","R20","2","V43",0.634202064966849
"144","R20","2","V44",0.781106025613942
"145","R20","2","V45",0.690589775976241
"146","R20","2","V46",0.690773358089175
"147","R20","2","V47",0.707513120861968
"148","R20","2","V48",0.752714556889143
"149","R20","2","V49",0.690592529630652
"150","R20","2","V50",0.696740095797907
"151","R20","2","V51",0.643844847262374
"152","R20","2","V52",0.682543233420231
"153","R20","2","V53",0.727543359962213
"154","R20","2","V54",0.707449127175717
"155","R20","2","V55",0.765543491027246
"156","R20","2","V56",0.658801676133146
"157","R20","2","V57",0.809142814301935
"158","R20","2","V58",0.713554388442789
"159","R20","2","V59",0.713889061159057
"160","R20","2","V60",0.73818486209909
"161","R20","2","V61",0.719603383354514
"162","R20","2","V62",0.710987651225402
"163","R20","2","V63",0.680330557372678
"164","R20","2","V64",0.688437425259525
"165","R20","2","V65",0.796378497287755
"166","R20","2","V66",0.57946287877142
"167","R20","2","V67",0.709080869271585
"168","R20","2","V68",0.470316106991357
"169","R20","2","V69",0.582510816710423
"170","R20","2","V70",0.673569779799959
"171","R20","2","V71",0.612020841504783
"172","R20","2","V72",0.713679156545033
"173","R20","2","V73",0.731419654828662
"174","R20","2","V74",0.671030901752206
"175","R20","2","V75",0.733595783279662
"176","R20","2","V76",0.685815921902557
"177","R20","2","V77",0.631475345314916
"178","R20","2","V78",0.525834304923166
"179","R20","2","V79",0.769828953975509
"180","R20","2","V80",0.692258368167294
"181","R20","2","V81",0.716414476348111
"182","R20","2","V82",0.767949041794972
"183","R20","2","V83",0.819564170528123
"184","R20","2","V84",0.718449348806144
"185","R20","2","V85",0.676455118011239
"186","R20","2","V86",0.686517980230388
"187","R20","2","V87",0.620384204937588
"188","R20","2","V88",0.601759274526139
"189","R20","2","V89",0.734601321051328
"190","R20","2","V90",0.679749745988193
"191","R20","2","V91",0.829757564518873
"192","R20","2","V92",0.668882746905046
"193","R20","2","V93",0.567807351859281
"194","R20","2","V94",0.725337650570398
"195","R20","2","V95",0.7286746176067
"196","R20","2","V96",0.638233886606125
"197","R20","2","V97",0.780423910578586
"198","R20","2","V98",0.801281829010676
"199","R20","2","V99",0.670955289170795
"200","R20","2","V100",0.755125099692651
"201","R20","3","V1",0.677598639802524
"202","R20","3","V2",0.58199479968762
"203","R20","3","V3",0.800966300314649
"204","R20","3","V4",0.671295530259952
"205","R20","3","V5",0.675702649564866
"206","R20","3","V6",0.765721571525394
"207","R20","3","V7",0.77466295795635
"208","R20","3","V8",0.698035429905597
"209","R20","3","V9",0.755639409870991
"210","R20","3","V10",0.725277239422735
"211","R20","3","V11",0.644734289755075
"212","R20","3","V12",0.711494950841177
"213","R20","3","V13",0.694024804425645
"214","R20","3","V14",0.722972961046395
"215","R20","3","V15",0.644874357675822
"216","R20","3","V16",0.748380464601269
"217","R20","3","V17",0.622244160543975
"218","R20","3","V18",0.794280912243101
"219","R20","3","V19",0.765619489132929
"220","R20","3","V20",0.732015041847194
"221","R20","3","V21",0.623812877796424
"222","R20","3","V22",0.696662308423556
"223","R20","3","V23",0.795991362824243
"224","R20","3","V24",0.730212510950769
"225","R20","3","V25",0.661956130622273
"226","R20","3","V26",0.613718391443269
"227","R20","3","V27",0.683915622857574
"228","R20","3","V28",0.66006406661547
"229","R20","3","V29",0.593664970845363
"230","R20","3","V30",0.702403335756158
"231","R20","3","V31",0.727813577214889
"232","R20","3","V32",0.735951064839954
"233","R20","3","V33",0.846731489723768
"234","R20","3","V34",0.616780085852246
"235","R20","3","V35",0.759218295486378
"236","R20","3","V36",0.587514854246043
"237","R20","3","V37",0.680231709250812
"238","R20","3","V38",0.7273149092521
"239","R20","3","V39",0.684606481057536
"240","R20","3","V40",0.72585083611062
"241","R20","3","V41",0.699985874294614
"242","R20","3","V42",0.774080942775603
"243","R20","3","V43",0.634202064966849
"244","R20","3","V44",0.781106025613942
"245","R20","3","V45",0.690589775976241
"246","R20","3","V46",0.690773358089175
