"","Var","Date","Sim","value"
"1","R20","1","V1",0.654631458765625
"2","R20","1","V2",0.790063238924228
"3","R20","1","V3",0.609788693651623
"4","R20","1","V4",0.63174352889971
"5","R20","1","V5",0.434809681307816
"6","R20","1","V6",0.60477574504975
"7","R20","1","V7",0.817960632665208
"8","R20","1","V8",1.2015172582668
"9","R20","1","V9",0.620890466177421
"10","R20","1","V10",0.686121585445374
"11","R20","1","V11",0.88403315283317
"12","R20","1","V12",0.632351370129732
"13","R20","1","V13",0.841002133122925
"14","R20","1","V14",0.918914581991669
"15","R20","1","V15",0.394765768126464
"16","R20","1","V16",0.20809077108294
"17","R20","1","V17",1.09343094115311
"18","R20","1","V18",0.540459495040166
"19","R20","1","V19",0.692155814477176
"20","R20","1","V20",0.675059065680618
"21","R20","1","V21",1.10391125578054
"22","R20","1","V22",1.15424918700854
"23","R20","1","V23",0.987718200834891
"24","R20","1","V24",0.301326685890957
"25","R20","1","V25",0.615007285600927
"26","R20","1","V26",0.793129313244005
"27","R20","1","V27",0.731473133124992
"28","R20","1","V28",0.618750884934492
"29","R20","1","V29",0.742959211534415
"30","R20","1","V30",0.686375736735147
"31","R20","1","V31",0.917285262230853
"32","R20","1","V32",1.06810568835716
"33","R20","1","V33",0.345613236162697
"34","R20","1","V34",1.03646928961544
"35","R20","1","V35",0.618054083534891
"36","R20","1","V36",0.494099625871745
"37","R20","1","V37",0.621238465664852
"38","R20","1","V38",1.01916794021153
"39","R20","1","V39",0.789136042314283
"40","R20","1","V40",1.03864868439688
"41","R20","1","V41",0.779858125650626
"42","R20","1","V42",0.731582341230542
"43","R20","1","V43",0.238643735279129
"44","R20","1","V44",0.872871263822607
"45","R20","1","V45",0.69333089418083
"46","R20","1","V46",0.581870318416698
"47","R20","1","V47",0.825360152756196
"48","R20","1","V48",0.340517714358562
"49","R20","1","V49",0.909433393921404
"50","R20","1","V50",0.298748419735778
"51","R20","1","V51",0.614510627286391
"52","R20","1","V52",0.691677150109416
"53","R20","1","V53",0.413740402451822
"54","R20","1","V54",0.764855593436786
"55","R20","1","V55",0.749391647288544
"56","R20","1","V56",0.670999345534954
"57","R20","1","V57",0.686408829682489
"58","R20","1","V58",0.745171548440627
"59","R20","1","V59",0.625618800162456
"60","R20","1","V60",0.913520044431756
"61","R20","1","V61",0.539753588455811
"62","R20","1","V62",0.398244080875409
"63","R20","1","V63",0.839368894386306
"64","R20","1","V64",0.949115226268054
"65","R20","1","V65",0.526122697485855
"66","R20","1","V66",0.665813268345075
"67","R20","1","V67",0.974306695089944
"68","R20","1","V68",0.770895509502178
"69","R20","1","V69",0.520197513924404
"70","R20","1","V70",0.847476214286763
"71","R20","1","V71",0.990098388077563
"72","R20","1","V72",0.530647132351166
"73","R20","1","V73",0.645665324079571
"74","R20","1","V74",0.756409145457487
"75","R20","1","V75",0.397700081988066
"76","R20","1","V76",0.465532736444154
"77","R20","1","V77",0.778509543087582
"78","R20","1","V78",0.697279469082182
"79","R20","1","V79",0.580207133204216
"80","R20","1","V80",0.547460282093016
"81","R20","1","V81",0.416248808656728
"82","R20","1","V82",0.977397933805406
"83","R20","1","V83",0.627491601534226
"84","R20","1","V84",0.670699818081372
"85","R20","1","V85",0.628106921351029
"86","R20","1","V86",0.5655029132554
"87","R20","1","V87",1.13588925239039
"88","R20","1","V88",0.332193593012563
"89","R20","1","V89",0.680044117690639
"90","R20","1","V90",0.500409055516412
"91","R20","1","V91",0.454539248138586
"92","R20","1","V92",0.536279330406001
"93","R20","1","V93",0.453591215127642
"94","R20","1","V94",0.41587034395009
"95","R20","1","V95",0.916309586708994
"96","R20","1","V96",0.690230658504858
"97","R20","1","V97",0.664820491796538
"98","R20","1","V98",0.839057824909076
"99","R20","1","V99",0.762259257914487
"100","R20","1","V100",0.641089123362958
"101","R20","2","V1",0.625460980054715
"102","R20","2","V2",0.780598445499411
"103","R20","2","V3",0.6910814739947
"104","R20","2","V4",0.66818161809135
"105","R20","2","V5",0.567580686430494
"106","R20","2","V6",0.656681864972446
"107","R20","2","V7",0.915562645123877
"108","R20","2","V8",1.20008370775234
"109","R20","2","V9",0.646818650227196
"110","R20","2","V10",0.643357881240254
"111","R20","2","V11",0.845470522473908
"112","R20","2","V12",0.629549515787972
"113","R20","2","V13",0.822381588271344
"114","R20","2","V14",0.842003289491873
"115","R20","2","V15",0.384394002913001
"116","R20","2","V16",0.286262408294864
"117","R20","2","V17",1.07230176509236
"118","R20","2","V18",0.588918738644416
"119","R20","2","V19",0.713339497749631
"120","R20","2","V20",0.716160127010301
"121","R20","2","V21",1.23042272521161
"122","R20","2","V22",1.06828122413994
"123","R20","2","V23",0.97920166674107
"124","R20","2","V24",0.371795872261416
"125","R20","2","V25",0.624031665733999
"126","R20","2","V26",0.857004704605976
"127","R20","2","V27",0.709439530082563
"128","R20","2","V28",0.587164973807436
"129","R20","2","V29",0.773662964182624
"130","R20","2","V30",0.677965789946235
"131","R20","2","V31",0.857288988599661
"132","R20","2","V32",1.01992638229114
"133","R20","2","V33",0.352212380740458
"134","R20","2","V34",1.01019486037737
"135","R20","2","V35",0.647856575615859
"136","R20","2","V36",0.514620523676507
"137","R20","2","V37",0.64857403851623
"138","R20","2","V38",1.04460808537823
