"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_var","PLUS2_var","PLUS3_var","PLUS4_var","PLUS5_var","PLUS6_var","PLUS7_var","PLUS8_var","PLUS9_var","PLUS10_var","PLUS11_var","PLUS12_var","PLUS13_var","PLUS14_var"
"1",17345,9.03065457898204,8.90539630431067,8.75778014164256,8.60490019624496,8.50782414989919,8.39847790222859,8.26006238639002,8.10116713261572,7.97386981329597,7.86500284769119,7.77150379712334,7.67779688329617,7.63841882438542,7.58693540844667,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,0.378706655925441,0.80550675752344,1.46433546411148,2.42092942658404,3.64838799479069,5.25914763007781,7.02990518321628,8.92676534952761,10.8481540548494,12.8491414128013,14.6915017139201,16.1908175265774,17.8232311273672,19.6150448721409
"2",17346,9.04670657294269,8.96418140379057,8.85387809213372,8.73830055199507,8.5860761693207,8.47762735141057,8.31002971043683,8.17461242547344,8.06450446443378,7.95063077340029,7.86054643172251,7.77555717752923,7.72295909843115,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,0.6674206213822,1.21322147749086,1.87537465992389,2.81930040617013,4.07819199763604,5.56906378301119,7.36329996520308,9.13729719896305,11.1195920946436,13.1470875584526,14.9185243326112,16.7100392654534,18.5466588026217,NA
"3",17347,8.94711483193313,8.76127191875083,8.59240724175601,8.43593723985875,8.22338189307916,8.04808820145839,7.89973314143617,7.71356238179518,7.54999930226876,7.42367409884006,7.30023643937469,7.22386673423017,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,1.3062133336325,2.1013896543337,3.08775762871299,4.51737776526699,5.83357994418731,7.39593744523182,9.36383411027896,11.2252075681805,13.108824306672,15.1388119137282,17.2383509134056,19.0299352489536,NA,NA
"4",17348,8.982509850719,8.86916445899171,8.76405150780955,8.67739606669473,8.58635863686573,8.53590128936043,8.47684952224642,8.4385507967882,8.39180600021225,8.38187972580476,8.36701072853929,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,2.14487256989322,3.31532457316024,4.8091220309834,6.80336686266786,8.69742379724624,10.5389520726247,12.6532860756294,14.5109253280768,16.463871482565,18.3241295924984,20.1791836349393,NA,NA,NA
"5",17349,8.32313686954878,8.14384619377053,7.94379666554734,7.74520436188372,7.56811341803969,7.35932634437957,7.17909359919983,7.02051897607785,6.93022233837542,6.84864397333148,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,3.71367694037918,5.19791711836538,6.94189089118453,8.80796086590837,10.94794504212,13.3462181111153,15.3051477216364,17.6785861128823,19.3755427719126,21.2178868254168,NA,NA,NA,NA
"6",17350,8.48083928301755,8.34043206503655,8.20783727339206,8.12158274737092,8.0154995904856,7.93762945744235,7.84140256217229,7.75336639366766,7.68219766749721,NA,NA,NA,NA,NA,9.10333943935555,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,4.71673081631048,6.57936604699449,8.27046414401758,10.0677221098711,11.8655067202238,13.8020485381952,15.5662548439182,17.541608272212,19.2094511258709,NA,NA,NA,NA,NA
"7",17351,9.02571947261984,9.02212896228273,8.99055615503452,8.99103089322229,8.9905384545346,8.97074341666313,8.92456614436647,8.89786344982838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,0.0666824125086059,0.132984523455813,0.224397567777113,0.339747851349873,0.511390265041484,0.732075699260133,0.935830428439727,1.19961415313287,NA,NA,NA,NA,NA,NA
"8",17352,8.90943379375687,8.85823810601224,8.7919789900341,8.7489312415172,8.696351657259,8.62815008132891,8.57591256818495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,0.141790169367175,0.233529431009737,0.367536843240271,0.511701653429371,0.664407722530793,0.882586739125348,1.13861668292257,NA,NA,NA,NA,NA,NA,NA
"9",17353,8.96838450324033,8.96146181779464,8.9218288004069,8.91226962289879,8.8701453262689,8.8168583015725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,0.242606951248787,0.3719490771753,0.51670067097263,0.63715116584451,0.835047310276778,1.00736967179028,NA,NA,NA,NA,NA,NA,NA,NA
"10",17354,8.92973455332397,8.90374669943386,8.87394097844542,8.82386008154804,8.79226902959101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340134718434119,0.400122508849085,0.524924304727961,0.695847881943922,0.852208508629545,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",17355,8.80842329514225,8.76952841925523,8.74380420760146,8.68784974557173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74405354355872,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509840430292858,0.687840880698264,0.827497203371072,0.94242969323419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",17356,8.75161889218346,8.69549446868657,8.65950628245708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.49970675944082,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0955604344035705,0.164983701425355,0.202772359641733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",17357,8.56302732353068,8.51340911517068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00649266909527,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0953535089596252,0.160146953272524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",17358,8.35259030462431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66421795924665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0957432888054709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
