"","Var","Date","Sim","value"
"1","R20","1","V1",0.69225349878284
"2","R20","1","V2",0.763195287365503
"3","R20","1","V3",0.450624950304685
"4","R20","1","V4",0.710198466160289
"5","R20","1","V5",0.551349983170637
"6","R20","1","V6",0.81449156174982
"7","R20","1","V7",0.674147398256991
"8","R20","1","V8",0.551362992595429
"9","R20","1","V9",0.710392569108129
"10","R20","1","V10",0.546135955612004
"11","R20","1","V11",0.750912503536841
"12","R20","1","V12",0.454396825872376
"13","R20","1","V13",0.435463360494676
"14","R20","1","V14",0.395267091086306
"15","R20","1","V15",0.399551878399826
"16","R20","1","V16",0.327048457221583
"17","R20","1","V17",0.590643846285296
"18","R20","1","V18",0.62740771404765
"19","R20","1","V19",0.550726907734469
"20","R20","1","V20",0.276064642399361
"21","R20","1","V21",0.541432637435643
"22","R20","1","V22",0.499591291598576
"23","R20","1","V23",0.771298936803423
"24","R20","1","V24",0.48088185598411
"25","R20","1","V25",0.460083623089
"26","R20","1","V26",0.552617069305047
"27","R20","1","V27",0.500957565491374
"28","R20","1","V28",0.608420699190604
"29","R20","1","V29",0.288521097277054
"30","R20","1","V30",0.285936102493683
"31","R20","1","V31",0.512960757850338
"32","R20","1","V32",0.422802690255095
"33","R20","1","V33",0.398170330722954
"34","R20","1","V34",0.50364343609677
"35","R20","1","V35",0.392683150103212
"36","R20","1","V36",0.471882372602298
"37","R20","1","V37",0.375100688771428
"38","R20","1","V38",0.350816839171957
"39","R20","1","V39",0.749667588764418
"40","R20","1","V40",0.705519919846954
"41","R20","1","V41",0.841489509594677
"42","R20","1","V42",0.540669635252724
"43","R20","1","V43",0.490975465945283
"44","R20","1","V44",0.317407280538407
"45","R20","1","V45",0.853544980088157
"46","R20","1","V46",0.359344039841631
"47","R20","1","V47",0.324442676467631
"48","R20","1","V48",0.785892179158057
"49","R20","1","V49",0.469257952635457
"50","R20","1","V50",0.404083507780257
"51","R20","1","V51",0.308721631930867
"52","R20","1","V52",0.488595485254301
"53","R20","1","V53",0.298461300207078
"54","R20","1","V54",0.210335463087325
"55","R20","1","V55",0.303782843253209
"56","R20","1","V56",0.761484911594238
"57","R20","1","V57",0.377381224600742
"58","R20","1","V58",0.833720366826993
"59","R20","1","V59",0.551333989748427
"60","R20","1","V60",0.719935014696729
"61","R20","1","V61",0.674948269480218
"62","R20","1","V62",0.736659474573429
"63","R20","1","V63",0.356642286359577
"64","R20","1","V64",0.255478618515264
"65","R20","1","V65",0.603735217207544
"66","R20","1","V66",0.53402885958911
"67","R20","1","V67",0.371666942545951
"68","R20","1","V68",0.485114713163774
"69","R20","1","V69",0.706819645270228
"70","R20","1","V70",0.541777392752469
"71","R20","1","V71",0.383373725866046
"72","R20","1","V72",0.643562058542791
"73","R20","1","V73",0.387144722056312
"74","R20","1","V74",0.58962165804043
"75","R20","1","V75",0.447313922286273
"76","R20","1","V76",0.220460492592303
"77","R20","1","V77",0.35370947670065
"78","R20","1","V78",0.7332203215171
"79","R20","1","V79",0.661782740618624
"80","R20","1","V80",0.6323236768287
"81","R20","1","V81",0.481211245436853
"82","R20","1","V82",0.333264628557594
"83","R20","1","V83",0.490615066822843
"84","R20","1","V84",0.421454484559569
"85","R20","1","V85",0.273015150491949
"86","R20","1","V86",0.690824015531118
"87","R20","1","V87",0.707900311380817
"88","R20","1","V88",0.49766412224628
"89","R20","1","V89",0.487766547786142
"90","R20","1","V90",0.731606252495183
"91","R20","1","V91",0.79561788165954
"92","R20","1","V92",0.484871240898413
"93","R20","1","V93",0.642283206504885
"94","R20","1","V94",0.598486466475331
"95","R20","1","V95",0.407812303793222
"96","R20","1","V96",0.789816181463774
"97","R20","1","V97",0.442821887910256
"98","R20","1","V98",0.49492868562127
"99","R20","1","V99",0.682957776454688
"100","R20","1","V100",0.63957872579168
"101","R20","2","V1",0.69225349878284
"102","R20","2","V2",0.763195287365503
"103","R20","2","V3",0.450624950304685
"104","R20","2","V4",0.710198466160289
"105","R20","2","V5",0.551349983170637
"106","R20","2","V6",0.81449156174982
"107","R20","2","V7",0.674147398256991
"108","R20","2","V8",0.551362992595429
"109","R20","2","V9",0.710392569108129
"110","R20","2","V10",0.546135955612004
"111","R20","2","V11",0.750912503536841
"112","R20","2","V12",0.454396825872376
"113","R20","2","V13",0.435463360494676
"114","R20","2","V14",0.395267091086306
"115","R20","2","V15",0.399551878399826
"116","R20","2","V16",0.327048457221583
"117","R20","2","V17",0.590643846285296
"118","R20","2","V18",0.62740771404765
"119","R20","2","V19",0.550726907734469
"120","R20","2","V20",0.276064642399361
"121","R20","2","V21",0.541432637435643
"122","R20","2","V22",0.499591291598576
"123","R20","2","V23",0.771298936803423
"124","R20","2","V24",0.48088185598411
"125","R20","2","V25",0.460083623089
"126","R20","2","V26",0.552617069305047
"127","R20","2","V27",0.500957565491374
"128","R20","2","V28",0.608420699190604
"129","R20","2","V29",0.288521097277054
"130","R20","2","V30",0.285936102493683
"131","R20","2","V31",0.512960757850338
"132","R20","2","V32",0.422802690255095
"133","R20","2","V33",0.398170330722954
"134","R20","2","V34",0.50364343609677
"135","R20","2","V35",0.392683150103212
"136","R20","2","V36",0.471882372602298
"137","R20","2","V37",0.375100688771428
"138","R20","2","V38",0.350816839171957
"139","R20","2","V39",0.749667588764418
"140","R20","2","V40",0.705519919846954
"141","R20","2","V41",0.841489509594677
"142","R20","2","V42",0.540669635252724
"143","R20","2","V43",0.490975465945283
"144","R20","2","V44",0.317407280538407
"145","R20","2","V45",0.853544980088157
"146","R20","2","V46",0.359344039841631
"147","R20","2","V47",0.324442676467631
"148","R20","2","V48",0.785892179158057
"149","R20","2","V49",0.469257952635457
"150","R20","2","V50",0.404083507780257
"151","R20","2","V51",0.308721631930867
"152","R20","2","V52",0.488595485254301
"153","R20","2","V53",0.298461300207078
"154","R20","2","V54",0.210335463087325
"155","R20","2","V55",0.303782843253209
"156","R20","2","V56",0.761484911594238
"157","R20","2","V57",0.377381224600742
"158","R20","2","V58",0.833720366826993
"159","R20","2","V59",0.551333989748427
"160","R20","2","V60",0.719935014696729
