"","Var","Date","Sim","value"
"1","R20","1","V1",0.465683034450489
"2","R20","1","V2",0.518688100971371
"3","R20","1","V3",0.485209524280612
"4","R20","1","V4",0.463078911541235
"5","R20","1","V5",0.6588997505278
"6","R20","1","V6",0.370782059107814
"7","R20","1","V7",0.598808219753043
"8","R20","1","V8",0.843573671085318
"9","R20","1","V9",0.670839317101714
"10","R20","1","V10",0.511577810242059
"11","R20","1","V11",0.407664534964415
"12","R20","1","V12",0.339286132308377
"13","R20","1","V13",0.643149201377225
"14","R20","1","V14",0.419703776200475
"15","R20","1","V15",0.72772582912874
"16","R20","1","V16",0.406478636974509
"17","R20","1","V17",0.824101252231193
"18","R20","1","V18",0.663208882184159
"19","R20","1","V19",0.484564938940758
"20","R20","1","V20",0.593938092005527
"21","R20","1","V21",0.480567033962528
"22","R20","1","V22",0.48232632485149
"23","R20","1","V23",0.70752615158295
"24","R20","1","V24",0.558137473823572
"25","R20","1","V25",0.59346734242728
"26","R20","1","V26",0.594291818709359
"27","R20","1","V27",0.276430256056275
"28","R20","1","V28",0.570260996223499
"29","R20","1","V29",0.494807080815209
"30","R20","1","V30",0.426965627575468
"31","R20","1","V31",0.3476818702008
"32","R20","1","V32",0.744252308040365
"33","R20","1","V33",0.492379323094022
"34","R20","1","V34",0.618062254585209
"35","R20","1","V35",0.652394768661943
"36","R20","1","V36",0.697284058430988
"37","R20","1","V37",0.309902434858042
"38","R20","1","V38",0.37325005571361
"39","R20","1","V39",0.770032987862714
"40","R20","1","V40",0.740217651142
"41","R20","1","V41",0.517126551500242
"42","R20","1","V42",0.619773542174848
"43","R20","1","V43",0.582086313649635
"44","R20","1","V44",0.342159953192788
"45","R20","1","V45",0.210902087296001
"46","R20","1","V46",0.482497346281813
"47","R20","1","V47",0.556468665760315
"48","R20","1","V48",0.558185976021029
"49","R20","1","V49",0.504242409716933
"50","R20","1","V50",0.692635730024203
"51","R20","1","V51",0.640476844134078
"52","R20","1","V52",0.60239834301619
"53","R20","1","V53",0.466194066787665
"54","R20","1","V54",0.180258543526885
"55","R20","1","V55",0.622153482394075
"56","R20","1","V56",0.528540720853215
"57","R20","1","V57",0.277639543810179
"58","R20","1","V58",0.640027666470967
"59","R20","1","V59",0.606005525797428
"60","R20","1","V60",0.321548787411942
"61","R20","1","V61",0.353588712586703
"62","R20","1","V62",0.441372605223182
"63","R20","1","V63",0.55766200993777
"64","R20","1","V64",0.510937395944255
"65","R20","1","V65",0.624114591225086
"66","R20","1","V66",0.802792011598295
"67","R20","1","V67",0.403943587317355
"68","R20","1","V68",0.468196843282929
"69","R20","1","V69",0.890242374781895
"70","R20","1","V70",0.40411091623441
"71","R20","1","V71",0.352349901831338
"72","R20","1","V72",0.616954998437514
