"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_sd","PLUS2_sd","PLUS3_sd","PLUS4_sd","PLUS5_sd","PLUS6_sd","PLUS7_sd","PLUS8_sd","PLUS9_sd","PLUS10_sd","PLUS11_sd","PLUS12_sd","PLUS13_sd","PLUS14_sd"
"1",16223,9.59678537507771,9.83308006194096,9.61987234544689,9.39624503711725,9.18086658625971,8.96811976202659,8.75427927230023,8.53741010469081,8.33080677114662,8.12258319586381,7.9072285529046,7.69241810879991,7.48999193446993,7.28516410456243,NA,NA,NA,NA,NA,11.5272946459362,NA,NA,NA,NA,11.1991958508679,NA,10.7377214026207,NA,1.24600403398547,1.26594700156182,1.26640820879367,1.26872868081035,1.27470440749153,1.27608501018908,1.27816509121002,1.28136737627804,1.27956974463023,1.28541764181196,1.29316192391923,1.29323965468199,1.30329695775197,1.31135954936091
"2",16224,9.75074589157221,9.53217049786189,9.31228960710127,9.09358128906799,8.87214023882791,8.64982935843576,8.43404476480477,8.21464044513126,7.99546001018655,7.78204410665452,7.57522599365442,7.3583508795981,7.1484803754541,6.93122356796469,9.49064731564589,8.99356617051291,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,0.35545884259613,0.356812484506595,0.370468185412794,0.378744835650247,0.396198296358382,0.417297652821751,0.433064684441468,0.443722852714402,0.459414207936977,0.476477611331604,0.496311467411984,0.519087523340073,0.537369844393193,0.571088350088201
"3",16225,9.31178285738602,9.07516747583964,8.85710747273557,8.63273635679416,8.3960041497745,8.16051530529671,7.93249614915156,7.71170942313544,7.49274553750666,7.27044883508139,7.04149716588971,6.81688712718058,6.59036073676221,6.36461141572606,8.99356617051291,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,0.275618148243315,0.285979720703085,0.308147969733584,0.331480126923206,0.34500183439967,0.365285807981461,0.383875075263361,0.401365728742069,0.416284028972292,0.439453618177098,0.463766249036932,0.485207746247582,0.507758710466758,0.529957029166826
"4",16226,9.03815232742868,8.8150567496618,8.59211978411549,8.37033620563108,8.15236448310207,7.93125288455633,7.7058174623029,7.487255799908,7.26869842728045,7.05052363843123,6.82628595194267,6.60302031752823,6.3800676817944,6.15615877142668,8.91324500805798,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,0.229126735128668,0.240282272461308,0.261132469968826,0.284115652061742,0.30280917039859,0.329057989662639,0.348514996779014,0.37268291416833,0.397173378279943,0.418211263853815,0.447334361898472,0.4711181834936,0.487824778812892,0.512655311806363
"5",16227,8.79537319193136,8.57485841970569,8.35559853659584,8.14224269737899,7.91617142382684,7.70009224538412,7.4861284300969,7.2748416653988,7.05544846064754,6.84225064381505,6.6235822665345,6.40557359550203,6.19172550021013,5.9705606476996,8.84650592515253,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,0.225709846418157,0.239541778174036,0.262314662545315,0.27909276387593,0.298784662070451,0.313640448080066,0.333016200898199,0.349499572323506,0.381160980574773,0.403611094137681,0.439438619939593,0.463959765916657,0.492275862951807,0.520070735840331
"6",16228,8.55441853504316,8.33644346146177,8.11638870498658,7.89174129868207,7.66961130983158,7.44612580508145,7.22442076961463,7.00059247047232,6.77370395043738,6.54968168885302,6.33307313232534,6.10939118039635,5.89121385022921,5.66905735078968,NA,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,0.240404823668637,0.259500938145538,0.285394875060929,0.314067068034537,0.337864271075046,0.366692087103322,0.396624224716195,0.422929398751593,0.453870251562885,0.485771950321331,0.507656327581404,0.530024025092845,0.557541243521613,0.586907574570783
"7",16229,8.29666540914798,8.06764643039761,7.8455752101706,7.62955846029258,7.39854219596025,7.17668815794283,6.96090948229673,6.74511870480504,6.51793645009708,6.3053659752721,6.08114410052054,5.86191074477036,5.64823772480627,5.42983240403744,NA,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,0.259192881611176,0.272942913075788,0.285963213086857,0.303734861308296,0.331589681229071,0.360617720110892,0.378509597231017,0.406020031526148,0.43728799514856,0.463667645342066,0.499033496487704,0.523959824456686,0.53778183488263,0.56159657297617
"8",16230,8.02369893461825,7.78091554475684,7.545460637082,7.31619997729013,7.08850569631487,6.86472893343031,6.64281793865078,6.41014746722981,6.18116212069441,5.93916607493428,5.71820383051852,5.48801775902083,5.26209689543532,5.05395874529489,7.76464522850423,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,0.224842937536249,0.25100442170163,0.269428046526484,0.289910249880555,0.311665500815263,0.328667687180564,0.34570965471015,0.373872452488717,0.398128762220476,0.414131987231194,0.436968668780407,0.467517892991727,0.487546047333007,0.510772908129085
"9",16231,7.76959538702398,7.53451873227157,7.30576205103674,7.07335620515124,6.84825564168131,6.62853943983219,6.40152069804558,6.17785365922429,5.95336507005494,5.72400157123244,5.49962889833591,5.28196408115559,5.06166207780404,4.84393140459569,NA,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,5.71122554801964,0.250668817417916,0.279274135914026,0.306447900456366,0.332680660745633,0.367482576106272,0.392648577053982,0.413392843206396,0.431195549908388,0.460231509000446,0.491687500222859,0.509433904826717,0.532698063744858,0.548717475574878,0.561268778420451
"10",16232,7.47415794680093,7.23580379712193,6.99784738826416,6.76314292264505,6.5320361577863,6.29797145053718,6.06063089526307,5.83254925963736,5.59301175956637,5.35943983401273,5.12293982930006,4.89841832770447,4.66399530235756,4.44428507754867,NA,7.71441698830309,NA,NA,NA,7.24992896598787,NA,NA,6.24822190041599,NA,NA,NA,5.71122554801964,NA,0.301472950933012,0.326461980208301,0.343548608000775,0.370048446863742,0.399662445601751,0.424254639119456,0.450388392260248,0.47599148792348,0.508995313357567,0.525817267271598,0.547945684606992,0.576709084120137,0.600208888178555,0.630528530856361
