"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_sd","PLUS2_sd","PLUS3_sd","PLUS4_sd","PLUS5_sd","PLUS6_sd","PLUS7_sd","PLUS8_sd","PLUS9_sd","PLUS10_sd","PLUS11_sd","PLUS12_sd","PLUS13_sd","PLUS14_sd"
"1",16583,7.47017177066906,7.42002549277426,7.3891384427444,7.32190959627687,7.00307868884388,6.80960188886702,6.61622895761788,6.41315678887024,6.21692454470651,6.02184932330354,5.82140524158706,5.49009966230467,5.46507266531865,5.4387649088378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,1.19667587456468,1.18421334690623,1.20921106954904,1.26079797298599,1.2976812214641,1.3052862927595,1.322975055185,1.32952637161349,1.33991027869643,1.35359254241523,1.36566687525082,1.43838732076559,1.49034301362294,1.55166008201357
"2",16584,7.56435765993267,7.49018678676524,7.41874000857533,7.10978326445528,6.91517322681964,6.72359738485385,6.529067321451,6.33876924102462,6.13802445917163,5.94718614571554,5.65734926196167,5.64235842508465,5.59441825713251,5.54501496161127,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,1.24272129303951,1.28258767135316,1.32730258788552,1.39152782518885,1.40239078278205,1.4188393486698,1.4339445850217,1.44089988600982,1.45063426571906,1.46349634101227,1.50029174853169,1.5547976581626,1.59329937252928,1.66209901087733
"3",16585,7.28711933253273,7.23119382463391,6.91937184771185,6.71788626176452,6.52137806701821,6.32040001681734,6.11948463774552,5.91941808385181,5.71796110451834,5.38593525428421,5.33901188413765,5.28724138755779,5.26429645129967,5.21129086275973,NA,NA,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,1.26573819481095,1.28325126390577,1.30471055211668,1.30811110725171,1.3148525867492,1.32392225420861,1.32492325467879,1.32772030458587,1.32554434252138,1.39683676557539,1.43132396875583,1.51020364344908,1.55193430210903,1.5889748978578
"4",16586,7.16370675307569,6.81448786725128,6.61424782166309,6.4207308380437,6.22640821503769,6.03959561681241,5.84413069393588,5.64958512648487,5.31015558624376,5.25447934141093,5.17750690891095,5.14620568730046,5.10688946142068,5.0663506026933,NA,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,1.19253799741568,1.19830557875562,1.20254061094439,1.20409981066492,1.21894547848123,1.22708604772827,1.24024675065697,1.25570343274193,1.3096988778916,1.39148768084004,1.42667804400862,1.46618621093215,1.56002618722382,1.62305106368283
"5",16587,6.93209900113128,6.73081922466265,6.53721263846079,6.34275801348592,6.14304167375312,5.94611410536642,5.75092136369323,5.44705022525495,5.40750898852102,5.35851877247864,5.33910264380212,5.31144170132086,5.2757525912848,5.25493060771819,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,1.15192296951984,1.16030460272186,1.15635774646427,1.15603292962159,1.15744519996009,1.16938812100716,1.17384032984542,1.20284954457838,1.23642165698405,1.27206208880095,1.3076500819942,1.36312847401975,1.43860155311752,1.47819009843864
"6",16588,6.88908598474814,6.68912905313703,6.49679744432474,6.29576753931998,6.10088547425529,5.90897134099172,5.60957503305504,5.57781253449876,5.55640283448757,5.50879386241969,5.4651748485013,5.45045406122856,5.39344069330644,5.36730042691893,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,1.20915085643811,1.22064968139798,1.23953036072248,1.25540941960836,1.26061300463972,1.27177701767218,1.33377429302456,1.39573971628886,1.45394387642423,1.52590209916528,1.58761602043933,1.62930062763024,1.68958786078,1.76442498262784
"7",16589,6.5864532296006,6.39550062175103,6.19759394644778,6.01028330602865,5.81322128727148,5.50179851541313,5.46555604067785,5.38930373821994,5.33851153161462,5.31192523667521,5.29423652749449,5.2617093260196,5.21821795201549,5.18738363784451,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,NA,1.19969731069073,1.20948163924201,1.22509901778303,1.2455361356614,1.25404186644147,1.30003448281193,1.36696685961992,1.42594225370852,1.47386130833278,1.53133330747127,1.60797294997094,1.67759922837644,1.72435629853754,1.79534703043505
"8",16590,6.2905443216834,6.09128650293416,5.89169444875733,5.69652018928191,5.38449838777007,5.3435610954277,5.3229256222404,5.3183809383578,5.26829734613985,5.23842744013798,5.19744326924327,5.1774555278067,5.1289220431319,5.09124690784703,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,NA,NA,1.40760901498977,1.4182074021388,1.43571049470604,1.45419677672596,1.48838510335714,1.58391286094859,1.65035962739608,1.70658133729817,1.74488638959413,1.79980120562883,1.84860401386986,1.89698956268299,1.97774813520109,2.03159052390351
"9",16591,6.14225100956603,5.94775303485295,5.75755283005759,5.4392230672861,5.38760275125957,5.35600191495224,5.32644811120937,5.29023538537678,5.26338511665198,5.23933880409027,5.24632721402852,5.22886450889173,5.20203096283358,5.1779774706029,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,NA,NA,NA,1.30607124671121,1.30707041390573,1.31481157253734,1.37914271251087,1.4656380956266,1.51149813235001,1.59484552606369,1.66275289304203,1.74420662928728,1.83923703407233,1.88933038797422,1.93995210383454,2.01802613628471,2.07493502266127
"10",16592,5.99742074727783,5.80405696330273,5.51735095915826,5.46992583210003,5.43845334564737,5.43286880167559,5.40070726247835,5.38184661513012,5.36938304060331,5.35027892368716,5.35737974474457,5.32535195822477,5.32956739138752,5.33432151853784,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,NA,NA,NA,NA,1.39217745834596,1.39387182957247,1.43846873887582,1.49395695254115,1.55261737264561,1.60674916422518,1.65935486295398,1.71453983050134,1.7634292565915,1.81384209746649,1.86374160320776,1.94130755677334,1.98809472032286,2.00607344310044
