"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_sd","PLUS2_sd","PLUS3_sd","PLUS4_sd","PLUS5_sd","PLUS6_sd","PLUS7_sd","PLUS8_sd","PLUS9_sd","PLUS10_sd","PLUS11_sd","PLUS12_sd","PLUS13_sd","PLUS14_sd"
"1",16583,7.23895490091561,7.21160892782018,7.17805197489123,7.15756970027678,6.83154305222144,6.62977172235936,6.43748959509875,6.24612103735516,6.05736655942706,5.871013180809,5.67377329745452,5.35855537853745,5.35155083367547,5.30851524950659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,1.18384805909785,1.2087682800817,1.23987042778365,1.2761929506094,1.3068763235355,1.3175226339317,1.33166631875031,1.33957145120342,1.34932242196917,1.35950455721345,1.36610877165319,1.40617255637223,1.4395921168023,1.49449692303532
"2",16584,7.27905149698046,7.2161096869025,7.15651758997676,6.8101288543111,6.60937185479391,6.40804330178783,6.2092797998115,6.00969789546167,5.81707883422176,5.62580365923106,5.3051775996128,5.26115485825505,5.23209462080218,5.20356436698708,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,1.18272355272887,1.24549577337276,1.29562942498976,1.34974266051166,1.35808044451955,1.36811557287709,1.37242617552947,1.38163816773592,1.38821702490061,1.39444364907588,1.44343272447576,1.47121587196544,1.49429160451212,1.54165248593698
"3",16585,7.26490174222791,7.25120140247128,6.94765256922237,6.75566601788642,6.56513687468362,6.3753753703393,6.18078930166834,5.9933007768699,5.80329764435968,5.5052336986521,5.47382340213704,5.45676554662326,5.43120327737993,5.40499544274549,NA,NA,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,1.20217195055945,1.23171321197295,1.27960519953133,1.28996630761539,1.28994955908691,1.30090837300639,1.31244256309226,1.32025425235466,1.33516369289766,1.39060092478167,1.45418295268631,1.49122077117786,1.5707315012709,1.63778438054834
"4",16586,7.24784803268808,6.94301042766272,6.75121120783477,6.55613197500879,6.36503032512931,6.16713610777426,5.98136872985948,5.78512976220542,5.48702658155682,5.46554139504659,5.43398756674087,5.40851973604947,5.40178637379709,5.38379902107468,NA,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,1.21124620832481,1.22189229719551,1.23136178226498,1.23090783501285,1.23941396354034,1.24428218154549,1.25448127531712,1.26617256963859,1.31488038474198,1.33603281389063,1.39787595637481,1.44459903417398,1.4979466971415,1.56592906743121
"5",16587,7.10135033314925,6.90530289504894,6.71164273987403,6.51523599673723,6.32283950139418,6.13349456336514,5.94652714498623,5.64267836349583,5.62560770841993,5.61670966490922,5.58195458974723,5.55977697959096,5.51839487305738,5.50311732766787,NA,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,1.08986413179312,1.09297984700196,1.10678498363659,1.11393211570739,1.1248701625245,1.13864087624149,1.15051218640127,1.20231881638135,1.25776029591748,1.29981858837787,1.34545801311664,1.40911047017055,1.47457845889968,1.54203445646351
"6",16588,6.71246568510764,6.51630839743719,6.32146767822572,6.12983688484904,5.93084152153057,5.7251099826944,5.40839479708263,5.35508952956631,5.31271159375766,5.30051171438553,5.24102695804799,5.21579573554846,5.21560863596147,5.20322567925887,NA,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,1.33834122232062,1.33998082572039,1.34879642152272,1.34596623331178,1.35086461228197,1.35618056729416,1.38435000164295,1.44954863068695,1.49922488203203,1.53904704345226,1.5868983273779,1.64285511085558,1.68984290822909,1.73685257294762
"7",16589,6.55741914449706,6.36522489291513,6.1734368494852,5.98256298997132,5.78996955220314,5.49173565369207,5.46682267128448,5.44316828321965,5.41380630257185,5.38873722235648,5.36164234839905,5.35765411632211,5.3723797604129,5.35746274447956,NA,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,NA,1.25731968876796,1.26827083731601,1.28614114791658,1.2913235652556,1.30452233136283,1.34197965241226,1.39881180021611,1.45585746894964,1.48638133836916,1.55277295731355,1.61848506534363,1.71077540952461,1.76122463203985,1.8234906235804
"8",16590,6.27168274190472,6.07059581568096,5.87398378317325,5.67301416707573,5.36078134391391,5.30792338898907,5.26522150446634,5.20450876807928,5.14040891410146,5.08020698596383,5.05908533059416,5.00869085092144,4.99039962834039,4.93076492754922,NA,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,NA,NA,1.17697507382246,1.18481901635973,1.19378729238327,1.21373890309689,1.25857685466686,1.31349283421381,1.39476573254275,1.45285701456031,1.4959717335748,1.56691195117246,1.62286268179041,1.69541957816483,1.73276704895503,1.78345147630452
"9",16591,6.05799927588746,5.8641492055951,5.67852018041345,5.34600847305281,5.29776309231365,5.24102645357609,5.21782738457867,5.20855439560473,5.20070756995426,5.17291138259742,5.13436092063439,5.10788800487188,5.06081805386117,5.03752300023374,NA,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,NA,NA,NA,1.24919475320251,1.26235783269859,1.2771941772056,1.34402574719191,1.38684529601491,1.46383929579343,1.54713882615188,1.6087865642075,1.6915530790247,1.75397496061267,1.8353791705841,1.92496366285131,1.97890570302012,2.05342533054126
"10",16592,6.2348019374268,6.04888794228629,5.71491456530919,5.70866638951899,5.67639560294343,5.68207340386916,5.64691854690598,5.58013086807626,5.55749765995635,5.52866302540275,5.50488424542494,5.47843978927951,5.47255704041413,5.46183974912726,NA,4.4197905918748,NA,NA,5.51502024382717,NA,NA,NA,5.42456571558628,NA,NA,NA,NA,NA,1.37856020174798,1.39066281810385,1.4235023183374,1.46378457478336,1.51235634972929,1.60735153244351,1.65100656945711,1.70694806763169,1.76306275277138,1.82744279714285,1.90626877617333,1.97375835373979,2.05837561765366,2.08961356572845
