"","TODAY","PLUS1_pred","PLUS2_pred","PLUS3_pred","PLUS4_pred","PLUS5_pred","PLUS6_pred","PLUS7_pred","PLUS8_pred","PLUS9_pred","PLUS10_pred","PLUS11_pred","PLUS12_pred","PLUS13_pred","PLUS14_pred","PLUS1_obs","PLUS2_obs","PLUS3_obs","PLUS4_obs","PLUS5_obs","PLUS6_obs","PLUS7_obs","PLUS8_obs","PLUS9_obs","PLUS10_obs","PLUS11_obs","PLUS12_obs","PLUS13_obs","PLUS14_obs","PLUS1_sd","PLUS2_sd","PLUS3_sd","PLUS4_sd","PLUS5_sd","PLUS6_sd","PLUS7_sd","PLUS8_sd","PLUS9_sd","PLUS10_sd","PLUS11_sd","PLUS12_sd","PLUS13_sd","PLUS14_sd"
"1",17686,7.77224829243373,7.79425467772605,7.8162650625162,7.83829359238546,7.8603543716684,7.88246151802329,7.90462921553943,7.92687176683355,7.94920364449758,7.97163954216433,7.99419442534812,8.01688358208595,8.03972267323904,8.06272778210108,NA,NA,NA,NA,NA,11.5272946459362,NA,NA,NA,NA,11.1991958508679,NA,10.7377214026207,NA,0.109685486906682,0.218814145175976,0.32738196763863,0.435383787492301,0.542813278332489,0.649662946302779,0.755924114987249,0.861586903636469,0.966640199337438,1.071071623814,1.17486749568896,1.27801278926802,1.3804910912407,1.48228455716249
"2",17687,7.70452355148994,7.68205001510767,7.65985689364313,7.63796526519563,7.61639717858024,7.59517578832427,7.5743255000746,7.55387212733175,7.53384305990606,7.51426744360854,7.495176369245,7.47660306669331,7.45858309631931,7.44115452473049,NA,NA,7.98718046835368,NA,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,0.238348989729155,0.356481119891314,0.473891562363191,0.590557193869906,0.7064522644366,0.821548206784131,0.935813421609401,1.04921303985814,1.1617086647536,1.27325809903281,1.38381506702827,1.49332894754753,1.6017445427436,1.70900192124013
"3",17688,7.70958310258242,7.69641836361794,7.6834750591727,7.67077158329907,7.6583271252754,7.64616178946426,7.63429672633982,7.62275427570119,7.61155812255322,7.60073346515543,7.59030719305106,7.58030807010711,7.57076691318898,7.56171675036471,NA,7.98718046835368,NA,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,0.333472930685028,0.443310107934799,0.552457296771967,0.660893324756898,0.768594561306261,0.875534708535596,0.981684565760249,1.08701176830238,1.19148050335334,1.29505120913332,1.39768026916156,1.49931972204957,1.59991702008082,1.69941488835194
"4",17689,8.0623679419256,8.13724642836238,8.21182264071191,8.28610305393628,8.36009391665838,8.43380126216565,8.50723091872844,8.58038851928497,8.6532795105403,8.72590916152251,8.79828257163555,8.870404678245,8.94228026382941,9.01391396272792,7.98718046835368,NA,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,0.0106245138604549,0.0212123889791139,0.0317652886283229,0.042284785780477,0.0527723691845316,0.0632294489502563,0.0736573616869356,0.0840573752381447,0.0944306930497705,0.10477845820453,0.115101757152785,0.125401623166402,0.135679039539709,0.145934942559201
"5",17690,8.13262325252842,8.20489123070653,8.27686541129651,8.34855187973629,8.41995651535753,8.49108500109909,8.56194283263401,8.63253532695304,8.70286763044425,8.77294472650471,8.84277144271731,8.91235245762298,8.98169230711605,9.05079539048839,NA,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,0.0203028076818495,0.0303965192411635,0.0404539363621489,0.0504765796016934,0.060465892174448,0.0704232448508103,0.0803499404808698,0.0902472181777879,0.100116257190654,0.109958180493824,0.119774058117051,0.129564910238336,0.1393317100593,0.149075386480969
"6",17691,8.21072787596729,8.28463806452515,8.35825608342025,8.43158798721174,8.50463962640756,8.57741665699128,8.64992454938127,8.72216859686365,8.79415392353624,8.86588549179807,8.93736810941599,9.00860643619734,9.07960499029534,9.15036815417171,NA,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,0.0255963140900783,0.0340738617968634,0.0425261925484162,0.0509544473411562,0.059359708893942,0.067743005291002,0.0761053133523786,0.0844475617556576,0.0927706339303859,0.101075370744479,0.109362573000044,0.117633003754386,0.125887390480463,0.134126427079736
"7",17692,8.29064737595997,8.36574618335841,8.44055092111946,8.51506773898104,8.58930257623467,8.66326117177793,8.73694907354874,8.81037164738808,8.88353408537371,8.9564414136634,9.02909849988323,9.10151006009307,9.173680665359,9.24561474795976,NA,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,0.0487097030035705,0.0607901093454635,0.0728353564349343,0.0848470911318755,0.096826870112622,0.108776165987211,0.12069637291572,0.132588811771895,0.144454734896948,0.15629533048172,0.168111726611335,0.179904995002849,0.191676154463248,0.203426174092328
"8",17693,7.8335759044979,7.80311820273331,7.77282739977788,7.74270386562769,7.71274796256134,7.68296004497315,7.6533404592057,7.62388954338183,7.59460762723605,7.56549503194559,7.53655206996101,7.50777904483669,7.47917625106092,7.4507439738861,7.86420012752417,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,0.00743140107310896,0.0148209386082996,0.0221682108656737,0.0294728167415175,0.036734355911718,0.0439524289788231,0.0511266376227544,0.0582565847551802,0.0653418746775483,0.0723821132427784,0.0793769080206029,0.0863258684665463,0.0932286060945224,0.100084734653028
"9",17694,7.77493373060239,7.73061595905037,7.68651021263256,7.64261779535348,7.59894000966442,7.55547815608497,7.51223353281411,7.46920743533081,7.42640115598413,7.38381598357276,7.34145320291391,7.29931409440151,7.2573999335538,7.21571199055021,NA,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,7.85016273975818,0.010365946922394,0.0155072009424652,0.0206201850929635,0.025704554308848,0.0307599617346933,0.0357860588274829,0.0407824954645235,0.0457489200565871,0.0506849796663825,0.0555903201324558,0.0604645861986153,0.0653074216489721,0.0701184694486825,0.074897371890474
"10",17695,7.77170722143691,7.74123292026642,7.71093760562117,7.68082165553102,7.65088543865099,7.62112931405316,7.59155363101787,7.56215872882428,7.53294493654042,7.50391257281293,7.47506194565653,7.44639335224335,7.41790707869237,7.38960339985896,NA,7.91504187801777,NA,NA,NA,8.00611197404078,NA,NA,NA,NA,NA,NA,7.85016273975818,NA,0.0280455450603727,0.0372838397578351,0.046466233890471,0.0555922570851973,0.064661441833819,0.073673323701578,0.082627441539042,0.0915233376972447,0.100360558245982,0.10913865319516,0.117857176719081,0.126515687383553,0.135113748375686,0.143650927736246
