"","n","val","Year"
"1",1,1.56681432275736,2013
"2",2,1.68193385027911,2013
"3",3,1.61728996087568,2013
"4",4,1.60416360042235,2013
"5",5,1.6675791118855,2013
"6",6,1.66809782915461,2013
"7",7,1.70940475281417,2013
"8",8,2.07105876982048,2013
"9",9,2.22322373757129,2013
"10",10,2.092166456877,2013
"11",11,2.16962787500572,2013
"12",12,2.16365242872895,2013
"13",13,2.34481092405074,2013
"14",14,2.24819241642399,2013
"15",1,0.841767616866264,2014
"16",2,0.905304635496125,2014
"17",3,0.950531291644317,2014
"18",4,0.95351117857275,2014
"19",5,0.9503614760143,2014
"20",6,1.08571141367395,2014
"21",7,1.1247563348925,2014
"22",8,1.36558641772839,2014
"23",9,1.39530842619354,2014
"24",10,1.44199427801534,2014
"25",11,1.40185640937105,2014
"26",12,1.43537479440082,2014
"27",13,1.64257806810917,2014
"28",14,1.7030526162696,2014
"29",1,1.66554166002095,2015
"30",2,1.68398988638244,2015
"31",3,1.6978202483925,2015
"32",4,1.93550044146482,2015
"33",5,2.09295908947341,2015
"34",6,2.16948916933772,2015
"35",7,2.15123093370157,2015
"36",8,2.86349296148344,2015
"37",9,2.88144118876128,2015
"38",10,3.00077299110258,2015
"39",11,3.05307904804525,2015
"40",12,3.31454701419314,2015
"41",13,3.43246092758728,2015
"42",14,3.33761271752861,2015
"43",1,1.56084289738685,2016
"44",2,1.69431468150331,2016
"45",3,1.68846899380262,2016
"46",4,2.06211289440863,2016
"47",5,2.20037016278952,2016
"48",6,2.18430853059647,2016
"49",7,2.23320530917873,2016
"50",8,2.35656599024699,2016
"51",9,2.41482334532793,2016
"52",10,2.51378459412328,2016
"53",11,2.61449367922601,2016
"54",12,2.78716059798675,2016
"55",13,2.93917119512897,2016
"56",14,3.09061439292326,2016
"57",1,NA,2017
"58",2,NA,2017
"59",3,NA,2017
"60",4,NA,2017
"61",5,NA,2017
"62",6,NA,2017
"63",7,NA,2017
"64",8,NA,2017
"65",9,NA,2017
"66",10,NA,2017
"67",11,NA,2017
"68",12,NA,2017
"69",13,NA,2017
"70",14,NA,2017
"71",1,0.562948489900228,2018
"72",2,0.587366419296252,2018
"73",3,0.571590648408126,2018
"74",4,0.617409526831281,2018
"75",5,0.700123779357875,2018
"76",6,0.676892564981158,2018
"77",7,0.7069395565024,2018
"78",8,0.756528987841631,2018
"79",9,0.76675927433008,2018
"80",10,0.749665285904413,2018
"81",11,0.793406997928973,2018
"82",12,0.854117792850376,2018
"83",13,0.800714000355451,2018
"84",14,0.829917523550949,2018
"85",1,1.15477705747684,2019
"86",2,1.10550796770693,2019
"87",3,1.15704126428655,2019
"88",4,1.27102384583002,2019
"89",5,1.27548806546719,2019
"90",6,1.34840397191527,2019
"91",7,1.3285971914606,2019
"92",8,1.70788078446309,2019
"93",9,1.68161603658503,2019
"94",10,1.80673553485657,2019
"95",11,1.89449703497293,2019
"96",12,1.92684385807903,2019
"97",13,2.04021893301775,2019
"98",14,2.05081438917037,2019
