"","n","val","Year"
"1",1,1.20668108352903,2013
"2",2,1.13779652780422,2013
"3",3,1.2134236685503,2013
"4",4,1.18836176060959,2013
"5",5,1.36168611592127,2013
"6",6,1.35499331148995,2013
"7",7,1.28007846632924,2013
"8",8,1.704268511067,2013
"9",9,1.62593441643216,2013
"10",10,1.68942496012555,2013
"11",11,1.57512519226576,2013
"12",12,1.72902569640784,2013
"13",13,1.87241824375406,2013
"14",14,1.68104545954602,2013
"15",1,0.562931611618224,2014
"16",2,0.614470522271313,2014
"17",3,0.615113247974324,2014
"18",4,0.662545910024995,2014
"19",5,0.667045051383853,2014
"20",6,0.753189688802974,2014
"21",7,0.737948860062603,2014
"22",8,0.776107739445187,2014
"23",9,0.774246170730029,2014
"24",10,0.874374585911779,2014
"25",11,0.876843334702898,2014
"26",12,0.859021933899147,2014
"27",13,0.997835408083698,2014
"28",14,0.979257291657988,2014
"29",1,0.818744573449337,2015
"30",2,0.73810139106177,2015
"31",3,0.752328354368666,2015
"32",4,0.81377415124389,2015
"33",5,0.8820600527896,2015
"34",6,0.893444737649631,2015
"35",7,0.877946634312066,2015
"36",8,1.32947276991548,2015
"37",9,1.38914499172881,2015
"38",10,1.30661134699904,2015
"39",11,1.32521947773646,2015
"40",12,1.46823607211034,2015
"41",13,1.52589006813508,2015
"42",14,1.49840801638472,2015
"43",1,1.20012560793784,2016
"44",2,1.16756086563392,2016
"45",3,1.27376252079839,2016
"46",4,1.45544445064075,2016
"47",5,1.52242694700914,2016
"48",6,1.57239526150509,2016
"49",7,1.60294722808706,2016
"50",8,1.7877678233752,2016
"51",9,1.80067919513221,2016
"52",10,1.90304347511199,2016
"53",11,2.02459806676211,2016
"54",12,2.08645886764476,2016
"55",13,2.17062698210946,2016
"56",14,2.2936218071266,2016
"57",1,NA,2017
"58",2,NA,2017
"59",3,NA,2017
"60",4,NA,2017
"61",5,NA,2017
"62",6,NA,2017
"63",7,NA,2017
"64",8,NA,2017
"65",9,NA,2017
"66",10,NA,2017
"67",11,NA,2017
"68",12,NA,2017
"69",13,NA,2017
"70",14,NA,2017
"71",1,0.518068908611534,2018
"72",2,0.535288168250325,2018
"73",3,0.519821055292922,2018
"74",4,0.562492063743245,2018
"75",5,0.686355609810218,2018
"76",6,0.702865148152359,2018
"77",7,0.669799314751172,2018
"78",8,0.826781272837678,2018
"79",9,0.832373079338216,2018
"80",10,0.81286152786161,2018
"81",11,0.864309922335383,2018
"82",12,0.974836457842048,2018
"83",13,0.97008355129375,2018
"84",14,0.941911276529507,2018
"85",1,0.902058829061397,2019
"86",2,0.941112088646677,2019
"87",3,1.05794205585466,2019
"88",4,1.09927901664559,2019
"89",5,1.16517973062593,2019
"90",6,1.14471132781104,2019
"91",7,1.17983796248347,2019
"92",8,1.2871202159459,2019
"93",9,1.3779285256888,2019
"94",10,1.44769863513283,2019
"95",11,1.51358225663596,2019
"96",12,1.5623785645095,2019
"97",13,1.62827098537553,2019
"98",14,1.61488522282186,2019
