"","n","val","Year"
"1",1,1.39125624833283,2013
"2",2,1.34639514186622,2013
"3",3,1.41184579804066,2013
"4",4,1.50177075181953,2013
"5",5,1.54199425951421,2013
"6",6,1.50868994480046,2013
"7",7,1.56703894866654,2013
"8",8,1.77517457679993,2013
"9",9,1.78260973789407,2013
"10",10,1.87598383538832,2013
"11",11,1.91042375144863,2013
"12",12,1.92341920640855,2013
"13",13,2.00176098807146,2013
"14",14,1.91532299295728,2013
"15",1,0.540331389166534,2014
"16",2,0.591757477410552,2014
"17",3,0.643093560509793,2014
"18",4,0.67100994819766,2014
"19",5,0.681694926740358,2014
"20",6,0.739450087053168,2014
"21",7,0.771884762389794,2014
"22",8,0.852367713952416,2014
"23",9,0.881049269803963,2014
"24",10,0.984026716504251,2014
"25",11,1.02663667961299,2014
"26",12,1.06165073432899,2014
"27",13,1.16315044961824,2014
"28",14,1.22244814487296,2014
"29",1,0.928722676489481,2015
"30",2,0.928692269461378,2015
"31",3,0.915128433678069,2015
"32",4,0.929712345301551,2015
"33",5,1.02762537349914,2015
"34",6,1.07571369273868,2015
"35",7,0.962382901165889,2015
"36",8,1.4076954724701,2015
"37",9,1.47409716124173,2015
"38",10,1.40852300523051,2015
"39",11,1.44767443974286,2015
"40",12,1.65118849148282,2015
"41",13,1.64178124514579,2015
"42",14,1.50195042396608,2015
"43",1,1.10725035450147,2016
"44",2,1.09307134476157,2016
"45",3,1.26915911894031,2016
"46",4,1.41339641405987,2016
"47",5,1.45761491651474,2016
"48",6,1.4614239189874,2016
"49",7,1.63837684547605,2016
"50",8,1.72747199610984,2016
"51",9,1.68912210411947,2016
"52",10,1.89668657362014,2016
"53",11,1.98396132999365,2016
"54",12,1.97493130511481,2016
"55",13,2.06201376025773,2016
"56",14,2.25977363055416,2016
"57",1,NA,2017
"58",2,NA,2017
"59",3,NA,2017
"60",4,NA,2017
"61",5,NA,2017
"62",6,NA,2017
"63",7,NA,2017
"64",8,NA,2017
"65",9,NA,2017
"66",10,NA,2017
"67",11,NA,2017
"68",12,NA,2017
"69",13,NA,2017
"70",14,NA,2017
"71",1,0.45114283899872,2018
"72",2,0.424123264328458,2018
"73",3,0.430373915970054,2018
"74",4,0.467776131597209,2018
"75",5,0.546684236202494,2018
"76",6,0.521829861799348,2018
"77",7,0.541038409937381,2018
"78",8,0.623019479648372,2018
"79",9,0.620434784260692,2018
"80",10,0.639930634633252,2018
"81",11,0.642760022117279,2018
"82",12,0.71352319426434,2018
"83",13,0.707718643856899,2018
"84",14,0.707941795434162,2018
"85",1,1.06578124153729,2019
"86",2,1.04635130667837,2019
"87",3,1.16128363316727,2019
"88",4,1.21374915418725,2019
"89",5,1.26389910556524,2019
"90",6,1.28979005698055,2019
"91",7,1.30103609596632,2019
"92",8,1.45811192163816,2019
"93",9,1.46853079639534,2019
"94",10,1.62323367889147,2019
"95",11,1.63474669364445,2019
"96",12,1.67288072254098,2019
"97",13,1.78014577548106,2019
"98",14,1.64849359455993,2019
