"","n","val","Year"
"1",1,1.23127759471736,2013
"2",2,1.25257093924191,2013
"3",3,1.30307527888655,2013
"4",4,1.36787379707163,2013
"5",5,1.36206639748533,2013
"6",6,1.27152758233074,2013
"7",7,1.39593849372721,2013
"8",8,1.79000570762439,2013
"9",9,1.79154160152128,2013
"10",10,1.92335145075772,2013
"11",11,2.00703445696254,2013
"12",12,1.87257739559212,2013
"13",13,1.9178405115063,2013
"14",14,1.85869391712476,2013
"15",1,0.652027456877162,2014
"16",2,0.725262576504527,2014
"17",3,0.823806860485445,2014
"18",4,0.824753730230429,2014
"19",5,0.915606064328906,2014
"20",6,0.957837846246475,2014
"21",7,1.01770726604199,2014
"22",8,1.10079146642338,2014
"23",9,1.13317663817633,2014
"24",10,1.30208548793065,2014
"25",11,1.29356789198734,2014
"26",12,1.39314438210065,2014
"27",13,1.41920088893046,2014
"28",14,1.47659194448093,2014
"29",1,0.742150770522533,2015
"30",2,0.739939600122296,2015
"31",3,0.711240785000755,2015
"32",4,0.816483257664719,2015
"33",5,0.853324497958451,2015
"34",6,0.912522124239871,2015
"35",7,0.925581147834721,2015
"36",8,1.31535469337099,2015
"37",9,1.32038262047352,2015
"38",10,1.28684510973128,2015
"39",11,1.321462964737,2015
"40",12,1.35414292818569,2015
"41",13,1.44232396944406,2015
"42",14,1.53194986138322,2015
"43",1,1.15647989901159,2016
"44",2,1.11848778923841,2016
"45",3,1.24786344544319,2016
"46",4,1.45962663704097,2016
"47",5,1.52718315950929,2016
"48",6,1.54917898898894,2016
"49",7,1.59841929363063,2016
"50",8,1.8410841295441,2016
"51",9,1.82069943682255,2016
"52",10,1.90928878664921,2016
"53",11,2.06269900401152,2016
"54",12,2.08773438503598,2016
"55",13,2.09231558989425,2016
"56",14,2.20906443249282,2016
"57",1,NA,2017
"58",2,NA,2017
"59",3,NA,2017
"60",4,NA,2017
"61",5,NA,2017
"62",6,NA,2017
"63",7,NA,2017
"64",8,NA,2017
"65",9,NA,2017
"66",10,NA,2017
"67",11,NA,2017
"68",12,NA,2017
"69",13,NA,2017
"70",14,NA,2017
"71",1,0.500611045286264,2018
"72",2,0.514477206209825,2018
"73",3,0.53950832047444,2018
"74",4,0.555329340789152,2018
"75",5,0.717189405984271,2018
"76",6,0.758684579031332,2018
"77",7,0.751000926150657,2018
"78",8,0.922292458922927,2018
"79",9,0.964552077598852,2018
"80",10,0.962511876357027,2018
"81",11,0.996737026079198,2018
"82",12,1.17658859450415,2018
"83",13,1.17526629608112,2018
"84",14,1.19920231215267,2018
"85",1,1.21211641367294,2019
"86",2,1.32806634879803,2019
"87",3,1.19833799344984,2019
"88",4,1.28915972481339,2019
"89",5,1.4320868786369,2019
"90",6,1.55784663923525,2019
"91",7,1.42661175227486,2019
"92",8,1.7585981387352,2019
"93",9,1.84163773851601,2019
"94",10,2.31576582134927,2019
"95",11,2.82690576226266,2019
"96",12,2.53581362583747,2019
"97",13,2.6808196013291,2019
"98",14,2.81813785022828,2019
