"","n","val","Year"
"1",1,1.20719895599176,2013
"2",2,1.24390993793025,2013
"3",3,1.17568354327676,2013
"4",4,1.29121491735578,2013
"5",5,1.38930960998995,2013
"6",6,1.43983836964141,2013
"7",7,1.40291736130294,2013
"8",8,1.75049673464432,2013
"9",9,1.83399559755762,2013
"10",10,1.76600905588815,2013
"11",11,1.85133538656541,2013
"12",12,1.9398751048204,2013
"13",13,2.06248099463722,2013
"14",14,1.95382011237996,2013
"15",1,0.467505440783664,2014
"16",2,0.516839228178041,2014
"17",3,0.530599898539153,2014
"18",4,0.582457169094633,2014
"19",5,0.596450973220399,2014
"20",6,0.621629947364757,2014
"21",7,0.613435997737975,2014
"22",8,0.634797209854801,2014
"23",9,0.683697962547446,2014
"24",10,0.734325699853853,2014
"25",11,0.772339482663319,2014
"26",12,0.82068198977895,2014
"27",13,0.872268350818375,2014
"28",14,0.833970694376206,2014
"29",1,0.785925782753805,2015
"30",2,0.80035124362867,2015
"31",3,0.853480832695455,2015
"32",4,0.874820839102399,2015
"33",5,0.94320382441605,2015
"34",6,1.04516480287149,2015
"35",7,1.03598086057324,2015
"36",8,1.47924088486777,2015
"37",9,1.49979338420404,2015
"38",10,1.54868295647543,2015
"39",11,1.58403780511041,2015
"40",12,1.69914007550994,2015
"41",13,1.78311449695426,2015
"42",14,1.74154985544174,2015
"43",1,1.17667373782974,2016
"44",2,1.20100335875806,2016
"45",3,1.30414097469126,2016
"46",4,1.49994959831321,2016
"47",5,1.59522057332848,2016
"48",6,1.62421010739596,2016
"49",7,1.68162797047276,2016
"50",8,1.83191913864271,2016
"51",9,1.89840817129188,2016
"52",10,2.02110036242568,2016
"53",11,2.14182473843134,2016
"54",12,2.24285185155774,2016
"55",13,2.33783272608686,2016
"56",14,2.56397501072041,2016
"57",1,NA,2017
"58",2,NA,2017
"59",3,NA,2017
"60",4,NA,2017
"61",5,NA,2017
"62",6,NA,2017
"63",7,NA,2017
"64",8,NA,2017
"65",9,NA,2017
"66",10,NA,2017
"67",11,NA,2017
"68",12,NA,2017
"69",13,NA,2017
"70",14,NA,2017
"71",1,0.603270418233668,2018
"72",2,0.631658644385672,2018
"73",3,0.621390958361574,2018
"74",4,0.643291013917141,2018
"75",5,0.781530877320897,2018
"76",6,0.771455303648435,2018
"77",7,0.74660987787104,2018
"78",8,0.864807221567401,2018
"79",9,0.882901880631043,2018
"80",10,0.86877418596863,2018
"81",11,0.879739939889826,2018
"82",12,0.985420874496478,2018
"83",13,0.967407726583612,2018
"84",14,0.972644778698159,2018
"85",1,0.661860205833373,2019
"86",2,0.709453569724839,2019
"87",3,0.776329450363075,2019
"88",4,0.787383813124128,2019
"89",5,0.844127210782009,2019
"90",6,0.902005918004738,2019
"91",7,0.980779761986661,2019
"92",8,1.11935041863923,2019
"93",9,1.20000980605789,2019
"94",10,1.2764622708255,2019
"95",11,1.31708942254858,2019
"96",12,1.27368303582705,2019
"97",13,1.37205386871482,2019
"98",14,1.38956203462114,2019
